node,conceptualized_node,node_type
자산은 양호한 상태이다.,"evaluation, assessment, stability, verification, reliability",event
매수인은 규제와 관련된 문제에 대해 책임을 진다.,"liability, responsibility, regulation, compliance, obligation",event
영업일은 대한민국의 은행이 정상 영업하는 날이다.,"business day, banking, transaction, operation, service",event
불이행이 발생한다.,"violation, breach, failure, noncompliance, default",event
매수인에게 소유권이 이전된다.,"transfer, transaction, ownership change, acquisition, conveyance",event
매수인이 대금을 준비한다.,"payment preparation, transaction, deal, negotiation, financial arrangement",event
매매주식의 완전한 소유자이다.,"ownership, possession, acquisition, transaction, investment",event
감사가 회사의 회계 및 업무를 감사할 수 있다.,"inspection, evaluation, oversight, verification, assessment",event
상대방은 계좌 정보를 확인할 수 있다.,"verification, authentication, checking, access, information sharing",event
어떤 사항을 인지한다.,"awareness, realization, recognition, perception, understanding",event
자산은 일정 기간 동안 관리되었다.,"management, supervision, administration, oversight, stewardship",event
제3장이 시작된다.,"beginning, transition, progression, development, change",event
각 1부씩 보관한다.,"distribution, preservation, recordkeeping, documentation, organization",event
매도인은 대금이 준비되어야 한다.,"transaction, obligation, payment, contract, fulfillment",event
중재 절차가 진행된다.,"dispute resolution, negotiation, mediation, legal process, conflict management",event
종결이 확인된다.,"completion, confirmation, closure, validation, finalization",event
한국어본이 우선한다.,"priority, preference, selection, decision",event
배상액이 매매대금의 25%를 초과하지 않는다.,"limitation, compensation, transaction, contract, restriction",event
매도인이 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,"ownership transfer, transaction, conveyance, settlement, agreement",event
주식회사 카파벤처스의 대표이사가 2025년 1월 1일에 서명한다.,"authorization, decision, agreement, leadership, commitment",event
나머지 조항이 유효하게 유지된다.,"enforcement, validity, continuity, legal effect, survivability",event
서면이 된다,"documentation, agreement, formalization, recordkeeping, validation",event
제96조를 서면 합의로 수정한다.,"agreement, amendment, modification, contract, documentation",event
진술보증 관련 사항(제31조-제50조)은 '특별조항'으로 분류된다.,"classification, regulation, legal provision, categorization, documentation",event
CSR을 이행한다.,"responsibility, compliance, contribution, sustainability, ethics",event
부채가 귀속된다.,"liability transfer, obligation, assignment, succession, responsibility",event
매수인은 완전한 권한을 보유한다.,"authorization, empowerment, ownership, control, entitlement",event
통지 기한은 엄격히 해석된다,"interpretation, strictness, legal process, deadline, regulation",event
