Name,Type
"일만원(₩10,000)",Entity
3영업일 이내,Entity
제1장,Entity
진술보증,Entity
최선을 다해,Entity
계약의 일부,Entity
매매주식의 완전한 소유권,Entity
납부자,Entity
다음 사항,Entity
인도자,Entity
본 계약의 조항,Entity
매수인에 대한 통지,Entity
"보통주식 12,000,000주",Entity
통지 불이행,Entity
행정,Entity
문서를 인도한다,Entity
제94조,Entity
계좌,Entity
중재,Entity
노동법규,Entity
진술보증 위반 당사자,Entity
본 거래,Entity
균분,Entity
적시,Entity
분쟁,Entity
연결재무제표,Entity
기존 배당,Entity
거래종결일,Entity
단순 주식 양도 방식,Entity
효율적인 통지 시스템,Entity
제64조,Entity
사회적 책임,Entity
매도인에 대한 통지,Entity
경쟁 사업,Entity
개인정보보호법,Entity
지적재산권 보유 주체,Entity
제75조,Entity
권리 불행사,Entity
한국어본,Entity
각자,Entity
모든 거래 과정,Entity
관련 법규,Entity
손해배상,Entity
운전자본 등의 변동,Entity
이행 주체,Entity
운영,Entity
제104조,Entity
대한민국,Entity
자산,Entity
수신자,Entity
계좌 정보,Entity
양 당사자,Entity
비밀정보 보호의무,Entity
배상,Entity
일부 조항,Entity
주식회사 카파벤처스,Entity
본 계약,Entity
등기우편,Entity
하자담보 관련 사항,Entity
"일천이백억원(₩120,000,000,000)",Entity
대한민국 법률,Entity
제5장,Entity
법령상 요구 또는 상대방 동의 시,Entity
손해를 입은 당사자,Entity
기업,Entity
비밀정보,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
규제,Entity
주당 매매가격,Entity
부채,Entity
주식회사 뮤테크놀로지,Entity
수령자,Entity
노력한다,Entity
대상회사,Entity
합리적 가정,Entity
적시의 정의,Entity
주식매도인,Entity
책임,Entity
매도 및 매수,Entity
거래종결일로부터 2년간,Entity
서울중앙지방법원,Entity
공개 정보,Entity
이전 주체,Entity
별도 합의,Entity
변경 사항,Entity
통지,Entity
감사,Entity
제96조,Entity
정확성,Entity
대리인,Entity
없음,Entity
제42조,Entity
운전자본,Entity
공정하게,Entity
모든 정보,Entity
인지한 사항,Entity
계약,Entity
채무,Entity
영업비밀,Entity
진술보증 관련 사항,Entity
법령,Entity
개인정보보호법 준수,Entity
매수인이 인지한 사항,Entity
연구개발,Entity
대금,Entity
일부,Entity
이전,Entity
수정,Entity
당사자,Entity
거래종결 후의 사항,Entity
진술보증 위반,Entity
본 계약과 관련하여,Entity
권리의무,Entity
통지의 구체적 방법,Entity
관련 권리 행사 불가,Entity
주주명부,Entity
경영,Entity
재무제표,Entity
직원,Entity
예측,Entity
모든 권리,Entity
환경,Entity
제23조,Entity
제19조의 적시 정의,Entity
부동산 관련 계약,Entity
이메일,Entity
기간을 연장할 수 있다,Entity
제83조,Entity
적시 통지,Entity
거래종결 후,Entity
기한,Entity
노동,Entity
권리,Entity
브랜드,Entity
손해 배상,Entity
특별한 사정,Entity
불이행한 당사자,Entity
모든 계약,Entity
제51조에 따라 주식 양도가 완료되는 날,Entity
전제조건,Entity
투명하고 공정하게,Entity
관련 권리 자동 소멸,Entity
통지를 불이행한 당사자,Entity
통지자,Entity
불가항력,Entity
상대방 동의,Entity
거래 비용,Entity
기존 브랜드,Entity
보험,Entity
주체,Entity
특별조항의 범위,Entity
공동비용,Entity
나머지,Entity
제37조,Entity
필요시,Entity
성실히,Entity
매매주식,Entity
제공 정보,Entity
거래종결,Entity
제95조,Entity
보상,Entity
요청 정보,Entity
정밀 실사,Entity
필요 서류,Entity
제90조,Entity
신속히,Entity
부록,Entity
종결,Entity
다른 언어본,Entity
서면,Entity
문서,Entity
매도인,Entity
선임자,Entity
중요 부채,Entity
주식매수인,Entity
환경 법규,Entity
세금,Entity
고용,Entity
서명,Entity
총칙,Entity
적극적 지원,Entity
기타 서면 형태,Entity
제공 주체,Entity
경영권,Entity
통지 기한,Entity
시설,Entity
상호 선의와 신뢰,Entity
서울,Entity
지명 이사,Entity
제93조,Entity
지적재산권 보유,Entity
"대상회사 발행 보통주식 12,000,000주",Entity
신속한 의사소통,Entity
자금,Entity
영업일,Entity
제25조,Entity
거래종결일로부터 3년간,Entity
완전한 권한,Entity
시너지,Entity
제46조,Entity
각 당사자,Entity
완전한 소유자,Entity
관련 법규 준수,Entity
대한민국의 은행이 정상 영업하는 날,Entity
중요 계약,Entity
제99조,Entity
제106조,Entity
서면 합의,Entity
진술보증 위반 관련 통지,Entity
제70조,Entity
이전 상대방,Entity
제5장 거래종결 후 사항,Entity
종결 확인서,Entity
매매대금의 25%,Entity
제59조,Entity
주식,Entity
구성원,Entity
거래종결 이후 발생하는 사항,Entity
계약일로부터 30일 내,Entity
공급망,Entity
특별조항,Entity
조항,Entity
상대방,Entity
적절한 보험,Entity
계약 당사자,Entity
손해배상액,Entity
제34조,Entity
배상 한도,Entity
사항,Entity
통상의 영업과정,Entity
관련 조항,Entity
제51조,Entity
매도인 지정 계좌,Entity
제26조,Entity
다른 주체,Entity
2025년 1월 1일,Entity
별도,Entity
진술보증 위반에 대한 책임,Entity
매매대금,Entity
매수인,Entity
제86조,Entity
제7조,Entity
상태,Entity
청구인,Entity
제67조,Entity
연결,Entity
완전한 합의,Entity
추가 조정 없음,Entity
전환 지원,Entity
등기,Entity
거래 과정,Entity
지적재산권,Entity
이사,Entity
핵심 임직원,Entity
데이터,Entity
통지 시스템,Entity
주식회사 람다홀딩스,Entity
모든 라이선스,Entity
불이행,Entity
제3장 진술 및 보증,Entity
나머지 조항,Entity
권리 포기,Entity
