:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식매매계약서가 작성된다.,계약 당사자들이 주식의 매매에 대해 합의한다.,이후,[],[],Relation
계약 당사자들이 주식의 매매에 대해 합의한다.,주식매매계약서가 작성된다.,결과로,[],[],Relation
주식매매계약서가 작성된다.,주식이 양도된다.,이전,[],[],Relation
주식이 양도된다.,주식매매계약서가 작성된다.,때문에,[],[],Relation
주식매매계약서가 작성된다.,주식매도인,is participated by,[],[],Relation
주식매매계약서가 작성된다.,주식매수인,is participated by,[],[],Relation
주식회사 카파벤처스,계약,매도인이다,[],[],Relation
주식회사 람다홀딩스,계약,매수인이다,[],[],Relation
주식회사 뮤테크놀로지,계약,대상회사이다,[],[],Relation
2025년 1월 1일에 계약일자가 정해진다.,계약 당사자가 결정된다.,이후,[],[],Relation
계약 당사자가 결정된다.,"매도인, 매수인, 대상회사가 각각 특정된다.",동시에,[],[],Relation
매도인은 주식회사 카파벤처스로 지정된다.,매수인은 주식회사 람다홀딩스로 지정된다.,동시에,[],[],Relation
계약 당사자가 확정된다.,거래의 법적 주체가 명확해진다.,결과로,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 카파벤처스,is participated by,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 람다홀딩스,is participated by,[],[],Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지에 대한 매도인 역할을 한다.,주식회사 카파벤처스,is participated by,[],[],Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지에 대한 매도인 역할을 한다.,주식회사 뮤테크놀로지,is participated by,[],[],Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지에 대한 매수인 역할을 한다.,주식회사 람다홀딩스,is participated by,[],[],Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지에 대한 매수인 역할을 한다.,주식회사 뮤테크놀로지,is participated by,[],[],Relation
제1장의 총칙이 시작된다.,제1장,is participated by,[],[],Relation
제1장의 총칙이 시작된다.,총칙,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 12,000,000주",보유하다,[],[],Relation
매도인,매매주식,매도하다,[],[],Relation
매수인,매매주식,매수하다,[],[],Relation
본 계약,매도 및 매수,제반 사항을 규정하다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,동시에,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,결과로,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.","보통주식 12,000,000주",is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",매도인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",대상회사,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.","보통주식 12,000,000주",is participated by,[],[],Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,본 계약,is participated by,[],[],Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매도인,is participated by,[],[],Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매수인,is participated by,[],[],Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,[],[],Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,[],[],Relation
서면,문서,포함한다,[],[],Relation
서면,이메일,포함한다,[],[],Relation
서면,기타 서면 형태,포함한다,[],[],Relation
주식 양도가 완료된다,거래종결일이 된다,이후,[],[],Relation
대한민국의 은행이 정상 영업한다,영업일이다,동시에,[],[],Relation
"문서, 이메일, 기타 서면 형태로 작성된다",서면이 된다,결과로,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,거래종결일,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,제51조,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,주식,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,영업일,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,대한민국,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,은행,is participated by,[],[],Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함한다.",서면,is participated by,[],[],Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함한다.",문서,is participated by,[],[],Relation
