name:ID,type,concepts,synsets,:LABEL
주식매매계약서가 작성된다.,event,[],[],Node
계약 당사자들이 주식의 매매에 대해 합의한다.,event,[],[],Node
주식이 양도된다.,event,[],[],Node
주식매도인,entity,[],[],Node
주식매수인,entity,[],[],Node
주식회사 카파벤처스,entity,[],[],Node
계약,entity,[],[],Node
주식회사 람다홀딩스,entity,[],[],Node
주식회사 뮤테크놀로지,entity,[],[],Node
2025년 1월 1일에 계약일자가 정해진다.,event,[],[],Node
계약 당사자가 결정된다.,event,[],[],Node
"매도인, 매수인, 대상회사가 각각 특정된다.",event,[],[],Node
매도인은 주식회사 카파벤처스로 지정된다.,event,[],[],Node
매수인은 주식회사 람다홀딩스로 지정된다.,event,[],[],Node
계약 당사자가 확정된다.,event,[],[],Node
거래의 법적 주체가 명확해진다.,event,[],[],Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 카파벤처스가 주식회사 뮤테크놀로지에 대한 매도인 역할을 한다.,event,[],[],Node
주식회사 람다홀딩스가 주식회사 뮤테크놀로지에 대한 매수인 역할을 한다.,event,[],[],Node
제1장의 총칙이 시작된다.,event,[],[],Node
제1장,entity,[],[],Node
총칙,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 12,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
매도 및 매수,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],Node
매수인이 이를 매수한다.,event,[],[],Node
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,event,[],[],Node
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 12,000,000주",entity,[],[],Node
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",event,[],[],Node
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
