name:ID,type,concepts,synsets,numeric_id,:LABEL
주식매매계약서가 작성된다.,event,[],[],0,Node
계약 당사자들이 주식의 매매에 대해 합의한다.,event,[],[],1,Node
주식이 양도된다.,event,[],[],2,Node
주식매도인,entity,[],[],3,Node
주식매수인,entity,[],[],4,Node
주식회사 카파벤처스,entity,[],[],5,Node
계약,entity,[],[],6,Node
주식회사 람다홀딩스,entity,[],[],7,Node
주식회사 뮤테크놀로지,entity,[],[],8,Node
2025년 1월 1일에 계약일자가 정해진다.,event,[],[],9,Node
계약 당사자가 결정된다.,event,[],[],10,Node
"매도인, 매수인, 대상회사가 각각 특정된다.",event,[],[],11,Node
매도인은 주식회사 카파벤처스로 지정된다.,event,[],[],12,Node
매수인은 주식회사 람다홀딩스로 지정된다.,event,[],[],13,Node
계약 당사자가 확정된다.,event,[],[],14,Node
거래의 법적 주체가 명확해진다.,event,[],[],15,Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],16,Node
주식회사 카파벤처스가 주식회사 뮤테크놀로지에 대한 매도인 역할을 한다.,event,[],[],17,Node
주식회사 람다홀딩스가 주식회사 뮤테크놀로지에 대한 매수인 역할을 한다.,event,[],[],18,Node
제1장의 총칙이 시작된다.,event,[],[],19,Node
제1장,entity,[],[],20,Node
총칙,entity,[],[],21,Node
매도인,entity,[],[],22,Node
"대상회사 발행 보통주식 12,000,000주",entity,[],[],23,Node
매매주식,entity,[],[],24,Node
매수인,entity,[],[],25,Node
본 계약,entity,[],[],26,Node
매도 및 매수,entity,[],[],27,Node
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],28,Node
매수인이 이를 매수한다.,event,[],[],29,Node
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다.,event,[],[],30,Node
"매도인이 대상회사가 발행한 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],31,Node
대상회사,entity,[],[],32,Node
"보통주식 12,000,000주",entity,[],[],33,Node
"매수인이 매도인으로부터 대상회사가 발행한 보통주식 12,000,000주를 매수한다.",event,[],[],34,Node
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,event,[],[],35,Node
거래종결일,entity,[],[],36,Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],37,Node
영업일,entity,[],[],38,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],39,Node
서면,entity,[],[],40,Node
문서,entity,[],[],41,Node
이메일,entity,[],[],42,Node
기타 서면 형태,entity,[],[],43,Node
주식 양도가 완료된다,event,[],[],44,Node
거래종결일이 된다,event,[],[],45,Node
대한민국의 은행이 정상 영업한다,event,[],[],46,Node
영업일이다,event,[],[],47,Node
"문서, 이메일, 기타 서면 형태로 작성된다",event,[],[],48,Node
서면이 된다,event,[],[],49,Node
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,event,[],[],50,Node
제51조,entity,[],[],51,Node
주식,entity,[],[],52,Node
영업일은 대한민국의 은행이 정상 영업하는 날이다.,event,[],[],53,Node
대한민국,entity,[],[],54,Node
은행,entity,[],[],55,Node
"서면은 문서, 이메일, 기타 서면 형태를 포함한다.",event,[],[],56,Node
양 당사자,entity,[],[],57,Node
상호 선의와 신뢰,entity,[],[],58,Node
양 당사자는 본 계약을 체결한다.,event,[],[],59,Node
양 당사자는 본 계약을 이행한다.,event,[],[],60,Node
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],61,Node
양 당사자는 성실히 협력한다.,event,[],[],62,Node
양 당사자가 본 계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],63,Node
양 당사자가 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],64,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],65,Node
당사자 간에 매매주식의 매매와 관련한 모든 합의가 이루어진다.,event,[],[],66,Node
본 계약이 완성된다.,event,[],[],67,Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],68,Node
당사자,entity,[],[],69,Node
"일천이백억원(₩120,000,000,000)",entity,[],[],70,Node
주당 매매가격,entity,[],[],71,Node
"일만원(₩10,000)",entity,[],[],72,Node
"매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다.",event,[],[],73,Node
"주당 매매가격은 금 일만원(₩10,000)으로 한다.",event,[],[],74,Node
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.",event,[],[],75,Node
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.",event,[],[],76,Node
모든 거래 과정,entity,[],[],77,Node
투명하고 공정하게,entity,[],[],78,Node
모든 거래 과정은 투명하게 진행된다.,event,[],[],79,Node
모든 거래 과정은 공정하게 진행된다.,event,[],[],80,Node
거래 과정,entity,[],[],81,Node
각 당사자,entity,[],[],82,Node
상대방,entity,[],[],83,Node
통지 불이행,entity,[],[],84,Node
관련 권리 행사 불가,entity,[],[],85,Node
통지의 구체적 방법,entity,[],[],86,Node
관련 조항,entity,[],[],87,Node
각 당사자에게 중요한 사항이 발생한다.,event,[],[],88,Node
상대방에게 적시 통지해야 한다.,event,[],[],89,Node
상대방에게 적시 통지하지 않는다.,event,[],[],90,Node
관련 권리를 행사할 수 없다.,event,[],[],91,Node
통지 방법에 대해 궁금하다.,event,[],[],92,Node
관련 조항을 따른다.,event,[],[],93,Node
각 당사자는 중요한 사항 발생 시 상대방에게 적시에 통지해야 한다.,event,[],[],94,Node
통지를 이행하지 않을 경우 관련 권리를 행사할 수 없다.,event,[],[],95,Node
통지를 불이행한 당사자,entity,[],[],96,Node
통지의 구체적인 방법은 관련 조항에 따른다.,event,[],[],97,Node
비밀정보,entity,[],[],98,Node
본 계약과 관련하여,entity,[],[],99,Node
비밀정보 보호의무,entity,[],[],100,Node
법령상 요구 또는 상대방 동의 시,entity,[],[],101,Node
각 당사자는 본 계약과 관련하여 취득한 비밀정보를 보호한다.,event,[],[],102,Node
법령상 요구 또는 상대방 동의 시 예외로 한다.,event,[],[],103,Node
법령상 요구 또는 상대방 동의가 있다.,event,[],[],104,Node
비밀정보 보호 의무에서 예외가 발생한다.,event,[],[],105,Node
각 당사자가 본 계약과 관련하여 취득한 비밀정보를 보호한다.,event,[],[],106,Node
법령상 요구 또는 상대방 동의 시 비밀정보 보호 의무에 예외가 발생한다.,event,[],[],107,Node
법령,entity,[],[],108,Node
매매대금,entity,[],[],109,Node
매도인 지정 계좌,entity,[],[],110,Node
거래종결일이 도래한다.,event,[],[],111,Node
매매대금이 지급되지 않는다.,event,[],[],112,Node
매매대금은 거래종결일에 전액 현금으로 지급된다.,event,[],[],113,Node
지급은 매도인 지정 계좌로 송금된다.,event,[],[],114,Node
매매대금은 전액 현금으로 지급된다.,event,[],[],115,Node
대한민국 법률,entity,[],[],116,Node
본 계약은 대한민국 법률에 따라 해석된다.,event,[],[],117,Node
계약의 해석은 대한민국 법률에 근거를 둔다.,event,[],[],118,Node
본 계약은 해석된다.,event,[],[],119,Node
매매 가격이 결정된다.,event,[],[],120,Node
계약 당사자들이 계약서를 작성한다.,event,[],[],121,Node
잔금 지급일이 정해진다.,event,[],[],122,Node
잔금 지급일이 도래한다.,event,[],[],123,Node
소유권 이전 절차가 진행된다.,event,[],[],124,Node
매도인이 매도 대금을 수령한다.,event,[],[],125,Node
매수인에게 소유권이 이전된다.,event,[],[],126,Node
매매주식의 완전한 소유권,entity,[],[],127,Node
이전,entity,[],[],128,Node
매도인은 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,event,[],[],129,Node
매수인은 매매주식의 완전한 소유권을 갖게 된다.,event,[],[],130,Node
매도인이 거래종결일에 매매주식의 완전한 소유권을 매수인에게 이전한다.,event,[],[],131,Node
정밀 실사,entity,[],[],132,Node
매수인은 거래 전 언제든지 정밀 실사를 수행할 수 있다.,event,[],[],133,Node
거래가 이루어진다.,event,[],[],134,Node
매수인은 거래 후 언제든지 정밀 실사를 수행할 수 있다.,event,[],[],135,Node
운전자본 등의 변동,entity,[],[],136,Node
별도 합의,entity,[],[],137,Node
운전자본 등의 변동이 발생한다.,event,[],[],138,Node
대금조정이 별도 합의에 따른다.,event,[],[],139,Node
운전자본 등의 변동에 따른 대금조정은 별도 합의에 따른다.,event,[],[],140,Node
운전자본,entity,[],[],141,Node
대금조정,entity,[],[],142,Node
어떠한 제한도 없는 상태,entity,[],[],143,Node
매매주식은 어떠한 제한도 없는 상태로 양도된다.,event,[],[],144,Node
매매주식의 양도에 제한이 없다.,event,[],[],145,Node
매매주식이 제한 없이 양도된다.,event,[],[],146,Node
본 거래,entity,[],[],147,Node
단순 주식 양도 방식,entity,[],[],148,Node
본 거래는 단순 주식 양도 방식으로 진행된다.,event,[],[],149,Node
거래 구조가 결정된다.,event,[],[],150,Node
본 거래가 단순 주식 양도 방식으로 진행된다.,event,[],[],151,Node
거래종결일로부터 3년간,entity,[],[],152,Node
거래종결일이 발생한다.,event,[],[],153,Node
매도인은 3년간 경쟁 사업을 영위하지 않는다.,event,[],[],154,Node
매도인은 거래종결일로부터 3년간 경쟁 사업을 영위하지 않는다.,event,[],[],155,Node
경쟁 사업,entity,[],[],156,Node
핵심 임직원,entity,[],[],157,Node
노력한다,entity,[],[],158,Node
핵심 임직원의 근무 유지를 위해 노력한다.,event,[],[],159,Node
핵심 임직원이 계속 근무한다.,event,[],[],160,Node
통지 시스템,entity,[],[],161,Node
효율적인 통지 시스템,entity,[],[],162,Node
신속한 의사소통,entity,[],[],163,Node
효율적인 통지 시스템을 구축한다.,event,[],[],164,Node
신속한 의사소통을 보장한다.,event,[],[],165,Node
적시,entity,[],[],166,Node
3영업일 이내,entity,[],[],167,Node
적시의 정의,entity,[],[],168,Node
일반조항,entity,[],[],169,Node
특별한 사정,entity,[],[],170,Node
기간을 연장할 수 있다,entity,[],[],171,Node
"""적시""란 별도 정의가 없는 한 3영업일 이내를 의미한다.",event,[],[],172,Node
"""적시""란 용어가 사용될 때 별도 정의가 없으면 3영업일 이내라는 의미가 적용된다.",event,[],[],173,Node
"이 정의는 ""일반조항""에만 적용된다.",event,[],[],174,Node
"""적시""의 정의가 다른 조항에는 적용되지 않는다.",event,[],[],175,Node
특별한 사정이 있는 경우,event,[],[],176,Node
기간을 연장할 수 있다.,event,[],[],177,Node
"""적시""는 별도 정의가 없는 한 3영업일 이내를 의미한다.",event,[],[],178,Node
"""적시""의 정의는 ""일반조항""에만 적용된다.",event,[],[],179,Node
특별한 사정이 있는 경우 기간을 연장할 수 있다.,event,[],[],180,Node
라이선스가 발급된다.,event,[],[],181,Node
라이선스가 유효하게 유지된다.,event,[],[],182,Node
모든 라이선스가 유효하게 유지된다.,event,[],[],183,Node
모든 라이선스,entity,[],[],184,Node
보험,entity,[],[],185,Node
적절한 보험,entity,[],[],186,Node
적절한 보험이 유지되고 있다.,event,[],[],187,Node
보험 만기일까지 보장이 지속된다.,event,[],[],188,Node
보험에 가입한다.,event,[],[],189,Node
보험료를 납부한다.,event,[],[],190,Node
부동산 관련 계약은 정상적이다.,event,[],[],191,Node
부동산에 관한 다른 활동도 정상적으로 이루어진다.,event,[],[],192,Node
부동산 관련 계약,entity,[],[],193,Node
제23조,entity,[],[],194,Node
지적재산권 보유,entity,[],[],195,Node
필요한 지적재산권을 보유하고 있다.,event,[],[],196,Node
지적재산권이 필요한 상황이다.,event,[],[],197,Node
지적재산권 보유 주체,entity,[],[],198,Node
지적재산권,entity,[],[],199,Node
계약 당사자,entity,[],[],200,Node
권리의무,entity,[],[],201,Node
상대방 동의,entity,[],[],202,Node
상대방의 동의가 없다,event,[],[],203,Node
권리의무를 양도할 수 없다,event,[],[],204,Node
계약의 권리와 의무를 양도한다.,event,[],[],205,Node
상대방의 동의 없이 계약의 권리와 의무를 양도할 수 없다.,event,[],[],206,Node
환경,entity,[],[],207,Node
법규,entity,[],[],208,Node
환경 법규,entity,[],[],209,Node
제25조,entity,[],[],210,Node
환경 법규를 준수한다.,event,[],[],211,Node
환경이 보호된다.,event,[],[],212,Node
법적 책임을 이행한다.,event,[],[],213,Node
제26조,entity,[],[],214,Node
개인정보보호법 준수,entity,[],[],215,Node
데이터,entity,[],[],216,Node
개인정보보호법을 철저히 준수한다.,event,[],[],217,Node
제26조(데이터)가 시행된다.,event,[],[],218,Node
데이터는 개인정보보호법을 철저히 준수한다.,event,[],[],219,Node
개인정보보호법,entity,[],[],220,Node
운영,entity,[],[],221,Node
통상의 영업과정,entity,[],[],222,Node
통상의 영업과정에 따라 운영한다.,event,[],[],223,Node
거래종결이 이루어진다.,event,[],[],224,Node
거래종결 전에는 통상의 영업과정에 따라 운영한다.,event,[],[],225,Node
거래종결,entity,[],[],226,Node
요청 정보,entity,[],[],227,Node
신속히,entity,[],[],228,Node
요청 정보가 있다.,event,[],[],229,Node
요청 정보를 신속히 제공한다.,event,[],[],230,Node
이용자가 필요한 정보를 빠르게 얻을 수 있다.,event,[],[],231,Node
제공 주체,entity,[],[],232,Node
진술보증 위반에 대한 책임,entity,[],[],233,Node
거래종결일로부터 2년간,entity,[],[],234,Node
진술보증 위반에 대한 책임이 발생한다.,event,[],[],235,Node
진술보증 위반에 대한 책임이 2년간 유효하다.,event,[],[],236,Node
진술보증 위반에 대한 책임이 거래종결일로부터 2년간 유효하다.,event,[],[],237,Node
진술보증 위반,entity,[],[],238,Node
책임,entity,[],[],239,Node
거래 비용,entity,[],[],240,Node
각자 비용을 부담한다.,event,[],[],241,Node
거래 비용이 발생한다.,event,[],[],242,Node
각 당사자가 거래 비용을 부담한다.,event,[],[],243,Node
제3장이 시작된다.,event,[],[],244,Node
진술 및 보증에 대한 내용이 설명된다.,event,[],[],245,Node
계약 당사자들의 의무와 책임이 명확해진다.,event,[],[],246,Node
제3장 진술 및 보증이 시작된다.,event,[],[],247,Node
제3장 진술 및 보증,entity,[],[],248,Node
다음 사항,entity,[],[],249,Node
매도인은 진술과 보증을 한다.,event,[],[],250,Node
계약의 체결이 이루어진다.,event,[],[],251,Node
매도인은 다음 사항을 진술한다.,event,[],[],252,Node
매도인은 다음 사항을 보증한다.,event,[],[],253,Node
완전한 소유자,entity,[],[],254,Node
매매주식의 완전한 소유자이다.,event,[],[],255,Node
주식 소유가 이루어진다.,event,[],[],256,Node
매매주식의 완전한 소유자가 된다.,event,[],[],257,Node
재무제표를 작성한다.,event,[],[],258,Node
재무제표는 정확하다.,event,[],[],259,Node
재무제표,entity,[],[],260,Node
제34조,entity,[],[],261,Node
부채,entity,[],[],262,Node
중요 부채,entity,[],[],263,Node
공개된 것 외 중요 부채가 없다.,event,[],[],264,Node
회사는 추가적인 중요 부채가 존재하지 않는다.,event,[],[],265,Node
공개된 것 외에 중요 부채가 존재하지 않는다.,event,[],[],266,Node
중요한 소송이 없다.,event,[],[],267,Node
