node,conceptualized_node,node_type
"계약 당사자가 매도인, 매수인, 대상회사로 각각 명시된다.","contract formation, designation, identification, legal documentation, agreement structure",event
본 계약이 효력이 발생한다.,"activation, commencement, agreement, validation, initiation",event
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,"evaluation, judgment, objectivity, reasonableness, assessment, standard",event
"운전자본, 순부채 등의 변동에 따른 매매대금 조정이 별도 합의에 따른다.","adjustment, negotiation, agreement, settlement, transaction",event
매수인이 취득세를 부담한다.,"taxation, payment, obligation, transaction, responsibility",event
하자가 중대한 하자에 해당하는지 판단한다.,"evaluation, assessment, judgment, determination, defect analysis",event
적격 경영진이 회사를 관리한다,"leadership, governance, management, supervision, oversight",event
천재지변 등은 불가항력에 해당한다.,"natural disaster, force majeure, inevitability, uncontrollability, external event",event
대상회사의 기존 이사회가 해산된다.,"governance change, dissolution, restructuring, leadership transition, termination",event
불가항력으로 인한 불이행은 면책된다.,"exemption, force majeure, liability, legal defense, contract law",event
매수인이 손해배상액을 미지급 대금과 상계할 수 있다.,"compensation, settlement, offset, deduction, legal action",event
대상회사의 모든 중요 자산이 양호한 상태로 유지되고 있다.,"maintenance, preservation, asset management, condition monitoring, stability",event
중요 계약이 추가로 존재하지 않는다는 결론에 도달한다,"decision, realization, conclusion, confirmation, verification",event
본 계약을 대한민국 법률에 따라 해석한다.,"interpretation, jurisdiction, contract, law, regulation",event
대상회사는 기존 브랜드와 상호를 계속 사용할 수 있다.,"brand retention, continuity, trademark usage, business agreement, rights maintenance",event
주식회사 엡실론그룹의 대표이사가 본 계약에 서명한다.,"contract signing, authorization, agreement, legal process, corporate action, decision making",event
새로운 이사회가 매수인이 지명한 이사들로 구성된다.,"leadership change, governance, restructuring, appointment, transition",event
양 당사자는 거래종결 시 종결 확인서에 서명한다.,"agreement, signing, confirmation, contract, completion",event
매도인은 매매주식의 처분권한을 가진다.,"ownership, authority, control, rights, transaction",event
거래가 종결된다.,"agreement, closure, completion, settlement, resolution",event
양 당사자가 계약을 최대한의 성실함으로 이행한다.,"agreement, trust, commitment, cooperation, obligation",event
서울중앙지방법원이 제1심 관할법원이 된다.,"jurisdiction, adjudication, assignment, court authority, legal process",event
매도인이 책임지지 않는다.,"disclaimer, exemption, waiver, limitation, responsibility",event
매도인은 해당 시점에 진술과 보증을 한다.,"representation, assurance, disclosure, confirmation, verification",event
중대한 하자의 판단은 제3조의 정의에 따른다.,"legal interpretation, regulation, defect assessment, compliance, rule application",event
대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 중대한 하자로 정의한다.,"risk, disruption, impact, materiality, compliance",event
모든 재무 정보가 일관된 회계 기준에 따라 작성되었다.,"consistency, standardization, compliance, reliability, transparency",event
실사 과정에서 공개된 것 외에 연간 2억원 이상의 중요 계약은 없다,"disclosure, transparency, contract, limitation, financial reporting",event
운전자본을 거래종결일 기준으로 조정한다.,"adjustment, negotiation, settlement, finance, transaction",event
매도인은 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,"non-compete, restriction, prohibition, agreement, business ethics",event
임원이 적격 경영진이 된다.,"promotion, appointment, leadership, advancement, selection",event
외부 전문가를 통한 정밀 실사를 수행한다.,"inspection, evaluation, verification, assessment, auditing, due diligence",event
