Name,Type
공개된 모든 정보,Entity
재무적 손실의 규모,Entity
주식회사 델타인베스트먼트 대표이사,Entity
당사자2,Entity
진행 중인 연구개발 프로젝트,Entity
모든 규정,Entity
매매대금,Entity
사무실,Entity
중요한 부정적 변동,Entity
본 계약 체결일로부터 45일 이내 또는 당사자들이 합의한 날,Entity
재무제표,Entity
거래종결과 동시에,Entity
중요한 진술보증,Entity
대상회사의 경영 상태,Entity
거래종결,Entity
제1장 총칙,Entity
중요한 계약,Entity
대상회사,Entity
서면 합의,Entity
발송 후 3영업일 경과,Entity
진술보증 위반,Entity
본 계약상 권리의무,Entity
서울특별시,Entity
제28조에 정한 기간,Entity
거래종결 후 최소 1년간,Entity
공급망,Entity
제3조,Entity
완전한 소유권,Entity
사업계획 및 예측,Entity
제2장,Entity
중대한 하자가 아닌 경우,Entity
각 당사자,Entity
사업,Entity
공백,Entity
규정,Entity
계약서,Entity
모든 라이선스와 허가,Entity
기존 공급업체와의 관계,Entity
부채,Entity
불이행,Entity
영업일,Entity
거래,Entity
모든 기한,Entity
한국어본,Entity
"담보권, 제한, 부담도 없는 상태",Entity
거래종결 시,Entity
대한민국,Entity
매매대금 전액을 자기자본으로 조달함,Entity
이사들,Entity
동일 조건,Entity
매매조건,Entity
모든 중요한 계약,Entity
세금,Entity
단체협약,Entity
연결 재무제표,Entity
사업계획,Entity
적격 경영진,Entity
다음 사항이 진실하고 정확함,Entity
환경 관련 소송,Entity
우발채무,Entity
이사회,Entity
"대상회사 발행 보통주식 15,000,000주",Entity
일시적인 경영진 부재,Entity
모든 부록,Entity
거래종결 후 90일 내,Entity
외부 전문가,Entity
주식매매계약서,Entity
매매대금 수령 계좌 정보,Entity
이메일,Entity
노동조합과의 단체협약,Entity
객관적이고 합리적인 기준,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
행정적 사항,Entity
대상회사의 모든 경영 정보,Entity
이사회 재구성,Entity
정밀 실사,Entity
불가항력,Entity
신규 이사회,Entity
모든 법령,Entity
거래종결 후,Entity
상대방,Entity
이전의 모든 구두 또는 서면 합의,Entity
부동산,Entity
대한민국 법률,Entity
직간접적으로 50% 이상의 지분을 보유한 회사,Entity
손해배상,Entity
제3조의 '중대한 하자',Entity
일천오백억원,Entity
합리적인 가정에 기초하여,Entity
통상의 영업과정,Entity
양도소득세,Entity
취득세,Entity
경영 정보,Entity
분쟁,Entity
합리적인 기준,Entity
대상회사의 정상영업에 미치는 영향,Entity
실사 과정,Entity
주주총회,Entity
거래종결 후 6개월간,Entity
주권,Entity
거래종결 후 30일 이내,Entity
등기우편,Entity
거래종결 전 선언된 배당,Entity
제공한 모든 정보,Entity
주식회사 엡실론그룹 대표이사,Entity
보험계약,Entity
종결 확인서,Entity
과거 실적,Entity
"보통주식 15,000,000주",Entity
제52조,Entity
매매주식에 대한 완전한 소유권,Entity
제28조,Entity
부록,Entity
미지급 대금,Entity
모든 별첨,Entity
현재 상태,Entity
거래종결일 현재,Entity
거래종결 확인서,Entity
적격 경영진이 관리하는 상태에서 대상회사가 통상의 사업활동을 수행하는 것,Entity
개인정보보호법,Entity
객관적인 기준,Entity
노동조합,Entity
자산,Entity
손해배상 책임,Entity
기존 브랜드,Entity
거래종결일 기준,Entity
성실하게,Entity
규제 변경에 따른 대응,Entity
당사자 간 완전한 합의,Entity
비용,Entity
정보 접근권,Entity
비밀정보,Entity
통지,Entity
기존 이사회,Entity
별도 합의가 없는 한,Entity
노동 관련 법규,Entity
서울중앙지방법원,Entity
관련 등기 절차,Entity
소송 전 중재,Entity
제53조의 조건,Entity
상호,Entity
시너지 창출,Entity
제51조,Entity
주식,Entity
행정절차,Entity
회사,Entity
소요 기간,Entity
중재,Entity
매수 및 매도에 필요한 제반 사항,Entity
당사자1,Entity
대상회사의 중요 문서,Entity
운전자본,Entity
별첨,Entity
은행,Entity
모든 중요 자산,Entity
제공한 모든 정보가 작성 당시 기준으로 정확함,Entity
감사인,Entity
첫 회계연도의 감사,Entity
소송,Entity
제5장,Entity
해당 업무에 필요한 전문성과 경험,Entity
번역본,Entity
주주총회 결의,Entity
매수인,Entity
제3자,Entity
진술 및 보증,Entity
합리적인 가정,Entity
제1심 관할법원,Entity
자기자본,Entity
중요한 측면,Entity
매매대금 조정,Entity
"운전자본, 순부채 등의 변동",Entity
매도인이 지정한 자,Entity
법령,Entity
주주명부,Entity
손해,Entity
재무 정보,Entity
단순한 일시적 변동,Entity
권리 불행사,Entity
모든 지적재산권,Entity
대상회사의 포함,Entity
거래 관련 공동 비용,Entity
주식회사 엡실론그룹,Entity
이사회 결의서,Entity
연간 2억원 이상의 중요 계약,Entity
