:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다.,주식매매계약서,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],0,Relation
주식회사 델타인베스트먼트,주식회사 제타시스템즈,매도인이다,"['provide', 'trade', 'sell', 'offer', 'transfer ownership']",[],1,Relation
주식회사 엡실론그룹,주식회사 제타시스템즈,매수인이다,"['obtain', 'acquire', 'ownership', 'buyer role', 'purchase']",[],2,Relation
주식회사 델타인베스트먼트,주식회사 엡실론그룹,계약을 체결한다,"['sign accord', 'formalize deal', 'enter into arrangement', 'establish contract', 'make agreement']",[],3,Relation
계약,2025년 1월 1일,체결일이다,"['formalize', 'agreement date', 'contract signing', 'establish']",[],4,Relation
계약일자가 2025년 1월 1일로 정해진다.,"계약 당사자가 매도인, 매수인, 대상회사로 각각 명시된다.",동시에,"['simultaneously', 'at the same time', 'synchronously', 'concurrently']",[],5,Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 델타인베스트먼트,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],6,Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 엡실론그룹,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],7,Relation
주식회사 델타인베스트먼트가 주식회사 엡실론그룹에 주식회사 제타시스템즈를 매도한다.,주식회사 델타인베스트먼트,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],8,Relation
주식회사 델타인베스트먼트가 주식회사 엡실론그룹에 주식회사 제타시스템즈를 매도한다.,주식회사 엡실론그룹,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],9,Relation
주식회사 델타인베스트먼트가 주식회사 엡실론그룹에 주식회사 제타시스템즈를 매도한다.,주식회사 제타시스템즈,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],10,Relation
제1장 총칙이 시작된다.,제1장 총칙,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],11,Relation
매도인,"대상회사 발행 보통주식 15,000,000주",보유하다,"['possess', 'hold', 'own', 'have', 'retain']",[],12,Relation
매도인,매매주식,매도하다,"['dispose of', 'trade', 'sell', 'relinquish', 'transfer ownership']",[],13,Relation
매수인,매매주식,매수하다,"['obtain', 'acquire', 'buy', 'invest', 'purchase']",[],14,Relation
본 계약,매수 및 매도에 필요한 제반 사항,규정하다,"['define', 'determine', 'establish', 'set rules', 'prescribe']",[],15,Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매수인이 매매주식을 매수한다.,동시에,"['simultaneously', 'at the same time', 'synchronously', 'concurrently']",[],16,Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",본 계약에서 필요한 제반 사항이 규정된다.,결과로,"['bring about', 'lead to', 'cause', 'produce', 'result in']",[],17,Relation
매수인이 매매주식을 매수한다.,본 계약에서 필요한 제반 사항이 규정된다.,결과로,"['bring about', 'lead to', 'cause', 'produce', 'result in']",[],18,Relation
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],19,Relation
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],20,Relation
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],21,Relation
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.","보통주식 15,000,000주",is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],22,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",매수인,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],23,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",매도인,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],24,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",대상회사,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],25,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.","보통주식 15,000,000주",is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],26,Relation
계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매도인,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],27,Relation
계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매수인,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],28,Relation
계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,계약,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],29,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,"['signify', 'denote', 'express', 'indicate', 'represent']",[],30,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,"['signify', 'denote', 'express', 'indicate', 'represent']",[],31,Relation
계열회사,직간접적으로 50% 이상의 지분을 보유한 회사,의미한다,"['signify', 'denote', 'express', 'indicate', 'represent']",[],32,Relation
주식 양도가 완료된다,거래종결일이 된다,이후,"['following', 'next', 'subsequent', 'later', 'after']",[],33,Relation
대한민국의 은행이 정상 영업한다,영업일이 된다,동시에,"['simultaneously', 'at the same time', 'synchronously', 'concurrently']",[],34,Relation
회사가 직간접적으로 50% 이상의 지분을 보유한다,그 회사가 계열회사가 된다,결과로,"['bring about', 'lead to', 'cause', 'produce', 'result in']",[],35,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,거래종결일,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],36,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,제51조,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],37,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,주식,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],38,Relation
영업일은 대한민국의 은행이 정상 영업하는 날이다.,영업일,is participated by,"['involve', 'be joined by', 'engage', 'be taken part in', 'be attended by']",[],39,Relation
