name:ID,type,concepts,synsets,:LABEL
주식매매계약서가 작성된다.,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 델타인베스트먼트,entity,[],[],Node
주식회사 제타시스템즈,entity,[],[],Node
주식회사 엡실론그룹,entity,[],[],Node
계약,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
계약일자가 2025년 1월 1일로 정해진다.,event,[],[],Node
"계약 당사자가 매도인, 매수인, 대상회사로 각각 명시된다.",event,[],[],Node
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 델타인베스트먼트가 주식회사 엡실론그룹에 주식회사 제타시스템즈를 매도한다.,event,[],[],Node
제1장 총칙이 시작된다.,event,[],[],Node
제1장 총칙,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 15,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
매수 및 매도에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",event,[],[],Node
매수인이 매매주식을 매수한다.,event,[],[],Node
본 계약에서 필요한 제반 사항이 규정된다.,event,[],[],Node
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 15,000,000주",entity,[],[],Node
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",event,[],[],Node
계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
계열회사,entity,[],[],Node
직간접적으로 50% 이상의 지분을 보유한 회사,entity,[],[],Node
주식 양도가 완료된다,event,[],[],Node
거래종결일이 된다,event,[],[],Node
대한민국의 은행이 정상 영업한다,event,[],[],Node
영업일이 된다,event,[],[],Node
회사가 직간접적으로 50% 이상의 지분을 보유한다,event,[],[],Node
그 회사가 계열회사가 된다,event,[],[],Node
거래종결일은 제51조에 따라 주식 양도가 완료되는 날이다.,event,[],[],Node
제51조,entity,[],[],Node
주식,entity,[],[],Node
영업일은 대한민국의 은행이 정상 영업하는 날이다.,event,[],[],Node
대한민국,entity,[],[],Node
은행,entity,[],[],Node
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사이다.,event,[],[],Node
지분,entity,[],[],Node
회사,entity,[],[],Node
중대한 하자,entity,[],[],Node
대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항,entity,[],[],Node
중대한 하자의 판단,entity,[],[],Node
객관적이고 합리적인 기준,entity,[],[],Node
단순한 일시적 변동,entity,[],[],Node
업계 전반의 상황,entity,[],[],Node
대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 중대한 하자로 정의한다.,event,[],[],Node
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,event,[],[],Node
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,event,[],[],Node
"""중대한 하자""는 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",event,[],[],Node
정상영업,entity,[],[],Node
객관적인 기준,entity,[],[],Node
합리적인 기준,entity,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
이전의 모든 구두 또는 서면 합의,entity,[],[],Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],Node
이전의 모든 구두 또는 서면 합의가 있었다.,event,[],[],Node
