node,conceptualized_node,node_type
자산이 발견된다.,"discovery, acquisition, identification, revelation, finding",event
매수인은 매매대금을 지급한다.,"payment, transaction, fulfillment, obligation, settlement",event
통지 기한을 도과한 청구는 효력이 없다.,"expiration, invalidation, deadline, limitation, legal effect",event
매도인은 매수인이 요청한 정보를 신속히 제공한다.,"communication, cooperation, information exchange, transaction, obligation",event
통지 기한을 넘겨 청구한다.,"delay, claim, deadline, notification, extension",event
통지를 발송한다.,"notification, communication, information transfer, message delivery, announcement",event
번역본과 불일치 시 한국어본이 우선한다.,"translation, preference, language policy, interpretation, instruction",event
"대상회사는 사업과 관련된 모든 법령, 규정을 준수하고 있다.","compliance, regulation, adherence, governance, legality",event
거래종결 후 발견된 부채는 매도인에게 귀속된다.,"책임귀속, 법률관계, 계약해석, 채무분배, 분쟁해결",event
"매매주식이 담보권, 제한, 부담 없이 양도되어야 한다.","transfer, ownership, transaction, freedom, security, legal compliance",event
"운전자본, 순부채 등의 변동에 따라 매매대금이 조정된다.","adjustment, negotiation, transaction, settlement, valuation",event
상대방은 손해배상을 청구할 수 있다.,"compensation, claim, restitution, legal action, dispute",event
매도인은 기존 분쟁 해결을 위해 필요한 정보를 제공한다.,"cooperation, information sharing, conflict resolution, legal process, communication",event
매도인의 진술보증은 매수인이 실사 과정에서 실제로 인지한 사항에는 적용되지 않는다.,"계약해석, 진술보증, 실사, 책임제한, 분쟁해결",event
매도인이 제3자에게 더 유리한 조건을 제시한다.,"negotiation, competition, bargaining, offer, preference",event
"중요한 부정적 변동은 대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건으로 정의된다.","financial impact, risk event, adverse occurrence, business disruption, negative change, material effect",event
거래종결일이 도래한다.,"completion, deadline, transaction, finalization, closure",event
그 권리를 포기한 것으로 보지 않는다.,"decision, judgment, rights, legal interpretation, waiver",event
모든 진술과 보증은 본 계약 체결일을 기준으로 한다.,"contract, representation, warranty, legal assurance, agreement, statement",event
배당이 거래종결 전에 선언되고 미지급된다,"dividend declaration, payment delay, financial transaction, pending distribution, corporate action",event
대상회사는 법규 위반에 따른 제재를 받지 않는다.,"compliance, exemption, legality, regulation, immunity",event
"확인실사는 회계, 법무, 세무, 영업 전 분야를 포함한다.","inspection, evaluation, verification, auditing, assessment",event
매수인이 추가 실사를 요청한다.,"negotiation, verification, inquiry, due diligence, request",event
지급은 매도인이 지정한 계좌로 송금하는 방식으로 한다.,"payment, remittance, transaction, transfer, settlement",event
매도인은 거래종결일로부터 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,"restriction, noncompete, agreement, contract, business ethics",event
공개된 모든 정보는 중요한 측면에서 정확하다.,"verification, validation, accuracy, disclosure, transparency",event
매도인은 이에 성실히 협조해야 한다.,"cooperation, obligation, compliance, assistance, duty",event
매도인은 그 위험에 대해 책임지지 않는다.,"disclaimer, liability, responsibility, exemption, transaction",event
대상회사가 모든 세금을 적시에 신고·납부했다.,"compliance, reporting, payment, responsibility, obligation",event
어느 당사자가 본 계약상 권리의무를 제3자에게 양도한다.,"transfer, assignment, delegation, obligation, contract",event
법령상 요구가 있는 경우 비밀정보 공개가 예외로 인정된다.,"disclosure, exception, compliance, regulation, legal duty",event
거래종결이 일어난다.,"completion, settlement, agreement, closure, transaction",event
감사인이 감사보고서를 작성한다.,"audit, reporting, documentation, evaluation, oversight",event
매수인이 하자를 발견한다.,"discovery, inspection, defect detection, evaluation, quality assessment",event
대상회사가 보유한 모든 라이선스와 허가가 있다.,"certification, compliance, qualification, authorization, approval",event
매매대금 조정은 제92조에 정한 바에 따라 이루어진다.,"legal process, transaction, negotiation, adjustment, compliance",event
각 당사자는 즉시 상대방에게 통지한다.,"communication, notification, agreement, information sharing, legal process",event
매도인은 분쟁 해결을 위해 필요한 정보를 제공한다.,"assistance, cooperation, resolution, negotiation, communication",event
매도인은 추가 자료를 요구할 수 있다,"request, negotiation, documentation, transaction, communication",event
