Name,Type
제2장,Entity
법무,Entity
거래종결일로부터 60일간,Entity
제63조에 따른 제3자 검증 보고서,Entity
보상한도,Entity
외부 전문가 의견서,Entity
불가항력적 사유,Entity
불이행,Entity
환경 관련 소송 및 분쟁,Entity
선의,Entity
매매주식 매도 및 매수에 필요한 제반 사항,Entity
재무 정보,Entity
신뢰,Entity
경영 자문,Entity
대상회사의 모든 중요 자산,Entity
제6장 일반조항,Entity
상세 보고서,Entity
행정적 사항,Entity
본 거래,Entity
배당,Entity
세무조사,Entity
소유권 관련 사항,Entity
예측,Entity
재무상태,Entity
양도소득세,Entity
나머지 조항,Entity
행정절차,Entity
공개된 모든 정보,Entity
매수인,Entity
매수인이 인지하고 있던 사항,Entity
거래종결 후 발견된 자산,Entity
거래종결 전 선언되었으나 미지급된 배당,Entity
대상회사 이사,Entity
종결 확인서,Entity
진술,Entity
부동산의 임대차계약,Entity
임대차계약 상태,Entity
경영권 이전,Entity
대한민국 법률,Entity
이메일,Entity
상대방,Entity
거래종결,Entity
중요한 측면,Entity
하자담보책임의 청구,Entity
데이터 보호 관련 법규,Entity
핵심 임직원,Entity
단체협약,Entity
경영권과 통제권,Entity
매수인의 진술보증,Entity
부동산,Entity
매도인의 사무실,Entity
사업과 관련된 모든 법령,Entity
조건,Entity
노동조합과의 단체협약,Entity
사업과 관련된 모든 규정,Entity
기존 분쟁 해결에 필요한 정보,Entity
환경 관련 분쟁,Entity
감사 보고서,Entity
매매대금 조정,Entity
월별,Entity
제92조,Entity
양호한 상태,Entity
양 당사자 합의,Entity
보증,Entity
주식회사 알파벤처스,Entity
당사자들이 합의한 날,Entity
적절한 보상한도,Entity
지적재산권,Entity
진술보증,Entity
진행 중인 연구개발 프로젝트,Entity
영업 전 분야,Entity
대상회사가 사용하는 모든 부동산,Entity
검증 절차,Entity
매매조건,Entity
천재지변,Entity
법령상 요구 또는 상대방의 서면 동의,Entity
모든 중요한 계약,Entity
매수인의 연결 재무제표,Entity
모든 기한,Entity
대상회사에 대한 확인실사,Entity
감사보고서,Entity
하자나 문제점,Entity
서면 합의,Entity
회계,Entity
감사,Entity
주요 고객,Entity
실사 과정에서 공개되지 않은 계약,Entity
일관된 회계 기준,Entity
조건 충족 시,Entity
본 계약을 체결하고 이행할 완전한 권한과 능력,Entity
독립된 제3자 전문기관,Entity
책임,Entity
통지 기한을 도과한 청구,Entity
중요한 변경,Entity
합리적인 가정에 기초하여 성실하게 작성된 상태,Entity
거래종결 전제조건,Entity
거래종결일 현재,Entity
계약 체결일,Entity
다음 사항,Entity
모든 정보,Entity
모든 세금,Entity
실사 과정,Entity
자신을 위한 거래종결 전제조건,Entity
확인실사,Entity
주식회사 감마테크,Entity
중요한 부채,Entity
절차,Entity
주요 고객과의 관계 원만한 유지,Entity
보험계약,Entity
이전의 서면 합의,Entity
양 당사자,Entity
인과관계 입증 자료,Entity
번역본과 불일치 시,Entity
추가 대가 지급 등의 조정,Entity
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",Entity
매매대금 지급에 필요한 충분한 자금 확보,Entity
주식회사 베타홀딩스 대표이사,Entity
제90조,Entity
추가 실사,Entity
위반 통지,Entity
대상회사,Entity
모든 라이선스와 허가,Entity
모든 라이선스,Entity
조세 관련 사항,Entity
개인정보보호법,Entity
주식매매계약서,Entity
본 계약의 일부 조항,Entity
자신의 비용,Entity
진행 중인 세무분쟁,Entity
한국채택국제회계기준,Entity
계약서 1부,Entity
시설 이전,Entity
서울중앙지방법원,Entity
추가 자료,Entity
필요한 경우,Entity
목표액과 차이,Entity
제15조의 확인실사,Entity
진술보증 사항,Entity
이사회 결의서,Entity
어느 일방에게 유리하게,Entity
검증 비용,Entity
사본,Entity
서울특별시 강남구,Entity
매수인의 책임과 비용,Entity
대한민국의 은행,Entity
거래종결일까지,Entity
모든 보험계약,Entity
더 유리한 조건,Entity
중요 자산,Entity
제1장 총칙,Entity
중요 문서,Entity
제공한 모든 정보의 정확성을 위해 최선을 다함,Entity
규제 변경,Entity
매매주식에 대한 완전한 소유권,Entity
거래종결 후 첫 회계연도,Entity
거래종결일로부터 3년간,Entity
재무제표,Entity
대한상사중재원,Entity
거래종결 후 발견된 부채,Entity
매도인,Entity
손해배상,Entity
통지,Entity
거래종결 전,Entity
연구개발 프로젝트,Entity
본 계약,Entity
거래종결 후,Entity
하자와 손해 간 인과관계 입증 자료,Entity
공개된 위험,Entity
제89조에 정한 증빙자료,Entity
매수인이 지명한 자,Entity
사업계획,Entity
권리,Entity
세금,Entity
진행 중인 세무조사,Entity
비용,Entity
주식회사 알파벤처스 대표이사,Entity
분쟁,Entity
사업계획 및 예측,Entity
검증 기관,Entity
처분권한,Entity
하자의 구체적 내용을 기술한 상세 보고서,Entity
중요 계약,Entity
본 계약상 권리의무,Entity
제공한 모든 정보,Entity
대한민국의 은행이 정상 영업하는 날,Entity
사업 운영에 필요한 모든 지적재산권,Entity
통제권,Entity
청구,Entity
"대상회사 발행 보통주식 10,000,000주",Entity
대리인,Entity
손해액 산정 근거,Entity
세무,Entity
미지급 매매대금,Entity
확정된 손해배상액,Entity
노동조합,Entity
거래종결 시,Entity
송금,Entity
별첨,Entity
대상회사의 독립적 경영,Entity
매도인이 지정한 계좌,Entity
선량한 관리자의 주의의무,Entity
영업일,Entity
거래 관련 공동 비용,Entity
"보통주식 10,000,000주",Entity
전 직원,Entity
부록,Entity
제51조,Entity
"담보권, 제한, 부담도 없는 상태",Entity
취득세,Entity
본 계약 체결일로부터 30일 이내,Entity
중재,Entity
문제점,Entity
회계 기준,Entity
본 거래와 관련,Entity
당사자,Entity
제51조에 따라 주식 양도가 완료되는 날,Entity
모든 허가,Entity
중요한 부정적 변동,Entity
30영업일,Entity
필요 서류,Entity
영업,Entity
거래종결일 기준,Entity
통상 15영업일,Entity
매수인이 실사 과정에서 실제로 인지한 사항,Entity
거래 시너지 실현,Entity
운전자본,Entity
본 계약과 관련된 분쟁,Entity
하자담보책임,Entity
서면,Entity
매도인 인도,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
연간 1억원 이상의 중요 계약,Entity
한국어,Entity
서명,Entity
무기한,Entity
매매대금 수령 계좌 정보,Entity
관련 등기 절차,Entity
매도인의 진술보증,Entity
당사자들,Entity
자산,Entity
비밀정보,Entity
나머지 조항은 유효하다,Entity
주권,Entity
계약,Entity
거래종결 5영업일 전까지,Entity
이전의 모든 구두 또는 서면 합의,Entity
"금 일만원(₩10,000)",Entity
등기우편,Entity
외부 전문가,Entity
하자,Entity
기존 브랜드,Entity
정부 승인,Entity
주주명부,Entity
첫 회계연도,Entity
중요한 소송,Entity
매매주식,Entity
정상적으로,Entity
중요한 계약,Entity
매수인이 선임한 감사인,Entity
"금 일천억원(₩100,000,000,000)",Entity
순부채,Entity
통지 기한,Entity
대상회사 관련 정보,Entity
일방,Entity
법령,Entity
하자의 구체적 내용,Entity
복잡한 사안,Entity
현금,Entity
데이터룸,Entity
권리 포기,Entity
주당 매매가격,Entity
환경 관련 법규,Entity
거래종결 후 사항,Entity
동일한 조건,Entity
통상의 영업과정에 따라,Entity
번역본,Entity
손해배상 청구,Entity
자,Entity
경영권,Entity
노동 관련 법규,Entity
목표액,Entity
거래종결 후 3개월간,Entity
각 당사자,Entity
일부 조항,Entity
