:START_ID,:END_ID,:TYPE
주식매매계약서가 작성된다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식회사 알파벤처스,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
주식회사 감마테크,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
주식회사 베타홀딩스,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
계약,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
2025년 1월 1일,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
2025년 1월 1일에 계약일자가 정해졌다.,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
주식회사 알파벤처스와 주식회사 베타홀딩스가 계약 당사자가 되었다.,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
주식회사 감마테크가 계약의 대상회사가 되었다.,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
주식회사 알파벤처스가 주식회사 감마테크를 대상으로 계약을 체결한다.,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,Source
제1장 총칙이 시작된다.,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
제1장 총칙,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
매도인,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"대상회사 발행 보통주식 10,000,000주",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
매매주식,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
매수인,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
본 계약,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
매매주식 매도 및 매수에 필요한 제반 사항,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
매수인이 이를 매수한다.,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
본 계약이 필요한 제반 사항을 규정한다.,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
대상회사,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"보통주식 10,000,000주",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
"매수인이 매도인으로부터 대상회사 발행 보통주식 10,000,000주를 매수한다.",74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
본 계약은 매도인과 매수인 간의 매매에 필요한 제반 사항을 규정한다.,74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,Source
거래종결일,7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
제51조에 따라 주식 양도가 완료되는 날,7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
영업일,7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
대한민국의 은행이 정상 영업하는 날,7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
중요한 부정적 변동,7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
주식 양도가 완료된다.,7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
"""거래종결일""이 된다.",7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
대한민국의 은행이 정상 영업한다.,7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
"""영업일""이다.",7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,Source
