:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다.,주식매매계약서,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],0,Relation
주식회사 알파벤처스,주식회사 감마테크,매도인이다,"['sell', 'vendor role', 'provide goods', 'transfer ownership', 'offer for sale']",[],1,Relation
주식회사 베타홀딩스,주식회사 감마테크,매수인이다,"['buyer status', 'ownership transition', 'acquire', 'purchase role', 'obtain']",[],2,Relation
주식회사 알파벤처스,주식회사 베타홀딩스,계약을 체결한다,"['make agreement', 'formalize deal', 'enter contract', 'sign accord', 'establish arrangement']",[],3,Relation
계약,2025년 1월 1일,체결일이다,"['contract date', 'establish date', 'agreement time', 'formalize', 'effective date']",[],4,Relation
2025년 1월 1일에 계약일자가 정해졌다.,주식회사 알파벤처스와 주식회사 베타홀딩스가 계약 당사자가 되었다.,이후,"['following', 'subsequent', 'after', 'next']",[],5,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 계약 당사자가 되었다.,주식회사 감마테크가 계약의 대상회사가 되었다.,동시에,"['concurrently', 'at the same time', 'simultaneously', 'synchronously']",[],6,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 알파벤처스,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],7,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 베타홀딩스,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],8,Relation
주식회사 알파벤처스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 알파벤처스,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],9,Relation
주식회사 알파벤처스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 감마테크,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],10,Relation
주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 베타홀딩스,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],11,Relation
주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 감마테크,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],12,Relation
제1장 총칙이 시작된다.,제1장 총칙,is participated by,"['attract involvement', 'be engaged', 'involve', 'be attended', 'receive participation']",[],13,Relation
매도인,"대상회사 발행 보통주식 10,000,000주",보유하다,"['retain', 'have', 'possess', 'hold', 'own']",[],14,Relation
매도인,매매주식,매도하다,"['relinquish', 'sell', 'dispose of', 'transfer ownership', 'divest']",[],15,Relation
매수인,매매주식,매수하다,"['acquire', 'buy', 'purchase', 'obtain']",[],16,Relation
본 계약,매매주식 매도 및 매수에 필요한 제반 사항,규정하다,"['stipulate', 'prescribe', 'establish', 'define', 'set rules']",[],17,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,동시에,"['concurrently', 'at the same time', 'simultaneously', 'synchronously']",[],18,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",본 계약이 필요한 제반 사항을 규정한다.,때문에,"['reason', 'due to', 'result from', 'cause', 'as a result of']",[],19,Relation
