":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"주식매매계약서가 작성된다","주식매매계약서","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"주식매매계약서가 작성된다","작성자","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"주식회사 델타인베스트먼트","주식회사 제타시스템즈","매도인이다","['transfer ownership', 'transaction', 'sell', 'provide', 'offer']","[]","Relation"
"주식회사 엡실론그룹","주식회사 제타시스템즈","매수인이다","['recipient', 'acquirer', 'buyer', 'purchaser', 'customer']","[]","Relation"
"주식회사 델타인베스트먼트","주식회사 엡실론그룹","계약을 체결한다","['establish deal', 'enter arrangement', 'make agreement', 'form contract']","[]","Relation"
"계약","2025년 1월 1일","체결일이다","['establish date', 'agreement time', 'contract timing', 'commencement date', 'initiation moment']","[]","Relation"
"2025년 1월 1일에 계약이 체결되었다.","계약 당사자가 매도인인 주식회사 델타인베스트먼트와 매수인인 주식회사 엡실론그룹으로 지정되었다.","이후","['succeeding', 'after', 'later than', 'subsequent', 'following']","[]","Relation"
"계약 당사자가 매도인인 주식회사 델타인베스트먼트와 매수인인 주식회사 엡실론그룹으로 지정되었다.","대상회사가 주식회사 제타시스템즈로 결정되었다.","동시에","['simultaneously', 'concurrently', 'synchronously', 'at the same time']","[]","Relation"
"주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.","주식회사 델타인베스트먼트","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.","주식회사 엡실론그룹","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"주식회사 델타인베스트먼트가 주식회사 제타시스템즈를 대상으로 계약을 체결한다.","주식회사 델타인베스트먼트","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"주식회사 델타인베스트먼트가 주식회사 제타시스템즈를 대상으로 계약을 체결한다.","주식회사 제타시스템즈","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"주식회사 엡실론그룹이 주식회사 제타시스템즈를 대상으로 계약을 체결한다.","주식회사 엡실론그룹","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"주식회사 엡실론그룹이 주식회사 제타시스템즈를 대상으로 계약을 체결한다.","주식회사 제타시스템즈","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"제1장 총칙이 제시된다.","제1장 총칙","is participated by","['be attended by', 'be taken part in', 'involve', 'be engaged by', 'be joined by']","[]","Relation"
"매도인","대상회사 발행 보통주식 15,000,000주","매도한다","['transfer ownership', 'give up', 'divest', 'dispose', 'relinquish']","[]","Relation"
