node,conceptualized_node,node_type
매도인의 진술보증이 중요한 측면에서 정확하다.,"확인, 보증, 진술, 신뢰, 거래, 책임",event
대상회사는 사업 운영에 필요한 모든 지적재산권을 적법하게 보유하거나 사용할 권리를 가진다.,"legal compliance, intellectual property, business operation, authorization, rights management",event
매수인이 즉시 완전한 경영권을 행사한다.,"acquisition, ownership transfer, management control, authority, decision-making",event
거래종결은 본 계약 체결일로부터 45일 이내에 이루어진다.,"계약이행, 거래완료, 일정관리, 법적절차, 마감",event
임원이 해당 업무에 필요한 전문성과 경험을 보유한다.,"qualification, expertise, competency, experience, professionalism",event
"""적격 경영진""이 ""이사회 승인""을 받은 임원을 의미한다.","approval, endorsement, qualification, selection, recognition",event
매도인은 제공한 모든 정보가 작성 당시 기준으로 정확함을 확인한다.,"verification, confirmation, disclosure, assurance, compliance",event
본 계약은 당사자 간 완전한 합의를 구성한다.,"agreement, contract, consensus, legal binding, negotiation",event
각 당사자는 상대방에게 필요한 서류를 제공한다.,"document exchange, cooperation, information sharing, compliance, obligation",event
양 당사자는 거래종결 장소에 대해 합의한다.,"agreement, negotiation, consensus, arrangement, decision",event
중대한 하자임을 입증하는 자료를 준비한다.,"증명, 준비, 조사, 자료수집, 입증, 분석",event
매수인이 추가 보증을 요청한다.,"negotiation, request, assurance, risk management, financial security",event
대상회사는 모든 세금을 적시에 신고·납부했다.,"compliance, taxation, reporting, payment, obligation",event
각 당사자가 1부씩 보관한다.,"distribution, agreement, documentation, recordkeeping, partition",event
거래종결은 서울특별시 소재 합의된 장소에서 이루어진다.,"agreement, transaction, settlement, location, negotiation",event
대상회사는 노동조합과의 단체협약을 위반한 바 없다.,"agreement, compliance, labor relations, negotiation, dispute resolution",event
거래종결일이 도래한다,"completion, finalization, deadline, agreement, closure",event
본 계약과 관련된 분쟁이 발생한다.,"legal dispute, conflict, disagreement, litigation, resolution",event
매수인과 협의하여 진행한다.,"negotiation, agreement, consultation, collaboration, decision-making",event
번역본과 불일치 시 한국어본이 우선한다.,"translation, prioritization, language preference, interpretation, selection",event
일방이 정당한 사유 없이 거래종결을 거부한다,"contract breach, refusal, dispute, obstruction, unfairness",event
진술보증이 위반된다,"계약위반, 책임, 법적분쟁, 손해배상, 신뢰상실",event
첫 회계연도가 시작된다.,"beginning, initiation, accounting, business, organization, planning",event
계약은 대한민국 법률에 따라 규율되고 해석된다.,"legal interpretation, regulation, governance, jurisdiction, contract law",event
45일 이내 또는 합의한 날에 거래종결이 이루어진다.,"agreement, settlement, closure, negotiation, transaction",event
본 계약은 규율된다.,"regulation, governance, agreement, contract formation, legal arrangement",event
본 계약의 해석에 대한 분쟁이 발생한다.,"dispute, interpretation, legal conflict, disagreement, resolution",event
거래종결 전에 선언된 배당이 매도인에게 귀속된다.,"distribution, entitlement, allocation, ownership, transfer",event
천재지변이 발생한다.,"disaster, catastrophe, emergency, crisis, upheaval",event
매수인은 추가 보증을 요청한다.,"negotiation, assurance, request, risk management, transaction",event
거래 시너지가 실현된다.,"collaboration, integration, synergy, cooperation, partnership",event
거래종결 후 90일 내에 거래종결일 기준 운전자본을 확정한다.,"settlement, accounting, adjustment, confirmation, post-closing, financial review",event
제6장 일반조항이 존재한다.,"existence, regulation, documentation, governance, legislation",event
양 당사자가 거래종결 시 종결 확인서를 작성한다.,"contracting, documentation, confirmation, agreement, completion, closure",event
이사회 해산 후 매도인이 지정한 자가 임시로 경영권을 행사한다.,"management transfer, temporary control, authority delegation, governance, transition",event
대상회사의 모든 중요 자산은 정상적으로 운영되고 있다.,"operation, maintenance, functionality, asset management, stability",event
"대상회사를 상대로 하거나 대상회사가 당사자인 중요한 소송, 중재, 행정절차가 없다.","legal status, litigation, arbitration, administrative process, compliance",event
주주총회는 거래종결 후 30일 이내에 개최된다.,"meeting, decision-making, governance, corporate event, compliance",event
각 당사자는 진술보증 사항에 중요한 변경이 발생한다.,"notification, update, disclosure, contract, communication",event
