Name,Type
거래 당사자들,Entity
번역본,Entity
제52조,Entity
추가 대가 조정,Entity
모든 라이선스와 허가,Entity
행정적 사항,Entity
법령,Entity
제3조의 정의에 따라,Entity
대상회사,Entity
진행 중인 세무조사,Entity
제3조의 중대한 하자,Entity
별도 합의가 없는 한,Entity
대금조정,Entity
중요한 진술보증,Entity
종결 확인서,Entity
천재지변,Entity
서울중앙지방법원,Entity
거래종결 후,Entity
주주총회 개최 전까지,Entity
거래종결 후 최소 1년간,Entity
매수인이 지명한 이사들,Entity
사무실,Entity
재무 정보,Entity
별도 합의,Entity
이전의 구두 합의,Entity
사업,Entity
제1장 총칙,Entity
중대한 하자가 아닌 경우,Entity
노동조합,Entity
상대방,Entity
거래종결 후 제28조에 정한 기간 동안,Entity
중요 자산,Entity
다음 사항의 진실성과 정확성,Entity
이사회 재구성,Entity
조건,Entity
확정된 손해배상액,Entity
위반 통지,Entity
나머지 부분,Entity
보험계약,Entity
본 계약 체결일 및 거래종결일 현재,Entity
지속적으로,Entity
제3자,Entity
임대차계약,Entity
등기 절차,Entity
이사회 승인을 받은 임원,Entity
진술보증 사항,Entity
작성자,Entity
예측,Entity
계약 상대방,Entity
적격 경영진이 관리하는 상태에서 대상회사가 통상의 사업활동을 수행하는 것,Entity
계약의 나머지 부분,Entity
모든 중요한 계약,Entity
중대한 하자,Entity
대상회사의 모든 중요 문서,Entity
영업비밀,Entity
본 계약의 한국어본,Entity
주주총회,Entity
조건이 충족됨,Entity
규정,Entity
거래종결일 기준,Entity
진술보증 위반,Entity
유효하다,Entity
실사 과정에서 공개된 것 외,Entity
이전,Entity
불이행,Entity
상호 선의와 신뢰,Entity
신뢰,Entity
정상영업 여부,Entity
거래종결 후 발견된 자산,Entity
당사자들,Entity
비밀정보,Entity
기존 분쟁,Entity
영업일,Entity
정상영업,Entity
중요 계약,Entity
하자,Entity
제6장 일반조항,Entity
대응,Entity
1부,Entity
우발채무,Entity
손해배상,Entity
현금,Entity
임시 경영자,Entity
거래종결일 현재,Entity
매도인 지정 계좌,Entity
인도,Entity
업계 표준,Entity
세무 분쟁,Entity
거래종결 후 6개월간,Entity
환경 관련 소송,Entity
상호,Entity
제28조,Entity
다음 사항,Entity
당사자,Entity
법령상 요구 또는 상대방의 서면 동의,Entity
계약 당사자,Entity
매매주식에 대한 완전한 소유권,Entity
본 거래,Entity
매매대금의 20%,Entity
운전자본,Entity
매매주식,Entity
대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항,Entity
서울특별시 소재 양 당사자가 합의한 장소,Entity
적격 경영진,Entity
자신을 위한 거래종결 전제조건,Entity
제11조,Entity
현재 상태,Entity
매도 및 매수에 필요한 제반 사항,Entity
기존 공급업체,Entity
제1심 관할법원,Entity
보상한도,Entity
사업계획 및 예측,Entity
매수인의 연결 재무제표,Entity
모든 부록,Entity
제4장,Entity
기존 직원,Entity
권리 불행사,Entity
본 계약을 체결하고 이행할 완전한 권한과 능력,Entity
이메일,Entity
기존 대표이사,Entity
적절한 보상한도,Entity
데이터 보호 관련 법규,Entity
합리적인 가정,Entity
매매가격,Entity
중요한 부채,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
제51조,Entity
중요 문서,Entity
본 거래와 관련하여,Entity
과거 실적,Entity
환경 관련 법규,Entity
중재,Entity
공백,Entity
데이터룸,Entity
공급망,Entity
제2장,Entity
주식회사 제타시스템즈,Entity
단체협약,Entity
중대한 하자의 판단,Entity
이사회 해산,Entity
소송,Entity
제공한 모든 정보가 작성 당시 기준으로 정확함,Entity
이사회,Entity
한국채택국제회계기준,Entity
거래종결,Entity
규제 변경,Entity
상황,Entity
완전한 경영권,Entity
부록,Entity
매매대금 전액을 자기자본으로 조달함,Entity
재무적 손실의 규모,Entity
필요 서류,Entity
선의,Entity
불가항력,Entity
사업계획,Entity
대표이사,Entity
모든 허가,Entity
신임 이사,Entity
매매대금 조정,Entity
모든 정보,Entity
대한민국의 은행이 정상 영업하는 날,Entity
일관된 회계 기준,Entity
다음 사항이 진실하고 정확함,Entity
부채,Entity
"₩150,000,000,000",Entity
서울특별시,Entity
중대한 하자에 해당하지 않는 사항,Entity
양 당사자,Entity
행정절차,Entity
이전의 서면 합의,Entity
통지,Entity
모든 별첨,Entity
대리인,Entity
서면 동의,Entity
동일 조건,Entity
감사인,Entity
세무조사,Entity
정상적으로,Entity
기존 상호,Entity
거래종결 후 발견된 부채,Entity
거래종결 전 선언된 배당,Entity
자기자본,Entity
"₩10,000",Entity
경영 정보,Entity
첫 회계연도의 감사,Entity
거래 시너지 실현,Entity
면책,Entity
단순한 일시적 변동,Entity
모든 법령,Entity
개인정보보호법,Entity
상대방의 사전 서면 동의,Entity
주주총회 결의,Entity
노동 관련 법규,Entity
중단 없이,Entity
추가 보증,Entity
해결,Entity
배당,Entity
거래종결일,Entity
새로운 이사회,Entity
경영권,Entity
지분,Entity
권리 포기,Entity
중요한 측면,Entity
계약의 일부,Entity
지정한 계좌,Entity
기존 브랜드,Entity
어느 일방에게 유리하게,Entity
계열회사,Entity
주식회사 엡실론그룹,Entity
양호한 상태,Entity
실사 과정,Entity
'중대한 하자',Entity
주식회사 델타인베스트먼트,Entity
매매대금 수령 계좌 정보,Entity
업계 표준과 과거 실적을 기준으로,Entity
분쟁,Entity
규제,Entity
연간 2억원 이상의 중요 계약,Entity
본 계약,Entity
확정된 손해배상액과 미지급 대금,Entity
거래종결 전제조건,Entity
이사회 해산과 재구성 사이,Entity
진행 중인 연구개발 프로젝트,Entity
노동조합과의 단체협약,Entity
당사자 간 완전한 합의,Entity
주식매매계약서,Entity
통제권,Entity
한국어,Entity
매도인이 지정한 자,Entity
거래종결 후 사항,Entity
매수인,Entity
기존 분쟁 해결에 필요한 모든 지원,Entity
성과,Entity
계약,Entity
이사들,Entity
거래 과정,Entity
"대상회사 발행 보통주식 15,000,000주",Entity
본 계약 체결일로부터 45일 이내,Entity
거래종결일로부터 2년간,Entity
거래 관련 공동 비용,Entity
기존 이사회,Entity
생산시설,Entity
주주명부,Entity
주식,Entity
이사회 승인 없는 임원,Entity
주권,Entity
통상의 영업 범위,Entity
정밀 실사,Entity
거래종결과 동시에,Entity
모든 라이선스,Entity
매도인,Entity
자산,Entity
당사자들이 합의한 날,Entity
모든 기한,Entity
2부,Entity
일방,Entity
양도소득세,Entity
일시적인 경영진 부재,Entity
서면 합의,Entity
권리,Entity
"담보권, 제한, 부담도 없는 상태",Entity
핵심 임직원,Entity
손해배상 책임,Entity
사업 운영에 필요한 모든 지적재산권,Entity
자신의 비용,Entity
대상회사의 정상영업에 미치는 영향,Entity
대한민국의 은행,Entity
계약상 권리의무,Entity
미지급 대금,Entity
등기우편,Entity
업계 전반의 상황,Entity
중요한 의사결정,Entity
매매 조건,Entity
시너지 창출,Entity
발송 후 3영업일 경과,Entity
이전의 모든 구두 또는 서면 합의,Entity
대상회사의 모든 경영 정보,Entity
손해배상 청구,Entity
첫 회계연도,Entity
거래종결일로부터 3년간,Entity
부동산의 임대차계약,Entity
취득세,Entity
지적재산권,Entity
모든 보험계약,Entity
회계 기준,Entity
한국어본,Entity
향후,Entity
제5장,Entity
재무제표에 기재된 부채,Entity
세금,Entity
관련 등기 절차,Entity
임원,Entity
매매대금,Entity
부정적 변동,Entity
객관적이고 합리적인 기준,Entity
환경 관련 분쟁,Entity
제공된 대상회사의 재무제표,Entity
모든 통지,Entity
본 계약의 일부,Entity
계약 체결일,Entity
대상회사의 핵심 임직원,Entity
대상회사에 대한 경영권과 통제권의 이전,Entity
제3조,Entity
대상회사의 모든 중요 자산,Entity
비밀정보 공개,Entity
중요한 계약,Entity
복구 가능성 및 소요 기간,Entity
문서 인수인계,Entity
거래종결 후 30일 이내,Entity
회사,Entity
계약서,Entity
거래종결 의무,Entity
별첨,Entity
중대한 하자임을 입증하는 자료,Entity
재무제표,Entity
2025년 1월 1일,Entity
중요한 소송,Entity
CSR 활동,Entity
각 당사자,Entity
직간접적으로 50% 이상의 지분을 보유한 회사,Entity
상대방에게 통지한다,Entity
번역본과 불일치 시,Entity
순부채,Entity
진술보증,Entity
대상회사에 대한 경영권과 통제권,Entity
부동산,Entity
외부 전문가,Entity
이사회 결의서,Entity
제51조에 따라 주식 양도가 완료되는 날,Entity
매수인과 협의,Entity
하자담보책임,Entity
관계,Entity
대한민국 법률,Entity
주당 매매가격,Entity
업무에 필요한 전문성과 경험,Entity
거래종결 시,Entity
취득세는 매수인이 부담한다.,Event
중대한 하자에 해당하지 않는 사항이 있다,Event
복구 가능성이 고려된다,Event
권리 불행사가 권리 포기로 간주되지 않는다.,Event
본 계약의 해석에 대한 분쟁이 발생한다.,Event
본 계약은 2부 작성한다.,Event
상대방은 계약을 해제할 수 있다.,Event
매매가 진행된다.,Event
기한이 정해진다.,Event
각 당사자는 진술보증 사항에 중요한 변경이 발생할 경우 즉시 상대방에게 통지한다.,Event
대상회사에 환경 관련 소송이나 분쟁이 없다.,Event
매수인이 이에 대응한다.,Event
제3조의 정의에 따른다.,Event
거래가 종결된다,Event
자산은 매수인에게 귀속된다.,Event
통지를 발송한다.,Event
대상회사가 개인정보보호법 등 데이터 보호 관련 법규를 완전히 준수한다.,Event
"매매주식이 담보권, 제한, 부담 없이 양도된다.",Event
대상회사의 모든 중요 자산은 양호한 상태로 유지되고 있다.,Event
거래종결일이 된다,Event
매수인은 거래종결일 이후 매매주식에 대한 완전한 소유권을 갖게 된다.,Event
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,Event
거래종결 5영업일이 된다.,Event
중대한 하자임을 입증하는 자료를 준비한다.,Event
거래가 종결된다.,Event
대상회사가 모든 환경 관련 법규를 준수하고 있다.,Event
중대한 하자가 발생한다.,Event
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,Event
대상회사는 개인정보보호법을 완전히 준수한다.,Event
성과에 따른 추가 대가 조정이 없다.,Event
진술보증 위반으로 인한 손해배상은 제3조의 '중대한 하자'에 해당하는 경우에만 청구 가능하다.,Event
하자가 재무적 손실의 규모에 미치는 영향을 판단한다.,Event
본 계약의 해석에 대한 분쟁이 있을 경우,Event
당사자들은 관련 정보를 외부에 공개하지 않는다.,Event
매수인은 대상회사의 모든 경영 정보에 무제한 접근할 수 있다.,Event
본 계약의 효력 발생을 위해 서명한다.,Event
각 당사자는 즉시 상대방에게 통지한다.,Event
대상회사의 정상영업에 영향이 미친다,Event
상대방의 사전 서면 동의를 받아야 한다.,Event
매도인은 거래종결일에 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,Event
주주총회 결의를 거친다.,Event
매수인이 실사 권한을 행사한다.,Event
잔금이 지급된다.,Event
매수인은 확정된 손해배상액을 미지급 대금과 상계할 수 있다.,Event
매수인의 거래종결 의무가 발생한다,Event
제5장은 거래종결 후 사항을 다룬다.,Event
"매수인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수한다.",Event
정상영업 여부는 제11조의 정의에 따라 판단된다.,Event
외부 전문가를 통한 정밀 실사가 수행된다.,Event
"대상회사를 상대로 하거나 대상회사가 당사자인 중요한 소송, 중재, 행정절차가 없다.",Event
양 당사자는 거래 과정에서 영업비밀을 알게 된다.,Event
거래종결 후 발견된 자산이 매수인에게 귀속된다.,Event
실사 과정에서 정보가 공개되었다.,Event
거래에 관련된 공동 비용이 발생한다.,Event
양 당사자는 서로에게 성실하게 행동한다.,Event
임시 경영자가 중요한 의사결정을 해야 한다.,Event
각 당사자가 필요를 느낀다.,Event
대상회사의 모든 보험계약이 거래종결일 현재 유효하다.,Event
대상회사의 모든 중요 문서가 매수인에게 인도된다.,Event
대상회사에 대한 경영권과 통제권이 매수인에게 이전된다.,Event
배당이 매도인에게 귀속된다.,Event
모든 재무 정보가 해당 기준에 따라 작성되었다.,Event
매수인이 거래종결 전후 언제든지 대상회사의 경영 상태를 점검할 수 있다.,Event
대상회사는 계약 상대방으로부터 위반 통지를 받은 바 없다.,Event
양 당사자는 최대한의 성실함을 보인다.,Event
모든 기한이 엄격히 준수된다.,Event
대상회사가 매수인의 연결 재무제표에 포함된다.,Event
매도인은 책임을 부담하지 않는다.,Event
업계 표준과 과거 실적이 존재한다,Event
연간 2억원 이상의 중요 계약이 실사 과정에서 공개되지 않았다.,Event
대상회사는 재무제표를 한국채택국제회계기준에 따라 작성한다.,Event
중대한 하자가 아닌 경우 매도인은 책임을 부담하지 않는다.,Event
제2장에서는 매매의 조건이 규정된다.,Event
손해배상 청구는 서면으로 해야 한다.,Event
각 당사자는 대리인을 선임할 수 있다.,Event
양 당사자는 그 영업비밀을 보호한다.,Event
대상회사가 당사자인 중요한 중재가 존재하지 않는다.,Event
계약의 일부가 무효이다.,Event
거래종결은 서울특별시 소재 양 당사자가 합의한 장소에서 이루어진다.,Event
양 당사자가 서면 합의로 계약을 수정하거나 변경한다.,Event
주식매매계약서가 작성된다,Event
"""적격 경영진""이 ""이사회 승인""을 받은 임원을 의미한다.",Event
재무 정보의 작성 기준이 일관성을 갖게 되었다.,Event
매수인은 거래종결 전후 언제든지 대상회사의 경영 상태를 점검할 수 있다.,Event
거래종결 후에도 비밀유지 의무가 존재한다.,Event
권리를 포기하지 않는다.,Event
신임 이사를 선임한다.,Event
하자가 대상회사의 정상영업에 미치는 영향을 판단한다.,Event
매수인은 본 계약을 체결한다.,Event
신임 이사의 선임은 주주총회 결의를 거쳐야 한다.,Event
매수인이 경영권을 승계한다,Event
거래종결 전 배당이 선언된다.,Event
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,Event
매도인이 진술하고 보증한다,Event
양 당사자는 거래 과정에서 알게 된 영업비밀을 보호한다.,Event
어느 당사자가 본 계약상 권리의무를 제3자에게 양도한다.,Event
본 계약은 규율된다.,Event
매수인은 기존 직원의 근로조건을 유지한다.,Event
중요한 진술보증은 거래종결 후에도 제28조에 정한 기간 동안 유효하다.,Event
각 당사자가 1부씩 보관한다.,Event
손해배상 책임 한도가 매매대금의 20%로 제한된다.,Event
제4장 거래종결이 언급된다.,Event
매수인은 본 계약을 체결하고 이행할 완전한 권한과 능력을 보유한다.,Event
매도인은 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,Event
매수인이 즉시 완전한 경영권을 행사한다.,Event
