:START_ID,:END_ID,:TYPE
주식매매계약서가 작성된다,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
작성자,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식회사 델타인베스트먼트,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
주식회사 제타시스템즈,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
주식회사 엡실론그룹,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
계약,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
2025년 1월 1일,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
2025년 1월 1일에 계약이 체결되었다.,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
계약 당사자가 매도인인 주식회사 델타인베스트먼트와 매수인인 주식회사 엡실론그룹으로 지정되었다.,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
대상회사가 주식회사 제타시스템즈로 결정되었다.,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
주식회사 델타인베스트먼트가 주식회사 제타시스템즈를 대상으로 계약을 체결한다.,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
주식회사 엡실론그룹이 주식회사 제타시스템즈를 대상으로 계약을 체결한다.,61918187d1b0999094651f22987d11100502badde6955d88cf2d2ec661f47393,Source
제1장 총칙이 제시된다.,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
제1장 총칙,2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,Source
매도인,b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
"대상회사 발행 보통주식 15,000,000주",b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
매수인,b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
본 계약,b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
매도 및 매수에 필요한 제반 사항,b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
매수인이 이를 매수한다.,b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
계약에서 필요한 제반 사항을 규정한다.,b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
"매수인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수한다.",b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
대상회사,b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
"계약이 매도인이 보유한 대상회사 발행 보통주식 15,000,000주 매매 및 관련 사항을 규정한다.",b35cfcf2f0698805b8ad15a3335ea5a38defbcffea3e94a290bcf6b677dccb0c,Source
거래종결일,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
제51조에 따라 주식 양도가 완료되는 날,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
영업일,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
대한민국의 은행이 정상 영업하는 날,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
계열회사,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
직간접적으로 50% 이상의 지분을 보유한 회사,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
주식 양도가 완료된다,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
거래종결일이 된다,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
대한민국의 은행이 정상 영업한다,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
영업일이 된다,dec33afcd0ba3fb77139a1c2ed9ac3a10476a3b8f5405ce9bb9e7e48dde9f867,Source
