:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식매매계약서가 작성된다,주식매매계약서,is participated by,[],[],Relation
주식매매계약서가 작성된다,작성자,is participated by,[],[],Relation
주식회사 델타인베스트먼트,주식회사 제타시스템즈,매도인이다,[],[],Relation
주식회사 엡실론그룹,주식회사 제타시스템즈,매수인이다,[],[],Relation
주식회사 델타인베스트먼트,주식회사 엡실론그룹,계약을 체결한다,[],[],Relation
계약,2025년 1월 1일,체결일이다,[],[],Relation
2025년 1월 1일에 계약이 체결되었다.,계약 당사자가 매도인인 주식회사 델타인베스트먼트와 매수인인 주식회사 엡실론그룹으로 지정되었다.,이후,[],[],Relation
계약 당사자가 매도인인 주식회사 델타인베스트먼트와 매수인인 주식회사 엡실론그룹으로 지정되었다.,대상회사가 주식회사 제타시스템즈로 결정되었다.,동시에,[],[],Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 델타인베스트먼트,is participated by,[],[],Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 엡실론그룹,is participated by,[],[],Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈를 대상으로 계약을 체결한다.,주식회사 델타인베스트먼트,is participated by,[],[],Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈를 대상으로 계약을 체결한다.,주식회사 제타시스템즈,is participated by,[],[],Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈를 대상으로 계약을 체결한다.,주식회사 엡실론그룹,is participated by,[],[],Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈를 대상으로 계약을 체결한다.,주식회사 제타시스템즈,is participated by,[],[],Relation
제1장 총칙이 제시된다.,제1장 총칙,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 15,000,000주",매도한다,[],[],Relation
매수인,"대상회사 발행 보통주식 15,000,000주",매수한다,[],[],Relation
본 계약,매도 및 매수에 필요한 제반 사항,규정한다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,동시에,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",계약에서 필요한 제반 사항을 규정한다.,때문에,[],[],Relation
"매수인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수한다.",계약에서 필요한 제반 사항을 규정한다.,때문에,[],[],Relation
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",매도인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 15,000,000주를 매수한다.",대상회사,is participated by,[],[],Relation
"계약이 매도인이 보유한 대상회사 발행 보통주식 15,000,000주 매매 및 관련 사항을 규정한다.",매도인,is participated by,[],[],Relation
"계약이 매도인이 보유한 대상회사 발행 보통주식 15,000,000주 매매 및 관련 사항을 규정한다.",매수인,is participated by,[],[],Relation
"계약이 매도인이 보유한 대상회사 발행 보통주식 15,000,000주 매매 및 관련 사항을 규정한다.",대상회사,is participated by,[],[],Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,[],[],Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,[],[],Relation
계열회사,직간접적으로 50% 이상의 지분을 보유한 회사,의미한다,[],[],Relation
주식 양도가 완료된다,거래종결일이 된다,결과로,[],[],Relation
대한민국의 은행이 정상 영업한다,영업일이 된다,동시에,[],[],Relation
직간접적으로 50% 이상의 지분을 보유한다,계열회사가 된다,결과로,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날을 의미한다.,거래종결일,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날을 의미한다.,제51조,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날을 의미한다.,주식,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날을 의미한다.,영업일,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날을 의미한다.,대한민국의 은행,is participated by,[],[],Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사를 의미한다.,계열회사,is participated by,[],[],Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사를 의미한다.,지분,is participated by,[],[],Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사를 의미한다.,회사,is participated by,[],[],Relation
중대한 하자,대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항,정의된다,[],[],Relation
중대한 하자의 판단,객관적이고 합리적인 기준,따른다,[],[],Relation
단순한 일시적 변동,중대한 하자,간주되지 않는다,[],[],Relation
업계 전반의 상황,중대한 하자,간주되지 않는다,[],[],Relation
단순한 일시적 변동이나 업계 전반의 상황은 발생한다.,중대한 하자로 보지 않는다.,이후,[],[],Relation
객관적이고 합리적인 기준이 적용된다.,중대한 하자의 판단이 이루어진다.,결과로,[],[],Relation
대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항이 존재한다.,"""중대한 하자""란 의미가 성립한다.",정의,[],[],Relation
중대한 하자는 대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.,중대한 하자,is participated by,[],[],Relation
중대한 하자는 대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.,대상회사,is participated by,[],[],Relation
중대한 하자는 대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.,정상영업,is participated by,[],[],Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,중대한 하자,is participated by,[],[],Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,객관적이고 합리적인 기준,is participated by,[],[],Relation
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,단순한 일시적 변동,is participated by,[],[],Relation
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,업계 전반의 상황,is participated by,[],[],Relation
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,중대한 하자,is participated by,[],[],Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함하다,[],[],Relation
본 계약,이전의 모든 구두 또는 서면 합의,대체하다,[],[],Relation
