node,conceptualized_node,node_type
매도인은 필요한 정보를 제공한다.,"disclosure, communication, transaction, information sharing, obligation",event
이전의 모든 구두 또는 서면 합의가 대체된다.,"agreement, replacement, nullification, contract, supersession",event
거래가 종결된다,"agreement, completion, closure, settlement, finalization",event
매도인이 제3자에게 더 유리한 조건을 제시한다.,"negotiation, competition, offer, advantage, bargaining",event
거래종결일이 된다.,"completion, finalization, settlement, closure, agreement",event
매수인은 거래종결일 이후 매도인에게 잔금 지급을 완료한다.,"payment, completion, settlement, transaction, obligation",event
대상회사는 모든 세금을 적시에 신고했다.,"compliance, reporting, responsibility, regulation, obligation",event
포기된 거래종결 전제조건에 따라 계약이 체결될 수 있다.,"contract formation, legal condition, agreement, contingency, negotiation",event
사회적 책임이 수행된다,"responsibility, obligation, contribution, duty, accountability",event
거래종결 즉시 대상회사는 주주명부에 매수인을 기재한다.,"registration, documentation, transaction, ownership transfer, recordkeeping",event
하자담보책임의 청구는 본 계약에 정한 절차에 따라야 한다.,"legal process, dispute resolution, contract enforcement, warranty claim, compliance",event
매도인은 거래종결 시 이사회 결의서를 인도한다.,"contracting, resolution, documentation, delivery, transaction, agreement",event
본 계약의 일부 조항이 무효이다.,"contract invalidity, legal defect, unenforceability, clause voidance, legal issue",event
매도인은 거래종결 시 주주명부를 인도한다.,"transfer, transaction, documentation, ownership, delivery",event
공개된 모든 정보는 중요한 측면에서 정확하다.,"disclosure, accuracy, verification, transparency, communication",event
대상회사는 기존 브랜드를 계속 사용할 수 있다.,"branding, continuity, permission, identity, autonomy",event
매수인에게도 동일하게 적용한다.,"application, extension, transaction, agreement, inclusion",event
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,"confidentiality, secrecy, protection, nondisclosure, trust",event
제1장의 제목이 총칙으로 명명된다.,"naming, designation, classification, titling, organization",event
매도인이 요청받은 정보를 신속히 제공한다.,"communication, cooperation, information sharing, responsiveness, transaction",event
필요한 정부 승인을 취득한다.,"regulation, authorization, compliance, certification, permission",event
각 당사자가 계약서 1부씩을 보관한다.,"agreement, documentation, recordkeeping, contract management, legal compliance",event
실사 과정에서 연간 1억원 이상의 중요 계약이 공개되었다.,"disclosure, contract, transparency, negotiation, financial event",event
매수인이 매도인에게 서면으로 통지한다.,"notification, communication, transaction, informing, agreement",event
각 당사자는 자신을 위한 거래종결 전제조건을 포기할 수 있다.,"waiver, negotiation, agreement, decision, concession",event
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태로 양도되어야 한다.","transfer, ownership, clearance, transaction, rights",event
매도인의 진술보증 위반에 대한 하자담보책임이 60일간 유효하다.,"contract, warranty, liability, assurance, transaction",event
그 부채는 매도인에게 귀속된다.,"ownership, transfer, assignment, obligation, entitlement",event
각 당사자가 진술보증 사항에 중요한 변경이 발생할 경우 즉시 상대방에게 통지한다.,"notification, disclosure, communication, obligation, contract compliance",event
중요한 부정적 변동이 된다.,"decline, deterioration, disruption, downturn, crisis",event
대상회사의 모든 중요 자산은 양호한 상태로 유지되고 있다.,"maintenance, preservation, asset management, condition assessment, oversight",event
검증 비용을 매도인이 부담한다,"cost allocation, responsibility, transaction, verification, seller obligation",event
대상회사가 모든 환경 관련 법규를 준수하고 있다.,"compliance, regulation, environmental protection, legal adherence, corporate responsibility",event
상대방이 계약을 해제할 수 있다,"termination, cancellation, revocation, legal right, contract modification",event
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태이다.","ownership, transfer, clearance, freedom, transaction",event
각 당사자가 자신을 위한 거래종결 전제조건을 포기할 수 있다.,"waiver, negotiation, agreement, condition modification, contract adjustment",event
매도인은 매수인의 추가 실사 요청에 성실히 협조해야 한다.,"cooperation, negotiation, obligation, diligence, compliance",event
매도인은 거래종결 시 주권을 인도한다.,"delivery, transaction, transfer, obligation, settlement",event
본 계약이 이전의 모든 구두 또는 서면 합의를 대체한다.,"contract, agreement, replacement, finalization, supersession",event
거래종결 후 발견된 부채가 매도인에게 귀속된다.,"채무, 분쟁, 귀속, 책임, 정산",event
본 계약에 정한 절차에 따라야 한다.,"compliance, regulation, agreement, procedure, obligation",event
모든 진술과 보증은 본 계약 체결일과 거래종결일을 기준으로 한다.,"legal assurance, contract execution, transaction date, statement validity, warranty period",event
매도인이 분쟁 해결을 위해 정보를 제공한다.,"resolution, negotiation, disclosure, cooperation, communication",event
감사인이 감사보고서를 작성한다.,"reporting, auditing, documentation, evaluation, assessment",event
양 당사자가 선량한 관리자의 주의의무를 지킨다.,"duty, responsibility, diligence, care, compliance",event
매수인이 본 계약을 체결한다.,"contracting, agreement, transaction, commitment, negotiation",event
매수인이 지명한 자를 대상회사의 이사로 선임한다.,"appointment, nomination, governance, board selection, management decision",event
천재지변 등 불가항력적 사유가 발생한다.,"disaster, force majeure, unpredictability, emergency, inevitability",event
본 계약 체결일 및 거래종결일이 있다.,"contracting, agreement, transaction, finalization, scheduling",event
거래종결이 서울특별시 강남구 소재 매도인의 사무실에서 이루어진다.,"contract completion, transaction, agreement, office, location",event
모든 손해배상 청구는 제63조에 따른 제3자 검증 보고서를 첨부해야 한다.,"compensation, verification, documentation, compliance, reporting",event
감사보고서가 작성된다.,"보고, 기록, 보고서작성, 감사, 평가",event
매매대금이 준비된다,"payment, transaction, preparation, financing, readiness",event
매도인은 거래종결일로부터 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,"noncompete, restriction, business agreement, exclusivity, contract compliance",event
계약일자가 2025년 1월 1일로 지정된다.,"agreement, scheduling, designation, arrangement, formalization",event
거래종결이 30일 이내 또는 당사자들이 합의한 날에 이루어진다.,"agreement, deadline, completion, negotiation, fulfillment",event
매도인의 손해배상 책임 한도가 매매대금의 30%로 제한된다.,"limitation, compensation, liability, restriction, contract",event
계약이 수정되거나 변경된다,"변경, 수정, 협상, 합의, 조정, 갱신",event
일방이 정당한 사유 없이 거래종결을 거부한다.,"breach, refusal, termination, dispute, noncompliance",event
대한상사중재원이 검증 기관을 지정한다,"designation, authorization, certification, validation, governance",event
