Name,Type
세무조사,Entity
모든 기한,Entity
거래종결 시점,Entity
인과관계 입증 자료,Entity
중요한 소송,Entity
단체협약,Entity
어느 당사자,Entity
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",Entity
주식,Entity
거래종결일 기준,Entity
매도인이 지정한 계좌,Entity
정상적,Entity
거래종결일 현재,Entity
부동산의 임대차계약,Entity
본 계약에 정한 절차,Entity
대상회사 이사,Entity
원활한 경영권 이전,Entity
노동조합,Entity
비밀정보 공개 금지,Entity
제2장,Entity
경영 자문,Entity
대한민국의 은행이 정상 영업하는 날,Entity
거래,Entity
서류 인도,Entity
2025년 1월 1일,Entity
무기한,Entity
공소시효 만료일까지,Entity
매도인의 진술보증,Entity
거래종결 후 3개월간,Entity
환경 관련 소송,Entity
주권,Entity
규제,Entity
확정된 운전자본,Entity
법령상 요구,Entity
영업일,Entity
본 거래와 관련하여,Entity
위반 통지,Entity
거래종결 후 발견된 자산,Entity
주요 고객,Entity
상호 선의와 신뢰,Entity
제51조,Entity
거래종결일로부터 60일간,Entity
거래종결일로부터,Entity
공소시효,Entity
공개된 모든 정보,Entity
증빙자료,Entity
문서 인도,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
상세 보고서,Entity
법무,Entity
거래 관련 공동 비용,Entity
하자,Entity
2부,Entity
복잡한 사안,Entity
이메일,Entity
합의,Entity
조세 관련 사항,Entity
15영업일,Entity
서울특별시 강남구,Entity
경업금지,Entity
자산,Entity
진술보증 사항,Entity
일부 조항,Entity
사업계획 및 예측,Entity
재무제표,Entity
대한상사중재원,Entity
동일한 조건,Entity
매매대금 수령 계좌 정보,Entity
제1심 관할법원,Entity
제15조의 확인실사,Entity
부동산,Entity
손해액 산정 근거,Entity
추가 자료,Entity
주식회사 베타홀딩스,Entity
자,Entity
중요 문서,Entity
미지급 매매대금,Entity
대상회사,Entity
필요 서류,Entity
검증 기관,Entity
환경 관련 법규,Entity
대상회사에 대한 확인실사 수행,Entity
거래종결 후,Entity
손해액 산정 근거 및 관련 증빙,Entity
노동 관련 법규,Entity
양 당사자의 서면 합의,Entity
기존 공급계약,Entity
관련 증빙,Entity
문제점,Entity
중요한 측면,Entity
중요한 계약,Entity
추가 대가 지급,Entity
대상회사의 핵심 임직원,Entity
주식회사 감마테크,Entity
30영업일,Entity
통지 기한,Entity
대한민국,Entity
매수인의 진술보증,Entity
목표액,Entity
권리 포기로 간주되지 않는다,Entity
거래종결 시,Entity
처분권한,Entity
확인실사,Entity
기존 브랜드,Entity
양호한 상태,Entity
부록,Entity
연간 1억원 이상의 중요 계약,Entity
진술보증,Entity
종결 확인서,Entity
매매대금,Entity
배당,Entity
정상적으로,Entity
매매대금 조정,Entity
계약일자,Entity
이전의 모든 구두 또는 서면 합의,Entity
양도소득세,Entity
"회계, 법무, 세무, 영업 전 분야",Entity
경영권과 통제권,Entity
거래 당사자들,Entity
서면,Entity
세금,Entity
계약 상대방,Entity
하자담보책임의 청구,Entity
발송 후 3영업일 경과,Entity
매매주식,Entity
은행,Entity
적절한 보상한도,Entity
이전의 모든 서면 합의,Entity
매도인 지정 계좌,Entity
목표액과 차이,Entity
매도인의 거래종결 의무 발생,Entity
일관된 회계 기준,Entity
계약의 일부,Entity
자신을 위한 거래종결 전제조건,Entity
재무제표에 기재된 것 외의 중요한 부채,Entity
제3자,Entity
어느 일방에게 유리하게,Entity
"금 일천억원(₩100,000,000,000)",Entity
규제 변경,Entity
데이터룸,Entity
조건,Entity
사건,Entity
재무 정보,Entity
1부,Entity
정부,Entity
대한민국 법률에 따라 해석,Entity
당사자 간 완전한 합의,Entity
매매주식에 대한 완전한 소유권,Entity
거래종결 전제조건,Entity
노동조합과의 단체협약,Entity
계약 체결일로부터 30일 이내 또는 당사자들이 합의한 날,Entity
당사자들,Entity
대상회사의 모든 중요 자산,Entity
"금 일만원(₩10,000)",Entity
상대방의 서면 동의,Entity
매수인이 실사 과정에서 실제로 인지한 사항,Entity
독립된 제3자 전문기관,Entity
운전자본,Entity
모든 재무 정보,Entity
모든 지적재산권,Entity
주식회사 알파벤처스 대표이사,Entity
제89조,Entity
선량한 관리자의 주의의무,Entity
핵심 임직원,Entity
목표,Entity
확정된 손해배상액과 미지급 매매대금,Entity
본 계약 체결일 및 거래종결일 현재,Entity
중요 자산,Entity
진술,Entity
경영권,Entity
주요 고객과의 관계 원만한 유지,Entity
불이행,Entity
조건 충족,Entity
관련 등기 절차,Entity
현금,Entity
나머지 조항,Entity
매도인의 진술 및 보증,Entity
제92조,Entity
서면 합의,Entity
경영 자문 요청,Entity
중요한 부채,Entity
거래종결 후 6개월 내,Entity
제4장,Entity
손해배상 청구,Entity
소유권 관련 사항,Entity
감사보고서,Entity
거래종결 5영업일 전까지,Entity
각 당사자,Entity
이전의 모든 구두 합의,Entity
모든 허가,Entity
진행 중인 세무조사,Entity
대상회사의 중요 문서,Entity
"대상회사 발행 보통주식 10,000,000주",Entity
모든 라이선스,Entity
실사 과정에서 발견된 하자나 문제점,Entity
행정절차,Entity
전 직원,Entity
행정적 사항,Entity
대상회사의 재무제표,Entity
손해배상,Entity
주주명부,Entity
취득세,Entity
중요한 부정적 변동,Entity
다음 사항이 진실하고 정확함,Entity
모든 법령,Entity
우발채무,Entity
필요시,Entity
제51조에 따라 주식 양도가 완료되는 날,Entity
비용,Entity
책임,Entity
계약 체결일,Entity
예상 손해액,Entity
부채,Entity
통제권,Entity
거래종결일,Entity
대상회사에 대한 확인실사,Entity
본 계약상 권리의무,Entity
제공한 모든 정보의 정확성을 위해 최선을 다했음,Entity
거래종결 전 선언되었으나 미지급된 배당,Entity
월별로,Entity
회계 기준,Entity
효력,Entity
모든 라이선스와 허가,Entity
주당 매매가격,Entity
중재,Entity
대한민국 법률,Entity
외부 전문가,Entity
세무,Entity
별첨,Entity
거래 시너지 실현,Entity
상대방,Entity
조정,Entity
회계,Entity
불가항력적 사유,Entity
시설,Entity
유효,Entity
서면 동의,Entity
향후,Entity
한국채택국제회계기준,Entity
중요 계약,Entity
실사 과정에서 공개된 것 외에,Entity
주식회사 베타홀딩스 대표이사,Entity
한국어,Entity
사업계획,Entity
검증 비용,Entity
본 거래,Entity
연결 재무제표,Entity
재무제표에 기재된 것 외의 우발채무,Entity
계약,Entity
지명한 자,Entity
