:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식회사 알파벤처스,주식회사 감마테크,매도인이다,"['offer', 'transfer ownership', 'sell', 'provide']",[],0,Relation
주식회사 베타홀딩스,주식회사 감마테크,매수인이다,"['transaction party', 'obtain', 'purchase role', 'acquire', 'act as buyer']",[],1,Relation
주식회사 알파벤처스,주식회사 베타홀딩스,계약을 체결한다,"['establish terms', 'formalize deal', 'make contract', 'legal commitment', 'enter agreement']",[],2,Relation
계약일자,2025년 1월 1일,정해져 있다,"['be determined', 'be set', 'be established', 'be predefined', 'be fixed']",[],3,Relation
매도인과 매수인이 계약을 체결한다.,계약일자가 2025년 1월 1일로 지정된다.,이전에,"['before', 'earlier than', 'prior to', 'antecedent to', 'preceding']",[],4,Relation
계약일자가 2025년 1월 1일로 지정된다.,계약 당사자들이 계약 내용에 따라 권리와 의무를 갖는다.,결과로,"['produce', 'outcome', 'bring about', 'result from', 'cause', 'lead to']",[],5,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 알파벤처스,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],6,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 베타홀딩스,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],7,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 감마테크,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],8,Relation
제1장의 제목이 총칙으로 명명된다.,제1장,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],9,Relation
제1장의 제목이 총칙으로 명명된다.,총칙,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],10,Relation
매도인,"대상회사 발행 보통주식 10,000,000주",보유하다,"['have', 'possess', 'own', 'hold', 'retain']",[],11,Relation
매도인,매매주식,매도하다,"['divest', 'relinquish', 'transfer ownership', 'dispose']",[],12,Relation
매수인,매매주식,매수하다,"['obtain', 'procure', 'purchase', 'acquire', 'buy']",[],13,Relation
본 계약,매매주식 매도 및 매수에 필요한 제반 사항,규정하다,"['prescribe', 'define', 'determine', 'set rules', 'specify']",[],14,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인이 매매주식을 매수한다.,동시에,"['simultaneously', 'concurrently', 'at the same time', 'synchronously']",[],15,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도하고, 매수인이 이를 매수한다.",계약에 필요한 제반 사항이 규정된다.,결과로,"['produce', 'outcome', 'bring about', 'result from', 'cause', 'lead to']",[],16,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],17,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],18,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],19,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.","보통주식 10,000,000주",is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],20,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],21,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],22,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],23,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.","보통주식 10,000,000주",is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],24,Relation
본 계약은 매도인과 매수인 간 매매주식 거래에 필요한 제반 사항을 규정한다.,본 계약,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],25,Relation
본 계약은 매도인과 매수인 간 매매주식 거래에 필요한 제반 사항을 규정한다.,매도인,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],26,Relation
본 계약은 매도인과 매수인 간 매매주식 거래에 필요한 제반 사항을 규정한다.,매수인,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],27,Relation
본 계약은 매도인과 매수인 간 매매주식 거래에 필요한 제반 사항을 규정한다.,매매주식,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],28,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미하다,"['denote', 'signify', 'represent', 'express', 'stand for', 'indicate']",[],29,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미하다,"['denote', 'signify', 'represent', 'express', 'stand for', 'indicate']",[],30,Relation
중요한 부정적 변동,"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",의미하다,"['denote', 'signify', 'represent', 'express', 'stand for', 'indicate']",[],31,Relation
대한민국의 은행이 정상 영업한다.,영업일이 된다.,결과로,"['produce', 'outcome', 'bring about', 'result from', 'cause', 'lead to']",[],32,Relation
주식 양도가 완료된다.,거래종결일이 된다.,결과로,"['produce', 'outcome', 'bring about', 'result from', 'cause', 'lead to']",[],33,Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",중요한 부정적 변동이 된다.,결과로,"['produce', 'outcome', 'bring about', 'result from', 'cause', 'lead to']",[],34,Relation
제51조에 따라 주식 양도가 완료된다.,제51조,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],35,Relation
제51조에 따라 주식 양도가 완료된다.,주식,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],36,Relation
대한민국의 은행이 정상 영업한다.,대한민국,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],37,Relation
대한민국의 은행이 정상 영업한다.,은행,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],38,Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",대상회사,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],39,Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",재무상태,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],40,Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",영업,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],41,Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",자산,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],42,Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",사건,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],43,Relation
양 당사자,본 계약,체결한다,"['establish pact', 'make agreement', 'form contract', 'conclude agreement', 'sign deal']",[],44,Relation
양 당사자,본 계약,이행한다,"['execute', 'carry out', 'fulfill', 'implement', 'perform']",[],45,Relation
양 당사자,상호 선의와 신뢰,협력한다,"['work together', 'collaborate', 'partner', 'join forces', 'cooperate']",[],46,Relation
양 당사자가 본 계약을 체결한다.,양 당사자가 본 계약을 이행한다.,이후,"['temporal order', 'next', 'progression', 'succession', 'sequence']",[],47,Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,양 당사자가 성실히 협력한다.,때문에,"['because of', 'result of', 'cause', 'due to', 'reason']",[],48,Relation
계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 양 당사자가 성실히 협력한다.,양 당사자,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],49,Relation
계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 양 당사자가 성실히 협력한다.,계약,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],50,Relation
계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 양 당사자가 성실히 협력한다.,양 당사자,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],51,Relation
계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 양 당사자가 성실히 협력한다.,계약,is participated by,"['involvement', 'engagement', 'attendance', 'inclusion']",[],52,Relation
