name:ID,type,concepts,synsets,:LABEL
주식회사 알파벤처스,entity,[],[],Node
주식회사 감마테크,entity,[],[],Node
주식회사 베타홀딩스,entity,[],[],Node
계약일자,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
매도인과 매수인이 계약을 체결한다.,event,[],[],Node
계약일자가 2025년 1월 1일로 지정된다.,event,[],[],Node
계약 당사자들이 계약 내용에 따라 권리와 의무를 갖는다.,event,[],[],Node
주식회사 알파벤처스와 주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,event,[],[],Node
제1장의 제목이 총칙으로 명명된다.,event,[],[],Node
제1장,entity,[],[],Node
총칙,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 10,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
매매주식 매도 및 매수에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
매수인이 매매주식을 매수한다.,event,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도하고, 매수인이 이를 매수한다.",event,[],[],Node
계약에 필요한 제반 사항이 규정된다.,event,[],[],Node
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 10,000,000주",entity,[],[],Node
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",event,[],[],Node
본 계약은 매도인과 매수인 간 매매주식 거래에 필요한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
중요한 부정적 변동,entity,[],[],Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",entity,[],[],Node
대한민국의 은행이 정상 영업한다.,event,[],[],Node
영업일이 된다.,event,[],[],Node
주식 양도가 완료된다.,event,[],[],Node
거래종결일이 된다.,event,[],[],Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",event,[],[],Node
중요한 부정적 변동이 된다.,event,[],[],Node
