name:ID,type,concepts,synsets,numeric_id,:LABEL
주식회사 알파벤처스,entity,[],[],0,Node
주식회사 감마테크,entity,[],[],1,Node
주식회사 베타홀딩스,entity,[],[],2,Node
계약일자,entity,[],[],3,Node
2025년 1월 1일,entity,[],[],4,Node
매도인과 매수인이 계약을 체결한다.,event,[],[],5,Node
계약일자가 2025년 1월 1일로 지정된다.,event,[],[],6,Node
계약 당사자들이 계약 내용에 따라 권리와 의무를 갖는다.,event,[],[],7,Node
주식회사 알파벤처스와 주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,event,[],[],8,Node
제1장의 제목이 총칙으로 명명된다.,event,[],[],9,Node
제1장,entity,[],[],10,Node
총칙,entity,[],[],11,Node
매도인,entity,[],[],12,Node
"대상회사 발행 보통주식 10,000,000주",entity,[],[],13,Node
매매주식,entity,[],[],14,Node
매수인,entity,[],[],15,Node
본 계약,entity,[],[],16,Node
매매주식 매도 및 매수에 필요한 제반 사항,entity,[],[],17,Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],18,Node
매수인이 매매주식을 매수한다.,event,[],[],19,Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도하고, 매수인이 이를 매수한다.",event,[],[],20,Node
계약에 필요한 제반 사항이 규정된다.,event,[],[],21,Node
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],22,Node
대상회사,entity,[],[],23,Node
"보통주식 10,000,000주",entity,[],[],24,Node
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",event,[],[],25,Node
본 계약은 매도인과 매수인 간 매매주식 거래에 필요한 제반 사항을 규정한다.,event,[],[],26,Node
거래종결일,entity,[],[],27,Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],28,Node
영업일,entity,[],[],29,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],30,Node
중요한 부정적 변동,entity,[],[],31,Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",entity,[],[],32,Node
대한민국의 은행이 정상 영업한다.,event,[],[],33,Node
영업일이 된다.,event,[],[],34,Node
주식 양도가 완료된다.,event,[],[],35,Node
거래종결일이 된다.,event,[],[],36,Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.",event,[],[],37,Node
중요한 부정적 변동이 된다.,event,[],[],38,Node
제51조에 따라 주식 양도가 완료된다.,event,[],[],39,Node
제51조,entity,[],[],40,Node
주식,entity,[],[],41,Node
대한민국,entity,[],[],42,Node
은행,entity,[],[],43,Node
재무상태,entity,[],[],44,Node
영업,entity,[],[],45,Node
자산,entity,[],[],46,Node
사건,entity,[],[],47,Node
양 당사자,entity,[],[],48,Node
상호 선의와 신뢰,entity,[],[],49,Node
양 당사자가 본 계약을 체결한다.,event,[],[],50,Node
양 당사자가 본 계약을 이행한다.,event,[],[],51,Node
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],52,Node
양 당사자가 성실히 협력한다.,event,[],[],53,Node
계약의 체결에 있어 상호 선의와 신뢰를 바탕으로 양 당사자가 성실히 협력한다.,event,[],[],54,Node
계약,entity,[],[],55,Node
계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 양 당사자가 성실히 협력한다.,event,[],[],56,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],57,Node
이전의 모든 구두 또는 서면 합의,entity,[],[],58,Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],59,Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],60,Node
본 계약이 체결된다.,event,[],[],61,Node
이전의 모든 구두 또는 서면 합의가 대체된다.,event,[],[],62,Node
본 계약이 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],63,Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],64,Node
당사자,entity,[],[],65,Node
이전의 모든 구두 합의,entity,[],[],66,Node
이전의 모든 서면 합의,entity,[],[],67,Node
"금 일천억원(₩100,000,000,000)",entity,[],[],68,Node
주당 매매가격,entity,[],[],69,Node
"금 일만원(₩10,000)",entity,[],[],70,Node
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.",event,[],[],71,Node
"주당 매매가격은 금 일만원(₩10,000)으로 한다.",event,[],[],72,Node
"매매주식의 총 매매가격을 일천억원(₩100,000,000,000)으로 정한다.",event,[],[],73,Node
"주당 매매가격을 일만원(₩10,000)으로 정한다.",event,[],[],74,Node
진술,entity,[],[],75,Node
본 계약 체결일,entity,[],[],76,Node
보증,entity,[],[],77,Node
거래가 종결된다.,event,[],[],78,Node
진술과 보증의 기준일이 확정된다.,event,[],[],79,Node
모든 진술과 보증은 본 계약 체결일과 거래종결일을 기준으로 한다.,event,[],[],80,Node
각 당사자,entity,[],[],81,Node
상대방의 비밀정보,entity,[],[],82,Node
상대방,entity,[],[],83,Node
법령상 요구,entity,[],[],84,Node
비밀정보 공개 금지,entity,[],[],85,Node
상대방의 서면 동의,entity,[],[],86,Node
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,event,[],[],87,Node
상대방도 상대의 비밀정보를 제3자에게 공개하지 않는다.,event,[],[],88,Node
법령상 요구되거나 상대방의 서면 동의가 있는 경우,event,[],[],89,Node
비밀정보를 제3자에게 공개할 수 있다.,event,[],[],90,Node
제3자,entity,[],[],91,Node
각 당사자는 법령상 요구가 있는 경우 비밀정보를 공개할 수 있다.,event,[],[],92,Node
법령,entity,[],[],93,Node
각 당사자는 상대방의 서면 동의가 있는 경우 비밀정보를 공개할 수 있다.,event,[],[],94,Node
서면 동의,entity,[],[],95,Node
거래종결 전,entity,[],[],96,Node
매수인의 추가 실사 요청,entity,[],[],97,Node
매수인은 거래종결 전 언제든지 추가 실사를 요청할 수 있다.,event,[],[],98,Node
매수인이 추가 실사를 요청한다.,event,[],[],99,Node
매도인은 이에 성실히 협조해야 한다.,event,[],[],100,Node
매도인은 매수인의 추가 실사 요청에 성실히 협조해야 한다.,event,[],[],101,Node
매매대금,entity,[],[],102,Node
현금,entity,[],[],103,Node
매도인 지정 계좌,entity,[],[],104,Node
매매대금은 거래종결일에 전액 현금으로 지급한다.,event,[],[],105,Node
거래종결일이 도래한다.,event,[],[],106,Node
지급은 매도인이 지정한 계좌로 송금하는 방식으로 한다.,event,[],[],107,Node
매매대금이 매도인의 계좌로 송금된다.,event,[],[],108,Node
매수인은 매매대금을 거래종결일에 전액 현금으로 지급한다.,event,[],[],109,Node
매수인은 매도인이 지정한 계좌로 매매대금을 송금한다.,event,[],[],110,Node
매도인이 지정한 계좌,entity,[],[],111,Node
계약 해석에 대한 분쟁,entity,[],[],112,Node
대한민국 법률에 따라 해석,entity,[],[],113,Node
본 계약의 해석에 대한 분쟁이 있을 경우,event,[],[],114,Node
대한민국 법률에 따라 해석한다,event,[],[],115,Node
본 계약의 해석에 대한 분쟁이 발생한다.,event,[],[],116,Node
분쟁이 대한민국 법률에 따라 해석된다.,event,[],[],117,Node
분쟁,entity,[],[],118,Node
대한민국 법률,entity,[],[],119,Node
제2장 매매조건이 제시된다.,event,[],[],120,Node
제2장,entity,[],[],121,Node
매매조건,entity,[],[],122,Node
매매주식에 대한 완전한 소유권,entity,[],[],123,Node
매도인은 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,event,[],[],124,Node
매도인은 거래종결일에 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,event,[],[],125,Node
경영 자문,entity,[],[],126,Node
경영 자문 요청,entity,[],[],127,Node
거래종결 후 6개월 내,entity,[],[],128,Node
매수인이 매도인에게 경영 자문을 요청할 수 있다.,event,[],[],129,Node
매수인은 거래종결 후 6개월 내에 매도인에게 경영 자문을 요청할 수 있다.,event,[],[],130,Node
운전자본,entity,[],[],131,Node
순부채,entity,[],[],132,Node
매매대금 조정,entity,[],[],133,Node
제92조,entity,[],[],134,Node
"운전자본, 순부채 등이 변동된다.",event,[],[],135,Node
매매대금 조정이 이루어진다.,event,[],[],136,Node
제92조에 정한 바가 있다.,event,[],[],137,Node
매매대금 조정이 제92조에 따라 이루어진다.,event,[],[],138,Node
"운전자본, 순부채 등의 변동에 따라 매매대금을 조정한다.",event,[],[],139,Node
매매대금 조정은 제92조에 정한 바에 따른다.,event,[],[],140,Node
"담보권, 제한, 부담도 없는 상태",entity,[],[],141,Node
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태이다.",event,[],[],142,Node
매매주식이 양도된다.,event,[],[],143,Node
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태로 양도되어야 한다.",event,[],[],144,Node
대상회사에 대한 확인실사,entity,[],[],145,Node
대상회사에 대한 확인실사 수행,entity,[],[],146,Node
확인실사,entity,[],[],147,Node
"회계, 법무, 세무, 영업 전 분야",entity,[],[],148,Node
실사 과정에서 발견된 하자나 문제점,entity,[],[],149,Node
문서,entity,[],[],150,Node
매수인은 거래종결일로부터 30영업일 이내에 대상회사에 대한 확인실사를 수행할 수 있다.,event,[],[],151,Node
거래종결일이 발생한다.,event,[],[],152,Node
"확인실사는 회계, 법무, 세무, 영업 전 분야를 포함한다.",event,[],[],153,Node
확인실사가 수행된다.,event,[],[],154,Node
실사 과정에서 발견된 하자나 문제점은 문서화되어야 한다.,event,[],[],155,Node
실사 과정에서 하자나 문제점이 발견된다.,event,[],[],156,Node
회계,entity,[],[],157,Node
법무,entity,[],[],158,Node
세무,entity,[],[],159,Node
실사 과정,entity,[],[],160,Node
하자,entity,[],[],161,Node
문제점,entity,[],[],162,Node
경업금지,entity,[],[],163,Node
거래종결일로부터,entity,[],[],164,Node
매도인은 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,event,[],[],165,Node
매도인은 거래종결일로부터 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,event,[],[],166,Node
핵심 임직원,entity,[],[],167,Node
거래종결 후 최소 1년간,entity,[],[],168,Node
거래종결이 발생한다.,event,[],[],169,Node
대상회사의 핵심 임직원이 최소 1년간 근무를 유지하도록 최선의 노력을 다한다.,event,[],[],170,Node
대상회사의 핵심 임직원이 거래종결 후 최소 1년간 근무를 유지하도록 최선의 노력을 다한다.,event,[],[],171,Node
대상회사의 핵심 임직원,entity,[],[],172,Node
주요 고객과의 관계 원만한 유지,entity,[],[],173,Node
매도인은 주요 고객과의 관계가 원만히 유지되도록 적극 협조한다.,event,[],[],174,Node
고객 관계가 원만히 유지된다.,event,[],[],175,Node
매도인이 주요 고객과의 관계가 원만히 유지되도록 적극 협조한다.,event,[],[],176,Node
주요 고객,entity,[],[],177,Node
모든 라이선스와 허가,entity,[],[],178,Node
