node,conceptualized_node,node_type
임차인은 계속해서 부동산을 사용할 수 있다.,"use right, tenancy, occupation, residence, possession",event
자산이 추가로 발견된다.,"discovery, acquisition, increase, asset growth, resource expansion",event
주식 상태에 대한 규정이 적용된다.,"regulation, compliance, governance, rules, oversight",event
차입금 10억 증가 시 20억을 차감한다.,"financial adjustment, debt management, accounting, transaction, balance correction",event
제19조가 적용된다.,"regulation, enforcement, law, rule, governance",event
한국어본이 존재한다.,"translation, localization, language adaptation, versioning",event
운전자본이 감소하면 가격을 하향 조정한다.,"cost reduction, price adjustment, market response, supply chain, financial management",event
불행사는 포기가 아니다.,"overcoming, perseverance, resilience, acceptance, growth",event
나머지는 유효하다.,"validity, exception, remaining, acceptance, exclusion",event
경영권이 이전된다.,"succession, transfer, changeover, transition, authority shift",event
합리적 추가보장을 제공한다.,"insurance, coverage, protection, enhancement, security",event
위반 시 배상이 이루어진다.,"compensation, restitution, liability, redress, obligation",event
회계에 대해 일관된 기준을 적용했다.,"standardization, consistency, regulation, compliance, accounting practice",event
모든 라이선스가 유효하다.,"validation, approval, certification, compliance, authorization",event
본 계약에서 필요한 제반 사항이 규정된다.,"agreement, regulation, stipulation, documentation, arrangement",event
불이행이 발생한다.,"violation, breach, failure, noncompliance, neglect",event
주식회사 크사이인베스트가 매수인이 된다.,"acquisition, investment, transaction, ownership, corporate action",event
관할 사건은 서울중앙지방법원에서 처리된다.,"jurisdiction, trial, litigation, legal process, adjudication",event
권리를 포기한 것으로 간주하지 않는다.,"waiver, rights, consent, assumption, legal status",event
핵심인력 유지를 노력한다.,"retention, motivation, management, loyalty, workforce",event
계약을 성실하게 이행한다.,"performance, fulfillment, obligation, trust, compliance",event
부채가 추가로 발견된다.,"discovery, evidence, revelation, investigation, finding",event
차입금 증가를 2배수로 차감한다.,"financial adjustment, debt reduction, accounting, risk management, cost control",event
제20조가 적절한 보험을 유지한다는 내용을 규정한다.,"regulation, insurance, maintenance, compliance, obligation",event
매도인 주식회사 뉴파이낸스 대표이사가 서명한다.,"contract signing, authorization, business transaction, agreement, legal act",event
예상치 못한 손실에 대비할 수 있다.,"preparation, risk management, planning, prevention, resilience",event
합리적 예측이다.,"estimation, judgment, reasoning, inference, forecasting",event
경영권이 새로운 주체에게 넘어간다.,"leadership change, succession, transition, management shift, control transfer",event
유동자산은 운전자본 계산에 사용된다.,"회계, 자산관리, 재무분석, 자본운용, 경영관리",event
제35조가 언급된다.,"citation, reference, legislation, regulation, documentation",event
대리가 이루어진다.,"delegation, substitution, replacement, proxy, mediation",event
계좌가 생성된다.,"registration, initiation, onboarding, enrollment, setup",event
연결이 이루어진다.,"connection, interaction, communication, union, networking",event
양 당사자는 성실히 협력한다.,"cooperation, collaboration, agreement, partnership, teamwork",event
요청이 있다.,"communication, request, interaction, inquiry, exchange",event
조정된 최종 매매가격이 결정된다.,"agreement, transaction, negotiation, settlement, valuation",event
경쟁 사업을 3년간 금지한다.,"restriction, prohibition, limitation, regulation, exclusivity",event
