Name,Type
계약일,Entity
부동산,Entity
준수 의무자,Entity
대금,Entity
상대방 주체,Entity
상계,Entity
서울중앙지방법원,Entity
매수인,Entity
제22조,Entity
자금,Entity
제83조,Entity
시설,Entity
제102조,Entity
보증,Entity
운전자본 증가,Entity
다음 사항,Entity
제55조,Entity
기준,Entity
운전자본,Entity
종결 전,Entity
해석,Entity
적절한 보험,Entity
가격,Entity
모든 라이선스,Entity
유동자산,Entity
통상 영업과정,Entity
제한 없는 완전한 소유권,Entity
거래종결 후의 사항,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
비밀정보,Entity
부채 증가분,Entity
공동비용,Entity
불이행,Entity
서면,Entity
협력,Entity
거래종결,Entity
거래종결 후 사항,Entity
청구자,Entity
경영권,Entity
대한민국의 은행이 정상 영업하는 날,Entity
분배의 대상자,Entity
자산,Entity
제한 없이,Entity
객관적인 기준,Entity
제71조,Entity
20억,Entity
개인정보,Entity
부록,Entity
법규,Entity
가격 조정,Entity
주주명부,Entity
계약,Entity
기한,Entity
제한,Entity
공정한 기준,Entity
불가항력,Entity
제6장 일반조항,Entity
청구,Entity
거래비용,Entity
피해자,Entity
당사자,Entity
시너지,Entity
재고자산,Entity
대한민국,Entity
영업비밀,Entity
하자담보,Entity
계좌,Entity
서면합의,Entity
의무,Entity
제90조,Entity
필요서류,Entity
2024년 12월 31일,Entity
배상,Entity
영업일,Entity
납부자,Entity
배당 재원,Entity
연결,Entity
공급계약,Entity
제45조,Entity
거래종결일로부터 1년간,Entity
인지 사항,Entity
임대차계약,Entity
운전자본 계산,Entity
"대상회사 발행 보통주식 10,000,000주",Entity
공급,Entity
합리적,Entity
포기,Entity
노동법,Entity
주식회사 크사이인베스트 대표이사,Entity
제50조,Entity
제106조,Entity
변경,Entity
진술보증,Entity
상대방 동의 없이,Entity
수령자,Entity
3개월 지원,Entity
주식매매계약서,Entity
전제조건,Entity
제5장,Entity
제반 사항,Entity
고객,Entity
목표 운전자본,Entity
대한민국 법률,Entity
주당 기준가격,Entity
공개 외,Entity
매매대금,Entity
법규 준수,Entity
권리,Entity
합리적 추가보장,Entity
당사자2,Entity
당사자1,Entity
브랜드,Entity
배당,Entity
통상의 영업과정,Entity
제25조,Entity
회계,Entity
부채 변동,Entity
제34조,Entity
단기차입금,Entity
제14조의 조정 메커니즘,Entity
지적재산권,Entity
차입금 증가,Entity
분쟁,Entity
각 1부씩 보관,Entity
계좌정보,Entity
관할,Entity
인도자,Entity
현금,Entity
실제 운전자본과 목표 운전자본의 차이,Entity
권한 보유,Entity
성과,Entity
제4장,Entity
개인정보 보호,Entity
운전자본 증감분,Entity
중재,Entity
부채,Entity
이메일,Entity
감사,Entity
R&D,Entity
양도,Entity
은행,Entity
매도인,Entity
소유권,Entity
회사,Entity
CSR,Entity
성실히 이행,Entity
당사자 합의,Entity
매매가격,Entity
수신자,Entity
조건,Entity
제86조,Entity
통지,Entity
제94조,Entity
제104조,Entity
중요부채,Entity
제73조,Entity
핵심인력,Entity
제93조,Entity
다른 언어본,Entity
제37조,Entity
제96조,Entity
차입금 10억 증가,Entity
우호적 해결,Entity
운전자본 감소,Entity
정보 제공자,Entity
제56조,Entity
준수 주체,Entity
상대방,Entity
규제,Entity
각 당사자,Entity
거래종결일 운전자본과 2024년 12월 31일 기준 운전자본,Entity
보유자,Entity
세무,Entity
주식회사 오미크론테크,Entity
환경법규,Entity
손해배상,Entity
본인,Entity
제43조,Entity
협력 당사자,Entity
기준 운전자본,Entity
공정하게,Entity
조정된 최종 매매가격,Entity
중요계약,Entity
이사,Entity
계약 체결일,Entity
양 당사자,Entity
필요 권리,Entity
위반 시 배상,Entity
실제 운전자본,Entity
진술,Entity
한국어본,Entity
통지자,Entity
문서,Entity
기존 브랜드,Entity
기존 배당,Entity
환경,Entity
제공자,Entity
주식회사 뉴파이낸스,Entity
경쟁 사업,Entity
연구개발,Entity
노력,Entity
2025년 1월 1일,Entity
매매대금 20%,Entity
제99조,Entity
거래종결일,Entity
포기자,Entity
등기우편,Entity
제109조,Entity
유동자산 - 유동부채,Entity
세금,Entity
일부,Entity
종결 절차,Entity
배상한도,Entity
본 계약 체결일로부터 90일 후,Entity
제24조,Entity
주체,Entity
제48조,Entity
최종 매매가격,Entity
행정사항,Entity
배당 재원 차입금 조달,Entity
합의,Entity
통지받는자,Entity
요청,Entity
차입금,Entity
주식회사 뉴파이낸스 대표이사,Entity
2024년 12월 31일 기준,Entity
직원,Entity
제1장 총칙,Entity
3년,Entity
등기,Entity
제20조,Entity
정보,Entity
3년간 경쟁 사업 금지,Entity
2024년 12월 31일 기준 운전자본,Entity
사회적 책임,Entity
완전한 권리,Entity
서울,Entity
연결재무제표,Entity
매출채권,Entity
제16조,Entity
위반자,Entity
충분한 자금,Entity
2025년 4월 1일,Entity
제43조의 거래종결일,Entity
각자,Entity
고용,Entity
거래종결 전 배당,Entity
제54조,Entity
나머지,Entity
계약일로부터 90일 후,Entity
제77조,Entity
직전 회계연도 말,Entity
거래종결일 운전자본,Entity
주식회사 크사이인베스트,Entity
종결,Entity
운전자본 변동,Entity
새 이사,Entity
유동부채,Entity
사회책임,Entity
불행사,Entity
임원,Entity
종결확인서,Entity
대리인,Entity
거래 당사자,Entity
요청자,Entity
선의와 신뢰,Entity
본 계약,Entity
재무제표,Entity
"₩10,000",Entity
제3장 진술 및 보증,Entity
준수하는 주체,Entity
노동,Entity
일관된 기준,Entity
매입채무,Entity
예측,Entity
의무 이행 주체,Entity
"₩100,000,000,000",Entity
대상회사,Entity
매매주식,Entity
대한민국 법률을 적용하기로 정한다.,Event
계약의 체결에 있어 당사자들이 성실히 협력한다.,Event
제106조를 해석한다.,Event
"유동자산에는 현금, 매출채권, 재고자산 등이 포함된다.",Event
매매대금 20%로 배상한도를 제한한다.,Event
최종 매매가격은 제14조의 조정 메커니즘에 따라 결정된다.,Event
양 당사자는 본 계약을 이행한다.,Event
핵심인력을 유지하기 위해 노력한다.,Event
영업비밀을 보호한다.,Event
운전자본은 유동자산에서 유동부채를 뺀 값이다.,Event
거래종결이 이루어진다.,Event
운전자본 = 유동자산 - 유동부채가 정의된다.,Event
유동자산은 운전자본 계산에 사용된다.,Event
합리적 추가보장을 제공한다.,Event
"매매주식의 기준 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.",Event
매도인은 거래종결 전 배당을 실시할 수 있다.,Event
거래종결일에 대금이 지급된다.,Event
당사자가 합의한다.,Event
계약의 이행에 있어 당사자들이 성실히 협력한다.,Event
제57조가 적용된다.,Event
매매주식은 제한 없이 양도된다.,Event
모든 라이선스가 유효한 상태를 유지한다.,Event
매도인이 조건을 충족해야 한다.,Event
행정사항이 발생한다.,Event
배당 재원은 차입금으로 조달된다.,Event
비밀로 유지해야 할 필요성이 발생한다.,Event
부채가 매도인에게 귀속된다.,Event
적절한 보험을 유지한다.,Event
운전자본이 증가한다.,Event
확인서가 작성된다.,Event
서류가 상대방에게 전달된다.,Event
기업의 신뢰도가 높아진다.,Event
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,Event
법규 위반이 발생하지 않는다.,Event
3개월이 지난다,Event
협력한다.,Event
주주명부에 매수인을 기재한다.,Event
인지사항이 발생한다.,Event
제43조의 거래종결일에 종결 절차가 종결된다.,Event
각자 세금을 부담한다.,Event
자금 운용이 원활해졌다.,Event
"""영업일""이 대한민국의 은행이 정상 영업하는 날을 의미한다.",Event
임대차계약에 대한 문제가 발생하지 않는다.,Event
부록이 계약의 일부가 된다.,Event
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,Event
각자가 거래비용을 부담한다.,Event
중재에서 우호적 해결을 우선한다.,Event
종결 절차가 제51조에 따라 이행된다.,Event
하자담보가 1년간 유효하다.,Event
조건이 있다.,Event
주식매매계약서가 작성된다,Event
계약일이 발생한다.,Event
등기 협력한다.,Event
제4장 거래종결이 시작된다.,Event
매매가격에서 20억을 차감한다.,Event
대한민국의 은행이 정상 영업한다.,Event
계약의 신뢰성이 보장된다.,Event
환경오염이 감소한다.,Event
매도인과 매수인의 대표이사가 서명한다.,Event
요청이 있다.,Event
연구개발을 계속한다.,Event
차입금 증가를 2배수로 차감한다.,Event
조건을 포기할 수 있다.,Event
불가항력이 발생한다.,Event
자산 양호하다.,Event
수정한다.,Event
각 1부씩 문서를 준비한다.,Event
추가조정이 없다.,Event
고객 관계를 원만히 유지한다.,Event
제3장 진술 및 보증이 시작된다.,Event
제90조의 성과에 추가조정이 없다.,Event
"증가 시 가격 상향, 감소 시 가격 하향 조정한다.",Event
매수인 주식회사 크사이인베스트 대표이사가 서명한다.,Event
나머지는 유효하다.,Event
제1장 총칙이 문서의 시작을 알린다.,Event
계좌가 생성된다.,Event
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후를 의미한다.",Event
배상한다.,Event
직원이 고용되어 있다.,Event
완전한 소유권을 보유한다.,Event
운전자본이 감소하면 가격을 하향 조정한다.,Event
운전자본의 의미가 결정된다.,Event
거래종결일이 변경된다.,Event
운전자본과 부채 변동이 발생한다.,Event
필요서류를 인도한다.,Event
계약을 체결한다.,Event
계약이 완전하게 성립된다.,Event
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,Event
계약에 부속된 부록의 내용이 계약의 효력을 가진다.,Event
환경법규를 준수한다.,Event
성실히 이행한다.,Event
제31조의 내용이 적용된다.,Event
적극 협력한다.,Event
임원을 선임해야 한다.,Event
통지한다.,Event
공급계약을 체결한다.,Event
상대방의 동의 없이 양도가 불가하다.,Event
대금이 준비되어야 한다.,Event
부록도 계약 일부이다.,Event
권리를 포기한다.,Event
지원이 종료된다,Event
기업이 사회적 책임을 다한다.,Event
연결재무제표가 포함된다.,Event
한국어본이 존재한다.,Event
차입금이 증가한다.,Event
문서가 준비된다.,Event
공동비용을 균분한다.,Event
운전자본 계산의 기준일은 직전 회계연도 말로 한다.,Event
협력하여 시너지를 낸다,Event
매수인이 권한을 보유한다.,Event
권리를 행사하지 않는다.,Event
노동법을 준수한다.,Event
운전자본이 감소한다.,Event
거래가 종결된다.,Event
변경이 발생한다.,Event
제20조가 적절한 보험을 유지한다는 내용을 규정한다.,Event
한국어본이 우선한다.,Event
핵심인력이 회사에 계속 근무한다.,Event
충분한 자금 확보했다.,Event
일부가 무효이다.,Event
사회 구성원들의 복지가 향상된다.,Event
각 당사자는 비밀정보를 보호한다.,Event
완전한 권리가 매수인에게 귀속된다.,Event
거래종결일이 도래한다.,Event
서울중앙지방법원이 관할 법원으로 지정되었다.,Event
제45조에 의해 제한이 적용된다.,Event
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",Event
공동비용을 균등하게 분배한다.,Event
매매가격에서 부채 증가분을 차감한다.,Event
각자가 세금을 부담한다.,Event
경영권이 새로운 주체에게 넘어간다.,Event
권리를 포기한 것으로 간주하지 않는다.,Event
"유동부채에는 매입채무, 단기차입금 등이 포함된다.",Event
제35조가 언급된다.,Event
모든 가격 조정은 공정하고 객관적인 기준에 따른다.,Event
서울에서 종결한다.,Event
매매주식을 양도한다.,Event
배당이 발생한다.,Event
불행사는 포기가 아니다.,Event
필요 권리 보유한다.,Event
