:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다,주식매매계약서,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],0,Relation
주식회사 뉴파이낸스,주식회사 오미크론테크,매도인이다,"['offer', 'transfer ownership', 'provide', 'transact', 'sell']",[],1,Relation
주식회사 크사이인베스트,주식회사 오미크론테크,매수인이다,"['acquire', 'buy', 'purchase', 'obtain', 'own']",[],2,Relation
주식회사 뉴파이낸스,주식회사 크사이인베스트,계약을 체결한다,"['establish terms', 'form agreement', 'enter contract', 'make deal', 'bind parties']",[],3,Relation
계약,2025년 1월 1일,체결일이다,"['contract date', 'officialize', 'signing time', 'date of agreement', 'formalize']",[],4,Relation
2025년 1월 1일에 계약이 체결된다.,주식회사 뉴파이낸스가 매도인이 된다.,이후,"['next', 'subsequent', 'following', 'after', 'succession']",[],5,Relation
2025년 1월 1일에 계약이 체결된다.,주식회사 크사이인베스트가 매수인이 된다.,이후,"['next', 'subsequent', 'following', 'after', 'succession']",[],6,Relation
2025년 1월 1일에 계약이 체결된다.,주식회사 오미크론테크가 대상회사가 된다.,이후,"['next', 'subsequent', 'following', 'after', 'succession']",[],7,Relation
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,주식회사 뉴파이낸스,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],8,Relation
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,주식회사 크사이인베스트,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],9,Relation
주식회사 뉴파이낸스가 주식회사 오미크론테크를 매도한다.,주식회사 뉴파이낸스,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],10,Relation
주식회사 뉴파이낸스가 주식회사 오미크론테크를 매도한다.,주식회사 오미크론테크,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],11,Relation
주식회사 크사이인베스트가 주식회사 오미크론테크를 매수한다.,주식회사 크사이인베스트,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],12,Relation
주식회사 크사이인베스트가 주식회사 오미크론테크를 매수한다.,주식회사 오미크론테크,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],13,Relation
제1장 총칙이 문서의 시작을 알린다.,제1장 총칙,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],14,Relation
제1장 총칙이 문서의 시작을 알린다.,문서,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],15,Relation
매도인,"대상회사 발행 보통주식 10,000,000주",보유하다,"['hold', 'possess', 'own', 'retain', 'have']",[],16,Relation
매도인,매매주식,매도하다,"['transfer ownership', 'dispose of', 'relinquish', 'sell']",[],17,Relation
매수인,매매주식,매수하다,"['acquire', 'buy', 'purchase', 'obtain', 'gain ownership']",[],18,Relation
본 계약,제반 사항,규정하다,"['define', 'determine', 'establish', 'set rules', 'specify']",[],19,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.","매수인이 매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수한다.",동시에,"['parallel occurrence', 'synchronization', 'same time', 'concurrency', 'simultaneity']",[],20,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",본 계약에서 필요한 제반 사항이 규정된다.,결과로,"['lead to', 'cause', 'produce', 'result in', 'bring about']",[],21,Relation
"매수인이 매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수한다.",본 계약에서 필요한 제반 사항이 규정된다.,결과로,"['lead to', 'cause', 'produce', 'result in', 'bring about']",[],22,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],23,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],24,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],25,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],26,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],27,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],28,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,본 계약,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],29,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,매도인,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],30,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,매수인,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],31,Relation
거래종결일,계약일로부터 90일 후,의미한다,"['나타내다', '표현하다', '상징하다', '설명하다', '지시하다']",[],32,Relation
거래종결일,제43조,정의된다,"['설정된다', '규명된다', '규정된다', '한정된다']",[],33,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,"['나타내다', '표현하다', '상징하다', '설명하다', '지시하다']",[],34,Relation
운전자본,제77조,정의된다,"['설정된다', '규명된다', '규정된다', '한정된다']",[],35,Relation
계약일이 발생한다.,계약일로부터 90일 후가 된다.,이후,"['next', 'subsequent', 'following', 'after', 'succession']",[],36,Relation
계약일로부터 90일 후가 된다.,거래종결일이 된다.,결과로,"['lead to', 'cause', 'produce', 'result in', 'bring about']",[],37,Relation
대한민국의 은행이 정상 영업한다.,영업일이 된다.,동시에,"['parallel occurrence', 'synchronization', 'same time', 'concurrency', 'simultaneity']",[],38,Relation
제77조에 정의가 존재한다.,운전자본의 의미가 결정된다.,때문에,"['justification', 'basis', 'reason', 'causation', 'motivation']",[],39,Relation
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후를 의미한다.",거래종결일,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],40,Relation
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후를 의미한다.",제43조,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],41,Relation
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후를 의미한다.",계약일,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],42,Relation
"""영업일""이 대한민국의 은행이 정상 영업하는 날을 의미한다.",영업일,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],43,Relation
"""영업일""이 대한민국의 은행이 정상 영업하는 날을 의미한다.",대한민국,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],44,Relation
"""영업일""이 대한민국의 은행이 정상 영업하는 날을 의미한다.",은행,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],45,Relation
"""운전자본""이 제77조에 정의된 바에 따른다.",운전자본,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],46,Relation
"""운전자본""이 제77조에 정의된 바에 따른다.",제77조,is participated by,"['be attended by', 'be joined by', 'be engaged by', 'be taken part in']",[],47,Relation
양 당사자,본 계약,본 계약을 체결한다,"['enter agreement', 'establish accord', 'conclude deal', 'make arrangement', 'formalize contract']",[],48,Relation
