name:ID,type,concepts,synsets,:LABEL
주식매매계약서가 작성된다,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 뉴파이낸스,entity,[],[],Node
주식회사 오미크론테크,entity,[],[],Node
주식회사 크사이인베스트,entity,[],[],Node
계약,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
2025년 1월 1일에 계약이 체결된다.,event,[],[],Node
주식회사 뉴파이낸스가 매도인이 된다.,event,[],[],Node
주식회사 크사이인베스트가 매수인이 된다.,event,[],[],Node
주식회사 오미크론테크가 대상회사가 된다.,event,[],[],Node
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 뉴파이낸스가 주식회사 오미크론테크를 매도한다.,event,[],[],Node
주식회사 크사이인베스트가 주식회사 오미크론테크를 매수한다.,event,[],[],Node
제1장 총칙이 문서의 시작을 알린다.,event,[],[],Node
제1장 총칙,entity,[],[],Node
문서,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 10,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
"매수인이 매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수한다.",event,[],[],Node
본 계약에서 필요한 제반 사항이 규정된다.,event,[],[],Node
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"매수인이 대상회사 발행 보통주식 10,000,000주를 매도인으로부터 매수한다.",event,[],[],Node
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
계약일로부터 90일 후,entity,[],[],Node
제43조,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
운전자본,entity,[],[],Node
제77조,entity,[],[],Node
계약일이 발생한다.,event,[],[],Node
계약일로부터 90일 후가 된다.,event,[],[],Node
거래종결일이 된다.,event,[],[],Node
대한민국의 은행이 정상 영업한다.,event,[],[],Node
영업일이 된다.,event,[],[],Node
제77조에 정의가 존재한다.,event,[],[],Node
운전자본의 의미가 결정된다.,event,[],[],Node
"""거래종결일""이 제43조에 따라 계약일로부터 90일 후를 의미한다.",event,[],[],Node
계약일,entity,[],[],Node
"""영업일""이 대한민국의 은행이 정상 영업하는 날을 의미한다.",event,[],[],Node
대한민국,entity,[],[],Node
은행,entity,[],[],Node
"""운전자본""이 제77조에 정의된 바에 따른다.",event,[],[],Node
양 당사자,entity,[],[],Node
협력,entity,[],[],Node
선의와 신뢰,entity,[],[],Node
양 당사자는 본 계약을 체결한다.,event,[],[],Node
양 당사자는 본 계약을 이행한다.,event,[],[],Node
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],Node
양 당사자는 성실히 협력한다.,event,[],[],Node
계약의 체결에 있어 당사자들이 성실히 협력한다.,event,[],[],Node
당사자1,entity,[],[],Node
당사자2,entity,[],[],Node
계약의 이행에 있어 당사자들이 성실히 협력한다.,event,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
계약이 완전하게 성립된다.,event,[],[],Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
당사자,entity,[],[],Node
"₩100,000,000,000",entity,[],[],Node
최종 매매가격,entity,[],[],Node
제14조의 조정 메커니즘,entity,[],[],Node
주당 기준가격,entity,[],[],Node
"₩10,000",entity,[],[],Node
