":START_ID",":END_ID","relation",":TYPE"
"주식매매계약서가 작성된다.","900f8b2f3a9f71587c3695325d6d939e0fb769ce2cc58f65e8fe30a6929a8480","has_concept","Concept"
"주식매매계약서가 작성된다.","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"주식매매계약서가 작성된다.","9163193398ad78675b6d7a20f05a5775b2764c10f365b33b69c3760cb9d89930","has_concept","Concept"
"주식매매계약서가 작성된다.","fbf12f3908e4cc20411ff1cffbf9e29f2a42a247867d78f333c7f7695674e946","has_concept","Concept"
"주식매매계약서가 작성된다.","69f8174664be1f9577c0238b2932f128fbf6e0909bc945c5b8dc8ad8bfb85e2b","has_concept","Concept"
"주식매매계약서","403bd4ce11a6826a5f98a3d66ab8f3b04c30c53e29fe0a31722bf2d0ee822bf5","has_concept","Concept"
"주식매매계약서","03a6569cebdc6132d6801aee2bc80244fca6c08c1e46de5cbc9676a1c1da0a56","has_concept","Concept"
"주식매매계약서","33ced4d306419dad418977938bd93a6701ff1d6e74f36c1ffe26b336df546318","has_concept","Concept"
"주식매매계약서","67c0bb54982e7fd271f25e324f4508d69e3b71fe53db307a71fdf25ba9b0b4c3","has_concept","Concept"
"주식매매계약서","64d2a002e23790a647fde8f1c6e86eac0b1c2f041fc6f2420728e4c6ec9e2506","has_concept","Concept"
"주식매매계약서","06701ef665f179da17852fbbc94cfff987b568d84fddb39dfdb7e6175032c9fb","has_concept","Concept"
"주식매매계약서","ea0cae7d7974e1207dc1b40c05cab37916440115c5c1218ce5fa5e0d72eb660f","has_concept","Concept"
"주식회사 델타인베스트먼트","101e85a7dcd45012be51280d29bfd96a459b7f197177d20a2c1a45fb786f9cce","has_concept","Concept"
"주식회사 델타인베스트먼트","0cdcf5ac0638a37142fe27b01d4345b549cd0bd030f0d9309867da5cb2972cad","has_concept","Concept"
"주식회사 델타인베스트먼트","972affb50b73af2c6f0e355eabf0d3b0bdbb29d79b5a6f5e7059cca0003b5591","has_concept","Concept"
"주식회사 델타인베스트먼트","1aa70037b514a74004bab904736171a73d8f311e86e55c52e86fbddf001371db","has_concept","Concept"
