node,conceptualized_node,node_type
양 당사자가 거래종결 후 발생하는 행정적 사항에 대해 상호 협력한다.,"cooperation, compliance, coordination, support, follow-up, administration",event
하자의 복구 가능성 및 소요 기간을 검토한다.,"evaluation, assessment, analysis, repair, feasibility, estimation",event
부록과 별첨이 본 계약의 일부를 구성한다.,"agreement, incorporation, documentation, contract, annexation",event
"""중대한 하자""가 아니다.","evaluation, assessment, judgment, decision, classification",event
매수인은 외부 전문가를 선정한다.,"selection, delegation, evaluation, decision-making, consultation",event
거래종결 후 발견된 자산이 매수인에게 귀속된다.,"ownership, transfer, acquisition, asset allocation, legal right",event
각 당사자는 법령상 요구되거나 상대방의 서면 동의가 있는 경우 비밀정보를 제3자에게 공개할 수 있다.,"disclosure, consent, compliance, information sharing, authorization",event
"매도인, 매수인, 대상회사가 계약에 참여한다.","agreement, transaction, negotiation, contract, partnership, participation",event
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,"agreement, supersession, contract, negotiation, replacement",event
재무제표에 기재된 것 외에 대상회사의 중요한 부채나 우발채무는 없다.,"disclosure, assurance, transparency, liability, verification",event
매도인은 다음 사항이 진실하고 정확함을 진술하고 보증한다.,"보증, 진술, 계약, 약속, 확인",event
손해배상 청구가 검토된다,"legal review, compensation, dispute, liability, assessment",event
매수인이 합리적인 추가 보증을 요청한다.,"negotiation, assurance, request, verification, transaction",event
매수인은 거래종결일에 잔금 및 제세공과금을 지급한다.,"payment, settlement, transaction, obligation, fulfillment",event
매매대금은 거래종결일에 전액 현금으로 지급한다.,"payment, transaction, settlement, agreement, contract",event
매수인은 미지급 대금과 상계할 수 있다.,"setoff, payment, compensation, obligation, settlement",event
매매주식이 양도된다.,"transfer, transaction, ownership change, trading, exchange",event
공급망이 유지된다.,"continuity, stability, logistics, distribution, maintenance",event
매도인이 양도소득세를 부담한다.,"taxation, liability, obligation, transaction, responsibility",event
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도하고, 매수인이 이를 매수한다.","transaction, transfer, sale, acquisition, agreement, ownership change",event
매도인은 기존 분쟁 해결에 필요한 모든 지원을 제공한다.,"assistance, support, cooperation, resolution, obligation",event
매도인은 본 계약 체결일 및 거래종결일 현재 다음 사항이 진실하고 정확함을 진술한다.,"representation, assurance, declaration, verification, contract, transaction",event
진술보증이 위반된다,"위반, 불이행, 계약, 법적분쟁, 책임",event
양 당사자는 최대한의 성실함으로 계약을 이행한다.,"contract fulfillment, trust, obligation, agreement, cooperation",event
이사회 해산과 재구성 사이에 공백이 발생할 수 있다.,"transition, vacancy, restructuring, discontinuity, governance",event
거래종결 전제조건이 효력을 상실한다.,"contractual failure, invalidation, termination, contingency, legal change",event
한국어본과 번역본이 불일치하는 상황이 발생한다.,"discrepancy, mistranslation, inconsistency, confusion, misunderstanding",event
매매대금 조정이 이루어진다.,"negotiation, agreement, transaction, adjustment, settlement",event
계약 당사자들이 계약을 체결한다.,"agreement, negotiation, partnership, commitment, transaction",event
데이터룸을 통해 모든 정보가 공개된다.,"disclosure, transparency, information sharing, communication, openness",event
매수인은 소유권을 취득한다.,"ownership transfer, acquisition, possession, legal transaction",event
계약의 수정이나 변경은 서면 합의로만 가능하다.,"합의, 문서화, 계약, 수정, 변경, 제한",event
대상회사의 모든 중요 자산은 정상적으로 운영되고 있다.,"operation, maintenance, management, stability, asset utilization",event
모든 재무 정보는 일관된 회계 기준에 따라 작성되었다.,"standardization, regulation, consistency, accountability, reporting",event
거래 관련 공동 비용이 발생한다.,"cost sharing, collaboration, expense, partnership, financial interaction",event
각 당사자는 즉시 상대방에게 통지한다.,"notification, communication, information exchange, alert, correspondence",event
매수인은 거래종결 전후 언제든지 대상회사의 경영 상태를 점검할 수 있다.,"inspection, due diligence, evaluation, oversight, verification",event
거래종결 5영업일이 도래한다.,"계약이행, 마감, 완료, 일정, 진행",event
대상회사는 사업 운영에 필요한 모든 지적재산권을 적법하게 보유한다.,"ownership, authorization, compliance, legal protection, asset management",event
기한을 넘기지 않는다,"timekeeping, punctuality, responsibility, diligence, discipline",event
한국어본과 번역본이 불일치한다.,"mistranslation, inconsistency, error, discrepancy, miscommunication",event
대상회사가 통상의 사업활동을 수행한다.,"operation, business, management, production, transaction",event
매도인의 진술보증이 중요한 측면에서 정확하다.,"representation, assurance, verification, accuracy, transaction, reliability",event
양 당사자는 시너지 창출을 위해 적극 협력한다,"cooperation, partnership, collaboration, synergy, alliance",event
별도 합의가 없는 경우 성과에 따른 추가 대가 조정이 없다.,"agreement, compensation, negotiation, contract, performance",event
어느 당사자가 상대방의 사전 서면 동의 없이 본 계약상 권리의무를 제3자에게 양도할 수 없다.,"restriction, contract, assignment, transfer, obligation, consent",event
본 계약이 존재한다.,"agreement, existence, legal relationship, contract formation",event
임원이 해당 업무에 필요한 전문성과 경험을 보유한다.,"qualification, expertise, competence, capability, professionalism",event
적격 경영진은 해당 업무에 필요한 전문성과 경험을 보유해야 한다.,"qualification, expertise, competency, requirement, management",event
개인정보보호법 등 데이터 보호 관련 법규가 존재한다.,"regulation, data protection, compliance, privacy, legislation",event
대상회사의 CSR 활동은 지속적으로 수행된다.,"sustainability, responsibility, engagement, contribution, social impact",event
번역본과 본 계약의 한국어본이 불일치할 시 한국어본이 우선한다.,"interpretation, precedence, translation, language priority, contract terms",event
분쟁이 발생한다.,"conflict, confrontation, disagreement, escalation, tension",event
신임 이사를 선임한다.,"appointment, selection, leadership, management, decision-making",event
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 지분을 매도한다.,"investment, divestment, transaction, ownership change, finance",event
매수인은 본 계약을 이행한다.,"agreement, fulfillment, transaction, obligation, execution",event
계약이 수정되거나 변경된다,"agreement, modification, negotiation, adjustment, revision",event
본 계약은 대한민국 법률에 따라 해석된다.,"legal interpretation, jurisdiction, regulation, governance, law application",event
계약의 일부가 무효이다.,"invalidation, nullification, legal dispute, contract law, unenforceability",event
자산이 추가로 발견된다.,"discovery, acquisition, increase, expansion, growth",event
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,"agreement, contract, transaction, negotiation, settlement",event
양 당사자는 종결 확인서를 작성하여 서명한다.,"agreement, confirmation, documentation, consent, finalization",event
대상회사는 계약 상대방으로부터 위반 통지를 받은 바 없다.,"notification, compliance, contract, communication, legal event",event
주주총회가 결의를 거친다.,"approval, decision-making, governance, resolution, authorization",event
실사 과정에서 공개된 것 외에 연간 2억원 이상의 중요 계약은 없다,"disclosure, contract, transparency, financial reporting, compliance",event
진술보증 위반으로 인한 손해배상 청구가 제3조의 중대한 하자에 해당하는 경우에만 가능하다.,"legal action, liability, breach, compensation, warranty, dispute",event
일관된 회계 기준이 적용되었다.,"standardization, regulation, consistency, compliance, transparency",event
매매와 관련된 조건들이 구체적으로 서술된다.,"contract, negotiation, agreement, transaction, specification",event
"운전자본, 순부채 등의 변동에 따른 매매대금 조정은 별도 합의에 따른다.","contract adjustment, negotiation, financial terms, agreement, transaction modification",event
각 당사자가 진술보증 사항에 중요한 변경이 발생할 경우 즉시 상대방에게 통지한다.,"notification, disclosure, communication, legal compliance, information sharing",event
매도인이 정보를 제공한다.,"disclosure, communication, transaction, negotiation, informing",event
양 당사자는 거래 시너지 실현을 위해 상호 협력한다.,"collaboration, partnership, cooperation, synergy, alliance",event
매수인이 취득세를 부담한다.,"taxation, transaction, obligation, payment, legal responsibility",event
하자가 대상회사의 정상영업에 미치는 영향을 검토한다.,"risk assessment, business impact, evaluation, due diligence, analysis",event
양 당사자는 관련 등기 절차에 협력한다.,"agreement, cooperation, legal process, registration, collaboration",event
