Name,Type
주식매매계약서,Entity
회계 기준,Entity
합리적인 가정에 기초하여 성실하게 작성된 상태,Entity
데이터룸,Entity
자신의 비용,Entity
기존 공급업체,Entity
노동조합,Entity
사업 운영,Entity
나머지 부분,Entity
단체협약,Entity
이사들,Entity
재무적 손실의 규모,Entity
매매주식,Entity
임시 경영자,Entity
서울중앙지방법원,Entity
제5장,Entity
손해배상 책임,Entity
거래종결일 기준,Entity
부채,Entity
지급,Entity
진술보증 위반,Entity
시너지 창출,Entity
주식회사 엡실론그룹,Entity
매도인이 지정한 자,Entity
거래종결 후 사항,Entity
손해배상 청구,Entity
기존 상호,Entity
확정된 손해배상액과 미지급 대금,Entity
일반조항,Entity
거래종결일로부터 2년간,Entity
예측,Entity
감사인,Entity
상호,Entity
종결 전제조건 충족,Entity
중대한 하자,Entity
이전의 모든 구두 또는 서면 합의,Entity
종결 확인서,Entity
업계 전반의 상황,Entity
제6장,Entity
정밀 실사,Entity
본 계약을 체결하고 이행할 완전한 권한과 능력,Entity
매매대금 수령 계좌 정보,Entity
첫 회계연도의 감사,Entity
거래종결 전제조건,Entity
양호한 상태,Entity
제3자,Entity
분쟁,Entity
"담보권, 제한, 부담도 없는 상태",Entity
제3장,Entity
중요한 행정절차,Entity
이메일,Entity
운전자본,Entity
법령,Entity
중대한 하자에 해당하지 않는 사항,Entity
지적재산권,Entity
본 계약과 관련된 분쟁,Entity
최대한의 성실함,Entity
제51조,Entity
대리인,Entity
제11조,Entity
우호적 해결,Entity
모든 정보,Entity
대한민국 법률에 따라 해석한다,Entity
한국채택국제회계기준,Entity
관련 등기 절차,Entity
행정적 사항,Entity
추가 대가,Entity
모든 중요한 계약,Entity
중요한 부채,Entity
매도인,Entity
주주총회 결의,Entity
중대한 하자임을 입증하는 자료,Entity
매매대금,Entity
연간 2억원,Entity
대한민국 법률,Entity
매수인이 지명한 이사들,Entity
"보통주식 15,000,000주",Entity
관계,Entity
모든 규정,Entity
제4장,Entity
중요한 소송,Entity
모든 법령,Entity
주주총회 개최 전,Entity
권한,Entity
규제,Entity
기존 대표이사,Entity
재무제표,Entity
거래 과정,Entity
사무실,Entity
소송 전 중재,Entity
대상회사 기존 이사회,Entity
이사회 재구성,Entity
단순한 일시적 변동,Entity
모든 세금,Entity
불가항력,Entity
새로운 이사회,Entity
모든 기한,Entity
진술 및 보증,Entity
제52조,Entity
정보,Entity
자기자본,Entity
각 당사자,Entity
한국어,Entity
취득세,Entity
모든 라이선스와 허가,Entity
본 계약의 한국어본,Entity
대상회사의 부채,Entity
경영 정보,Entity
주권,Entity
매도인이 지정한 계좌,Entity
규제 변경,Entity
손해,Entity
재무적 손실,Entity
중요 계약,Entity
생산시설,Entity
CSR 활동,Entity
거래종결 의무,Entity
유효,Entity
종결 확인서 작성 및 서명,Entity
법령상 요구 또는 상대방의 서면 동의,Entity
경영권과 통제권,Entity
자신을 위한 거래종결 전제조건,Entity
기존 브랜드,Entity
통지,Entity
해결,Entity
세무조사,Entity
제3조,Entity
모든 허가,Entity
환경 관련 법규,Entity
거래종결 전 선언된 배당,Entity
주식회사 제타시스템즈,Entity
이사회 승인을 받은 임원,Entity
기존 분쟁,Entity
이전의 모든 구두 합의,Entity
계약 체결일,Entity
객관적 기준,Entity
