:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식매매계약서가 작성된다.,주식매매계약서,is participated by,[],[],Relation
주식회사 델타인베스트먼트,주식회사 제타시스템즈,매도인이다,[],[],Relation
주식회사 엡실론그룹,주식회사 제타시스템즈,매수인이다,[],[],Relation
주식회사 델타인베스트먼트,주식회사 엡실론그룹,계약을 체결하다,[],[],Relation
계약,2025년 1월 1일,체결일이다,[],[],Relation
2025년 1월 1일에 계약이 체결된다.,"매도인, 매수인, 대상회사가 계약에 참여한다.",이전에,[],[],Relation
"매도인, 매수인, 대상회사가 계약에 참여한다.",계약이 체결된다.,결과로,[],[],Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 델타인베스트먼트,is participated by,[],[],Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 엡실론그룹,is participated by,[],[],Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 지분을 매도한다.,주식회사 델타인베스트먼트,is participated by,[],[],Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 지분을 매도한다.,주식회사 제타시스템즈,is participated by,[],[],Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈의 지분을 매수한다.,주식회사 엡실론그룹,is participated by,[],[],Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈의 지분을 매수한다.,주식회사 제타시스템즈,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 15,000,000주",보유하다,[],[],Relation
매도인,"대상회사 발행 보통주식 15,000,000주",매도하다,[],[],Relation
매수인,"대상회사 발행 보통주식 15,000,000주",매수하다,[],[],Relation
본 계약,"대상회사 발행 보통주식 15,000,000주 매매 관련 제반 사항",규정하다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,결과로,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도하고, 매수인이 이를 매수한다.",필요한 제반 사항을 규정한다.,결과로,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.","보통주식 15,000,000주",is participated by,[],[],Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,[],[],Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.","보통주식 15,000,000주",is participated by,[],[],Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,[],[],Relation
