:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다.,주식매매계약서,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],0,Relation
주식회사 델타인베스트먼트,주식회사 제타시스템즈,매도인이다,"['provide', 'offer', 'sell', 'transfer ownership', 'transact']",[],1,Relation
주식회사 엡실론그룹,주식회사 제타시스템즈,매수인이다,"['obtain', 'possess', 'purchase', 'acquire', 'own']",[],2,Relation
주식회사 델타인베스트먼트,주식회사 엡실론그룹,계약을 체결하다,"['establish terms', 'agreement', 'commit', 'formalize', 'bind', 'legalize']",[],3,Relation
계약,2025년 1월 1일,체결일이다,"['signing date', 'official record', 'contract moment', 'agreement time']",[],4,Relation
2025년 1월 1일에 계약이 체결된다.,"매도인, 매수인, 대상회사가 계약에 참여한다.",이전에,"['prior to', 'earlier than', 'come before', 'antecede', 'precede']",[],5,Relation
"매도인, 매수인, 대상회사가 계약에 참여한다.",계약이 체결된다.,결과로,"['lead to', 'cause', 'result in', 'produce', 'give rise to']",[],6,Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 델타인베스트먼트,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],7,Relation
주식회사 델타인베스트먼트와 주식회사 엡실론그룹이 2025년 1월 1일에 계약을 체결한다.,주식회사 엡실론그룹,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],8,Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 지분을 매도한다.,주식회사 델타인베스트먼트,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],9,Relation
주식회사 델타인베스트먼트가 주식회사 제타시스템즈의 지분을 매도한다.,주식회사 제타시스템즈,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],10,Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈의 지분을 매수한다.,주식회사 엡실론그룹,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],11,Relation
주식회사 엡실론그룹이 주식회사 제타시스템즈의 지분을 매수한다.,주식회사 제타시스템즈,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],12,Relation
매도인,"대상회사 발행 보통주식 15,000,000주",보유하다,"['retain', 'possess', 'hold', 'own', 'have']",[],13,Relation
매도인,"대상회사 발행 보통주식 15,000,000주",매도하다,"['dispose', 'sell', 'transfer ownership', 'relinquish', 'trade']",[],14,Relation
매수인,"대상회사 발행 보통주식 15,000,000주",매수하다,"['secure', 'obtain', 'purchase', 'buy', 'acquire']",[],15,Relation
본 계약,"대상회사 발행 보통주식 15,000,000주 매매 관련 제반 사항",규정하다,"['define', 'set rules', 'establish', 'stipulate', 'determine', 'prescribe']",[],16,Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,결과로,"['lead to', 'cause', 'result in', 'produce', 'give rise to']",[],17,Relation
"매도인이 보유한 대상회사 발행 보통주식 15,000,000주를 매수인에게 매도하고, 매수인이 이를 매수한다.",필요한 제반 사항을 규정한다.,결과로,"['lead to', 'cause', 'result in', 'produce', 'give rise to']",[],18,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],19,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],20,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.","보통주식 15,000,000주",is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],21,Relation
"매도인이 대상회사가 발행한 보통주식 15,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],22,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],23,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],24,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.","보통주식 15,000,000주",is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],25,Relation
"매수인이 대상회사가 발행한 보통주식 15,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],26,Relation
"계약은 매도인이 보유한 보통주식 15,000,000주를 매수인에게 매도하고 매수인이 이를 매수함에 필요한 사항을 규정한다.",계약,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],27,Relation
"계약은 매도인이 보유한 보통주식 15,000,000주를 매수인에게 매도하고 매수인이 이를 매수함에 필요한 사항을 규정한다.",매도인,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],28,Relation
"계약은 매도인이 보유한 보통주식 15,000,000주를 매수인에게 매도하고 매수인이 이를 매수함에 필요한 사항을 규정한다.","보통주식 15,000,000주",is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],29,Relation
"계약은 매도인이 보유한 보통주식 15,000,000주를 매수인에게 매도하고 매수인이 이를 매수함에 필요한 사항을 규정한다.",매수인,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],30,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,"['represent', 'signify', 'express', 'convey', 'indicate', 'denote']",[],31,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,"['represent', 'signify', 'express', 'convey', 'indicate', 'denote']",[],32,Relation
계열회사,직간접적으로 50% 이상의 지분을 보유한 회사,의미한다,"['represent', 'signify', 'express', 'convey', 'indicate', 'denote']",[],33,Relation
제51조에 따라 주식 양도가 완료된다.,"""거래종결일""이 된다.",결과로,"['lead to', 'cause', 'result in', 'produce', 'give rise to']",[],34,Relation
대한민국의 은행이 정상 영업한다.,"""영업일""이 된다.",동시에,"['at the same time', 'in parallel', 'simultaneously', 'concurrently']",[],35,Relation
직간접적으로 50% 이상의 지분을 보유한다.,"""계열회사""가 된다.",동시에,"['at the same time', 'in parallel', 'simultaneously', 'concurrently']",[],36,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,거래종결일,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],37,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,제51조,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],38,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,주식,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],39,Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,영업일,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],40,Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,대한민국의 은행,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],41,Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사로 정의된다.,계열회사,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],42,Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사로 정의된다.,지분,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],43,Relation
계열회사는 직간접적으로 50% 이상의 지분을 보유한 회사로 정의된다.,회사,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],44,Relation
중대한 하자,대상회사의 정상영업에 실질적이고 부정적인 영향을 미치는 사항,의미한다,"['represent', 'signify', 'express', 'convey', 'indicate', 'denote']",[],45,Relation
중대한 하자,객관적이고 합리적인 기준에 따라,판단된다,"['evaluate', 'determine', 'judge', 'conclude', 'assess']",[],46,Relation
단순한 일시적 변동,중대한 하자,간주되지 않는다,"['disregard', 'exclude', 'ignore', 'not consider', 'omit']",[],47,Relation
업계 전반의 상황,중대한 하자,간주되지 않는다,"['disregard', 'exclude', 'ignore', 'not consider', 'omit']",[],48,Relation
"""중대한 하자""란 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,이전에,"['prior to', 'earlier than', 'come before', 'antecede', 'precede']",[],49,Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,이후에,"['following', 'subsequent to', 'after', 'later than']",[],50,Relation
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,"""중대한 하자""란 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",결과로,"['lead to', 'cause', 'result in', 'produce', 'give rise to']",[],51,Relation
"""중대한 하자""는 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",중대한 하자,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],52,Relation
"""중대한 하자""는 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",대상회사,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],53,Relation
"""중대한 하자""는 대상회사의 ""정상영업""에 실질적이고 부정적인 영향을 미치는 사항을 의미한다.",정상영업,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],54,Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,중대한 하자,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],55,Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,객관적 기준,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],56,Relation
중대한 하자의 판단은 객관적이고 합리적인 기준에 따른다.,합리적 기준,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],57,Relation
단순한 일시적 변동이나 업계 전반의 상황은 중대한 하자로 보지 않는다.,단순한 일시적 변동,is participated by,"['be engaged by', 'be involved by', 'attract involvement', 'receive participation']",[],58,Relation
