":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"주식매매계약서를 작성한다.","주식을 매수한다.","이후","['subsequent', 'following', 'after', 'succession', 'later']","[]","Relation"
"주식을 매수한다.","주식 소유권이 이전된다.","결과로","['produce', 'lead to', 'consequence', 'result from', 'cause']","[]","Relation"
"주식매매계약서가 작성된다.","주식매매계약서","is participated by","['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']","[]","Relation"
"주식회사 카파벤처스","주식회사 뮤테크놀로지","매도인이다","['convey property', 'sell', 'transfer ownership', 'assign rights']","[]","Relation"
"주식회사 람다홀딩스","주식회사 뮤테크놀로지","매수인이다","['customer', 'purchaser', 'acquirer', 'recipient', 'buyer']","[]","Relation"
"주식회사 카파벤처스","주식회사 람다홀딩스","계약을 체결한다","['make agreement', 'sign contract', 'establish deal', 'formalize arrangement', 'finalize terms']","[]","Relation"
"주식회사 카파벤처스","999-99-99999","사업자등록번호를 가진다","['legal identification', 'own credentials', 'have license', 'hold certification', 'possess registration']","[]","Relation"
"주식회사 람다홀딩스","101-01-01010","사업자등록번호를 가진다","['legal identification', 'own credentials', 'have license', 'hold certification', 'possess registration']","[]","Relation"
"주식회사 뮤테크놀로지","202-02-02020","사업자등록번호를 가진다","['legal identification', 'own credentials', 'have license', 'hold certification', 'possess registration']","[]","Relation"
"계약","2025년 1월 1일","체결일자이다","['contract date', 'establishment moment', 'agreement timing', 'execution date', 'formalization time']","[]","Relation"
"2025년 1월 1일에 계약일자가 지정된다","주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다","이후","['subsequent', 'following', 'after', 'succession', 'later']","[]","Relation"
"주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다","주식회사 뮤테크놀로지가 대상회사가 된다","동시에","['concurrently', 'simultaneously', 'synchronously', 'at the same time']","[]","Relation"
"주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.","주식회사 카파벤처스","is participated by","['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']","[]","Relation"
"주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.","주식회사 람다홀딩스","is participated by","['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']","[]","Relation"
"주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.","주식회사 카파벤처스","is participated by","['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']","[]","Relation"
"주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.","주식회사 뮤테크놀로지","is participated by","['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']","[]","Relation"
"주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.","주식회사 람다홀딩스","is participated by","['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']","[]","Relation"
"주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.","주식회사 뮤테크놀로지","is participated by","['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']","[]","Relation"
