node,conceptualized_node,node_type
전환 지원을 시작한다.,"assistance, initiation, adaptation, support, transition",event
중요 계약이 공개된 것 외에는 없다.,"disclosure, revelation, transparency, announcement",event
모든 권리가 완전히 이전된다.,"transfer, assignment, cession, conveyance, ownership change",event
"""적시""의 정의는 ""일반조항""에만 적용된다.","legal interpretation, definition, rule application, limitation, specificity",event
통지의 구체적 방법은 관련 조항에 따른다.,"notification, procedure, compliance, regulation, communication",event
특별조항의 범위를 별도로 정한다.,"agreement, regulation, exception, clarification, definition",event
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,"definition, regulation, business, finance, banking, schedule",event
매수인은 거래 후 언제든지 정밀 실사를 수행할 수 있다.,"inspection, verification, audit, evaluation, due diligence",event
거래종결이 30일 내에 이루어진다.,"contract, transaction, completion, deadline, agreement",event
진술보증을 위반한다.,"breach, violation, noncompliance, misrepresentation, default",event
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.","definition, clarification, communication, documentation, information exchange",event
성실히 이행한다.,"commitment, diligence, responsibility, perseverance, fulfillment",event
자산은 매수인에게 귀속된다.,"ownership transfer, acquisition, possession, assignment",event
통지를 불이행한 당사자는 관련 권리를 행사할 수 없다.,"limitation, inaction, restriction, forfeiture, compliance",event
보험에 의한 위험 보장이 가능하다.,"risk management, protection, security, coverage, compensation",event
매도인과 매수인이 계약서에 서명한다.,"agreement, transaction, commitment, documentation, negotiation",event
매수인에 대한 통지는 이메일로 가능하다.,"notification, communication, agreement, transaction, documentation",event
제6장이 일반조항에 대해 규정된다.,"legislation, regulation, governance, codification, lawmaking",event
세금을 적시 납부했다.,"compliance, obligation, responsibility, payment, duty",event
행정 사항이 발생한다.,"administration, management, processing, organization, governance",event
규제 대응은 매수인 책임이다.,"compliance, responsibility, obligation, regulation, accountability",event
매수인을 주주명부에 기재한다.,"registration, documentation, ownership, recordkeeping, transfer",event
계약상 허용되지 않는다.,"restriction, prohibition, limitation, regulation, compliance",event
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,"acquisition, investment, ownership transfer, corporate action, shareholding, business transaction",event
부록이 계약서에 포함된다.,"inclusion, documentation, agreement, attachment, formalization",event
계좌 정보를 통지한다.,"notification, communication, information sharing, transaction, account management",event
추가 조정이 없다.,"finalization, conclusion, completion, closure",event
주식 소유권이 이전된다.,"transfer, transaction, ownership change, investment, exchange",event
자산이 검사 또는 평가를 받는다.,"inspection, evaluation, assessment, verification, appraisal",event
상대방 동의 없이 권리의무를 양도한다.,"transfer, delegation, violation, assignment, breach",event
각 1부씩 보관한다.,"storage, preservation, distribution, organization, documentation",event
기간을 연장할 수 있다.,"extension, prolongation, postponement, adjustment, flexibility",event
각 당사자는 본 계약과 관련하여 취득한 비밀정보를 보호한다.,"confidentiality, information protection, secrecy, contract compliance, information management",event
