Name,Type
중재,Entity
선의,Entity
본 거래,Entity
주식회사 람다홀딩스 대표이사,Entity
3영업일 이내,Entity
인도받는 자,Entity
소유자,Entity
즉시 통지,Entity
비밀정보,Entity
필요 서류,Entity
주주명부,Entity
권리 불행사,Entity
당사자,Entity
특별한 사정,Entity
조항,Entity
수신자,Entity
면책,Entity
우호적 해결,Entity
운전자본 등의 변동,Entity
제한도 없는 상태,Entity
계약 당사자,Entity
상대방 동의,Entity
연구개발,Entity
대리인,Entity
법령상 요구 또는 상대방 동의,Entity
통지의 구체적 방법,Entity
운전자본,Entity
책임,Entity
제46조,Entity
하자담보 관련 사항,Entity
재무제표,Entity
규제,Entity
중요 계약,Entity
진술보증,Entity
경영권,Entity
특별조항,Entity
브랜드,Entity
노력,Entity
노동,Entity
전제조건,Entity
추가 조정 없음,Entity
효율적인 통지 시스템,Entity
사람,Entity
관련 권리 자동 소멸,Entity
예측,Entity
통지자,Entity
요청 정보,Entity
인도하는 자,Entity
직원,Entity
매수인에 대한 통지,Entity
핵심 임직원,Entity
법령,Entity
제99조,Entity
개인정보보호법,Entity
불가항력,Entity
최선을 다해,Entity
CSR,Entity
제67조,Entity
손해를 입은 당사자,Entity
거래,Entity
구성원,Entity
매매와 관련한 당사자,Entity
손해배상,Entity
신속한 의사소통,Entity
변경 사항,Entity
청구권 소멸,Entity
통지 불이행 시,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
제51조에 따라 주식 양도가 완료되는 날,Entity
제90조,Entity
불이행,Entity
환경,Entity
제2장 매매조건,Entity
양 당사자,Entity
주당 매매가격,Entity
"보통주식 12,000,000주",Entity
경쟁 사업,Entity
202-02-02020,Entity
기타 서면 형태,Entity
진술보증 관련 사항,Entity
등기,Entity
영업비밀,Entity
통지를 불이행한 당사자,Entity
매매주식의 완전한 소유권,Entity
진술보증 위반,Entity
제5장,Entity
101-01-01010,Entity
종결 확인서,Entity
계좌,Entity
제공 정보,Entity
주식회사 람다홀딩스,Entity
계약,Entity
대한민국의 은행,Entity
협력 당사자들,Entity
인도자,Entity
권리 포기,Entity
성과,Entity
관련 조항,Entity
주식,Entity
제4장,Entity
서면,Entity
시너지,Entity
특별조항 관련 통지,Entity
기한을 지켜야 하는 자,Entity
진술보증 위반에 대한 책임,Entity
행위 주체,Entity
기간,Entity
권리,Entity
보상 청구,Entity
기존 배당,Entity
공동소유자,Entity
주식회사 카파벤처스 대표이사,Entity
일부,Entity
세금,Entity
합리적 가정,Entity
수령자,Entity
제7조의 적시 통지,Entity
영업일,Entity
진술보증의 제한에 관한 사항,Entity
투명하고 공정하게,Entity
계약일,Entity
종결,Entity
서울,Entity
대한민국 법률,Entity
매도인 지정 계좌,Entity
거래 비용,Entity
배상 한도,Entity
"일만원(₩10,000)",Entity
계약일로부터 30일 내,Entity
선임자,Entity
운영,Entity
부동산 관련 계약,Entity
주식매매계약서,Entity
별도로,Entity
보상,Entity
주식회사 카파벤처스,Entity
모든 라이선스,Entity
채권,Entity
"대상회사 발행 보통주식 12,000,000주",Entity
행정 사항,Entity
제102조,Entity
대한민국의 은행이 정상 영업하는 날,Entity
거래종결 후,Entity
연결,Entity
본 계약,Entity
제81조,Entity
연결재무제표,Entity
권리의무,Entity
거래종결,Entity
손해배상액,Entity
제공자,Entity
통지 시스템,Entity
제23조,Entity
시설,Entity
기존 브랜드,Entity
자산,Entity
모든 거래 과정,Entity
제94조,Entity
거래종결 후 사항,Entity
제109조,Entity
완전 합의,Entity
매매주식,Entity
주식회사 뮤테크놀로지,Entity
전환 지원,Entity
중요 부채,Entity
노동법규,Entity
지적재산권의 보유 주체,Entity
매도 및 매수에 필요한 제반 사항,Entity
지명 이사,Entity
공개된 부채,Entity
제86조,Entity
다음 사항,Entity
매매대금,Entity
적절한 보험,Entity
제64조,Entity
등기에 협력,Entity
엄격히,Entity
사회적 책임,Entity
다른 언어본,Entity
문서,Entity
거래종결일로부터 3년간,Entity
일반조항,Entity
매매대금의 25%,Entity
의사소통,Entity
제83조,Entity
자금,Entity
주체,Entity
공급망,Entity
등기우편,Entity
제106조,Entity
별도의 통지 규정,Entity
현금,Entity
상대방,Entity
진술보증 위반 당사자,Entity
신뢰,Entity
한국어본,Entity
제37조,Entity
제6장,Entity
본 계약의 조항,Entity
공정하게,Entity
"일천이백억원(₩120,000,000,000)",Entity
계좌 정보,Entity
손해 배상,Entity
제26조 (데이터),Entity
단순 주식 양도 방식,Entity
통상의 영업과정,Entity
사항,Entity
제75조,Entity
경영,Entity
완전한 합의,Entity
대상회사,Entity
규제 대응,Entity
각 당사자,Entity
상태,Entity
통지,Entity
공동비용,Entity
환경 법규,Entity
진술보증 위반 관련 통지,Entity
각자,Entity
매도인에 대한 통지,Entity
거래종결일,Entity
거래 과정,Entity
신속히,Entity
부채,Entity
별도 합의,Entity
특별조항의 범위,Entity
각 1부씩 보관,Entity
서울중앙지방법원 관할,Entity
종결 장소,Entity
없음,Entity
필요시,Entity
본 계약과 관련,Entity
나머지,Entity
제93조,Entity
감사,Entity
완전한 권한,Entity
제96조,Entity
공개된 것 외,Entity
공개 정보,Entity
인지한 사항,Entity
보험,Entity
분쟁,Entity
부록,Entity
매수인이 인지한 사항,Entity
지적재산권 보유,Entity
행정 사항에 협력,Entity
관련 법규,Entity
적시,Entity
이메일,Entity
제3장,Entity
매수인,Entity
특별조항 관련 통지 수신자,Entity
분쟁 당사자,Entity
서울중앙지방법원,Entity
매도인,Entity
통지 기한,Entity
이사,Entity
모든 정보,Entity
제51조,Entity
이전하는 자,Entity
성실히,Entity
서면 합의,Entity
관련 권리,Entity
청구권,Entity
대금,Entity
이전받는 자,Entity
2025년 1월 1일,Entity
제19조의 적시 정의,Entity
거래종결일로부터 2년간,Entity
납부자,Entity
999-99-99999,Entity
권리의 소유자가 변경된다.,Event
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,Event
매수인 지명 이사를 선임한다.,Event
통상의 영업과정에 따라 운영한다.,Event
전제조건의 이행 여부와 무관하게 다음 단계로 진행할 수 있다,Event
R&D를 수행한다.,Event
제19조의 적시 정의는 일반조항에만 적용된다.,Event
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,Event
환경을 보호한다.,Event
손해배상을 한다.,Event
재무제표가 작성된다.,Event
반드시 등기우편으로 통지해야 한다.,Event
별도 합의에 따른다.,Event
조항을 보완한다.,Event
효율적인 통지 시스템을 구축한다.,Event
하자담보 관련 사항도 특별조항이다.,Event
