:START_ID,:END_ID,:TYPE
주식매매계약서를 작성한다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식을 매수한다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식 소유권이 이전된다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서가 작성된다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식회사 카파벤처스,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 뮤테크놀로지,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 람다홀딩스,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
999-99-99999,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
101-01-01010,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
202-02-02020,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
계약,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
2025년 1월 1일,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
2025년 1월 1일에 계약일자가 지정된다,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 뮤테크놀로지가 대상회사가 된다,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,3050e1362666f252011124c5a634155590c6d1f594750654649886c1bd293ab8,Source
매도인,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"대상회사 발행 보통주식 12,000,000주",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매수인,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
본 계약,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
매도 및 매수에 필요한 제반 사항,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"매수인이 대상회사 발행 보통주식 12,000,000주를 매수한다.",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
본 계약에서 필요한 제반 사항을 규정한다.,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
대상회사,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"보통주식 12,000,000주",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.",54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,54a87c67678c0f9c55d3136591541b31a76389e9f7c2c7d48dcfadfa884dbcc1,Source
거래종결일,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
제51조에 따라 주식 양도가 완료되는 날,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
영업일,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
대한민국의 은행이 정상 영업하는 날,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
서면,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
문서,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
이메일,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
기타 서면 형태,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
주식 양도가 완료된다,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
거래종결일이 된다,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
대한민국의 은행이 정상 영업한다,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
영업일이 된다,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
"문서, 이메일, 기타 서면 형태가 있다",b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
서면이 된다,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
제51조,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
주식,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
대한민국의 은행,b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",b2a168bd395905079cef62ac8c587242e04a3b18d537533321046724161b1657,Source
양 당사자,d3431731d25d1b37677c3ec58d81426e94399e1626cb53c5cbd6f36c482400d7,Source
