:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식매매계약서를 작성한다.,주식을 매수한다.,이후,[],[],Relation
주식을 매수한다.,주식 소유권이 이전된다.,결과로,[],[],Relation
주식매매계약서가 작성된다.,주식매매계약서,is participated by,[],[],Relation
주식회사 카파벤처스,주식회사 뮤테크놀로지,매도인이다,[],[],Relation
주식회사 람다홀딩스,주식회사 뮤테크놀로지,매수인이다,[],[],Relation
주식회사 카파벤처스,주식회사 람다홀딩스,계약을 체결한다,[],[],Relation
주식회사 카파벤처스,999-99-99999,사업자등록번호를 가진다,[],[],Relation
주식회사 람다홀딩스,101-01-01010,사업자등록번호를 가진다,[],[],Relation
주식회사 뮤테크놀로지,202-02-02020,사업자등록번호를 가진다,[],[],Relation
계약,2025년 1월 1일,체결일자이다,[],[],Relation
2025년 1월 1일에 계약일자가 지정된다,주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다,이후,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다,주식회사 뮤테크놀로지가 대상회사가 된다,동시에,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 카파벤처스,is participated by,[],[],Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 람다홀딩스,is participated by,[],[],Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.,주식회사 카파벤처스,is participated by,[],[],Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.,주식회사 뮤테크놀로지,is participated by,[],[],Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,주식회사 람다홀딩스,is participated by,[],[],Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,주식회사 뮤테크놀로지,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 12,000,000주",매도한다,[],[],Relation
매수인,"대상회사 발행 보통주식 12,000,000주",매수한다,[],[],Relation
본 계약,매도 및 매수에 필요한 제반 사항,규정한다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.","매수인이 대상회사 발행 보통주식 12,000,000주를 매수한다.",동시에,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",본 계약에서 필요한 제반 사항을 규정한다.,결과로,[],[],Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.","보통주식 12,000,000주",is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.",매수인,is participated by,[],[],Relation
