:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서를 작성한다.,주식을 매수한다.,이후,"['subsequent', 'following', 'after', 'succession', 'later']",[],0,Relation
주식을 매수한다.,주식 소유권이 이전된다.,결과로,"['produce', 'lead to', 'consequence', 'result from', 'cause']",[],1,Relation
주식매매계약서가 작성된다.,주식매매계약서,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],2,Relation
주식회사 카파벤처스,주식회사 뮤테크놀로지,매도인이다,"['convey property', 'sell', 'transfer ownership', 'assign rights']",[],3,Relation
주식회사 람다홀딩스,주식회사 뮤테크놀로지,매수인이다,"['customer', 'purchaser', 'acquirer', 'recipient', 'buyer']",[],4,Relation
주식회사 카파벤처스,주식회사 람다홀딩스,계약을 체결한다,"['make agreement', 'sign contract', 'establish deal', 'formalize arrangement', 'finalize terms']",[],5,Relation
주식회사 카파벤처스,999-99-99999,사업자등록번호를 가진다,"['legal identification', 'own credentials', 'have license', 'hold certification', 'possess registration']",[],6,Relation
주식회사 람다홀딩스,101-01-01010,사업자등록번호를 가진다,"['legal identification', 'own credentials', 'have license', 'hold certification', 'possess registration']",[],7,Relation
주식회사 뮤테크놀로지,202-02-02020,사업자등록번호를 가진다,"['legal identification', 'own credentials', 'have license', 'hold certification', 'possess registration']",[],8,Relation
계약,2025년 1월 1일,체결일자이다,"['contract date', 'establishment moment', 'agreement timing', 'execution date', 'formalization time']",[],9,Relation
2025년 1월 1일에 계약일자가 지정된다,주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다,이후,"['subsequent', 'following', 'after', 'succession', 'later']",[],10,Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다,주식회사 뮤테크놀로지가 대상회사가 된다,동시에,"['concurrently', 'simultaneously', 'synchronously', 'at the same time']",[],11,Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 카파벤처스,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],12,Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 람다홀딩스,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],13,Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.,주식회사 카파벤처스,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],14,Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.,주식회사 뮤테크놀로지,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],15,Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,주식회사 람다홀딩스,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],16,Relation
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,주식회사 뮤테크놀로지,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],17,Relation
매도인,"대상회사 발행 보통주식 12,000,000주",매도한다,"['sell', 'transfer ownership', 'divest', 'relinquish', 'dispose of']",[],18,Relation
매수인,"대상회사 발행 보통주식 12,000,000주",매수한다,"['obtain', 'secure', 'buy', 'acquire', 'purchase']",[],19,Relation
본 계약,매도 및 매수에 필요한 제반 사항,규정한다,"['determine', 'stipulate', 'define', 'set rules', 'specify']",[],20,Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.","매수인이 대상회사 발행 보통주식 12,000,000주를 매수한다.",동시에,"['concurrently', 'simultaneously', 'synchronously', 'at the same time']",[],21,Relation
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",본 계약에서 필요한 제반 사항을 규정한다.,결과로,"['produce', 'lead to', 'consequence', 'result from', 'cause']",[],22,Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],23,Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],24,Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.","보통주식 12,000,000주",is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],25,Relation
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],26,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.",매수인,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],27,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.",매도인,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],28,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.",대상회사,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],29,Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.","보통주식 12,000,000주",is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],30,Relation
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,본 계약,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],31,Relation
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,매도인,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],32,Relation
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,매수인,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],33,Relation
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,대상회사,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],34,Relation
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,"보통주식 12,000,000주",is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],35,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,"['indicate', 'express', 'represent', 'denote', 'signify']",[],36,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,"['indicate', 'express', 'represent', 'denote', 'signify']",[],37,Relation
서면,문서,포함한다,"['encompass', 'consist of', 'involve', 'comprise', 'contain']",[],38,Relation
서면,이메일,포함한다,"['encompass', 'consist of', 'involve', 'comprise', 'contain']",[],39,Relation
서면,기타 서면 형태,포함한다,"['encompass', 'consist of', 'involve', 'comprise', 'contain']",[],40,Relation
주식 양도가 완료된다,거래종결일이 된다,이후,"['subsequent', 'following', 'after', 'succession', 'later']",[],41,Relation
대한민국의 은행이 정상 영업한다,영업일이 된다,동시에,"['concurrently', 'simultaneously', 'synchronously', 'at the same time']",[],42,Relation
"문서, 이메일, 기타 서면 형태가 있다",서면이 된다,결과로,"['produce', 'lead to', 'consequence', 'result from', 'cause']",[],43,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,거래종결일,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],44,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,제51조,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],45,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,주식,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],46,Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,영업일,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],47,Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,대한민국의 은행,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],48,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",서면,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],49,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",문서,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],50,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",이메일,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],51,Relation
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",기타 서면 형태,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],52,Relation
양 당사자,본 계약,본 계약을 체결한다,"['enter contract', 'conclude deal', 'establish terms', 'formalize arrangement', 'sign agreement']",[],53,Relation
양 당사자,본 계약,본 계약을 이행한다,"['carry out terms', 'fulfill obligation', 'comply with contract', 'execute agreement', 'perform duty']",[],54,Relation
양 당사자,양 당사자,상호 선의와 신뢰를 바탕으로 협력한다,"['positive interaction', 'mutual understanding', 'build trust', 'collaborate', 'cooperate']",[],55,Relation
양 당사자가 본 계약을 체결한다.,양 당사자가 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,이후,"['subsequent', 'following', 'after', 'succession', 'later']",[],56,Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,양 당사자가 성실히 협력한다.,때문에,"['reason', 'result from', 'basis', 'cause', 'due to']",[],57,Relation
양 당사자가 본 계약을 체결한다.,양 당사자,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],58,Relation
양 당사자가 본 계약을 체결한다.,본 계약,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],59,Relation
양 당사자가 본 계약을 이행한다.,양 당사자,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],60,Relation
양 당사자가 본 계약을 이행한다.,본 계약,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],61,Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,양 당사자,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],62,Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,선의,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],63,Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,신뢰,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],64,Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함한다,"['encompass', 'consist of', 'involve', 'comprise', 'contain']",[],65,Relation
매매주식의 매매와 관련한 당사자 간에 합의가 있다.,본 계약이 체결된다.,결과로,"['produce', 'lead to', 'consequence', 'result from', 'cause']",[],66,Relation
본 계약이 체결된다.,당사자 간의 모든 합의가 본 계약에 포함된다.,결과로,"['produce', 'lead to', 'consequence', 'result from', 'cause']",[],67,Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],68,Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매주식,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],69,Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매와 관련한 당사자,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],70,Relation
매매주식,"일천이백억원(₩120,000,000,000)",총 매매가격이 정해져 있다,"['set value', 'determined cost', 'established amount', 'fixed price']",[],71,Relation
주당 매매가격,"일만원(₩10,000)",금액이 정해져 있다,"['established fee', 'fixed amount', 'predetermined sum', 'specified price', 'set value']",[],72,Relation
"매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다.","주당 매매가격은 금 일만원(₩10,000)으로 한다.",동시에,"['concurrently', 'simultaneously', 'synchronously', 'at the same time']",[],73,Relation
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.",매매주식,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],74,Relation
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.",매매주식,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],75,Relation
모든 거래 과정,투명하고 공정하게,진행된다,"['be underway', 'unfold', 'occur', 'happen', 'take place']",[],76,Relation
모든 거래 과정은 투명하게 진행된다.,모든 거래 과정은 공정하게 진행된다.,동시에,"['concurrently', 'simultaneously', 'synchronously', 'at the same time']",[],77,Relation
모든 거래 과정이 투명하게 진행된다.,거래 과정,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],78,Relation
모든 거래 과정이 공정하게 진행된다.,거래 과정,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],79,Relation
각 당사자,상대방,중요한 사항 발생 시 적시 통지해야 한다,"['notify immediately', 'alert requirement', 'timely communication', 'disclosure obligation', 'inform promptly']",[],80,Relation
통지 불이행 시,각 당사자,관련 권리를 행사할 수 없다,"['prohibition', 'limitation', 'ineligibility', 'exclusion', 'restriction']",[],81,Relation
통지의 구체적 방법,통지,관련 조항에 따른다,"['follow rules', 'comply', 'obey', 'conform', 'adhere']",[],82,Relation
각 당사자는 중요한 사항 발생 시 상대방에게 적시 통지해야 한다.,통지의 구체적 방법은 관련 조항에 따른다.,이후,"['subsequent', 'following', 'after', 'succession', 'later']",[],83,Relation
각 당사자는 중요한 사항 발생 시 상대방에게 적시 통지해야 한다.,통지 불이행 시 관련 권리를 행사할 수 없다.,이전에,"['prior to', 'before', 'earlier than', 'antecedent to', 'preceding']",[],84,Relation
통지 불이행 시 관련 권리를 행사할 수 없다.,각 당사자는 중요한 사항 발생 시 상대방에게 적시 통지해야 한다.,결과로,"['produce', 'lead to', 'consequence', 'result from', 'cause']",[],85,Relation
각 당사자가 중요한 사항 발생 시 상대방에게 적시에 통지한다.,각 당사자,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],86,Relation
각 당사자가 중요한 사항 발생 시 상대방에게 적시에 통지한다.,상대방,is participated by,"['involved with', 'attended by', 'taken part by', 'joined by', 'engaged by']",[],87,Relation
