name:ID,type,concepts,synsets,:LABEL
주식매매계약서를 작성한다.,event,[],[],Node
주식을 매수한다.,event,[],[],Node
주식 소유권이 이전된다.,event,[],[],Node
주식매매계약서가 작성된다.,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 카파벤처스,entity,[],[],Node
주식회사 뮤테크놀로지,entity,[],[],Node
주식회사 람다홀딩스,entity,[],[],Node
999-99-99999,entity,[],[],Node
101-01-01010,entity,[],[],Node
202-02-02020,entity,[],[],Node
계약,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
2025년 1월 1일에 계약일자가 지정된다,event,[],[],Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다,event,[],[],Node
주식회사 뮤테크놀로지가 대상회사가 된다,event,[],[],Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.,event,[],[],Node
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,event,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 12,000,000주",entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
매도 및 매수에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],Node
"매수인이 대상회사 발행 보통주식 12,000,000주를 매수한다.",event,[],[],Node
본 계약에서 필요한 제반 사항을 규정한다.,event,[],[],Node
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 12,000,000주",entity,[],[],Node
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.",event,[],[],Node
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
서면,entity,[],[],Node
문서,entity,[],[],Node
이메일,entity,[],[],Node
기타 서면 형태,entity,[],[],Node
주식 양도가 완료된다,event,[],[],Node
거래종결일이 된다,event,[],[],Node
대한민국의 은행이 정상 영업한다,event,[],[],Node
