name:ID,type,concepts,synsets,numeric_id,:LABEL
주식매매계약서를 작성한다.,event,[],[],0,Node
주식을 매수한다.,event,[],[],1,Node
주식 소유권이 이전된다.,event,[],[],2,Node
주식매매계약서가 작성된다.,event,[],[],3,Node
주식매매계약서,entity,[],[],4,Node
주식회사 카파벤처스,entity,[],[],5,Node
주식회사 뮤테크놀로지,entity,[],[],6,Node
주식회사 람다홀딩스,entity,[],[],7,Node
999-99-99999,entity,[],[],8,Node
101-01-01010,entity,[],[],9,Node
202-02-02020,entity,[],[],10,Node
계약,entity,[],[],11,Node
2025년 1월 1일,entity,[],[],12,Node
2025년 1월 1일에 계약일자가 지정된다,event,[],[],13,Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 계약 당사자가 된다,event,[],[],14,Node
주식회사 뮤테크놀로지가 대상회사가 된다,event,[],[],15,Node
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],16,Node
주식회사 카파벤처스가 주식회사 뮤테크놀로지의 지분을 매도한다.,event,[],[],17,Node
주식회사 람다홀딩스가 주식회사 뮤테크놀로지의 지분을 매수한다.,event,[],[],18,Node
매도인,entity,[],[],19,Node
"대상회사 발행 보통주식 12,000,000주",entity,[],[],20,Node
매수인,entity,[],[],21,Node
본 계약,entity,[],[],22,Node
매도 및 매수에 필요한 제반 사항,entity,[],[],23,Node
"매도인이 보유한 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],24,Node
"매수인이 대상회사 발행 보통주식 12,000,000주를 매수한다.",event,[],[],25,Node
본 계약에서 필요한 제반 사항을 규정한다.,event,[],[],26,Node
"매도인이 대상회사 발행 보통주식 12,000,000주를 매수인에게 매도한다.",event,[],[],27,Node
대상회사,entity,[],[],28,Node
"보통주식 12,000,000주",entity,[],[],29,Node
"매수인이 매도인으로부터 대상회사 발행 보통주식 12,000,000주를 매수한다.",event,[],[],30,Node
본 계약은 매도인의 보통주식 매도와 매수인의 매수를 위한 제반 사항을 규정한다.,event,[],[],31,Node
거래종결일,entity,[],[],32,Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],33,Node
영업일,entity,[],[],34,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],35,Node
서면,entity,[],[],36,Node
문서,entity,[],[],37,Node
이메일,entity,[],[],38,Node
기타 서면 형태,entity,[],[],39,Node
주식 양도가 완료된다,event,[],[],40,Node
거래종결일이 된다,event,[],[],41,Node
대한민국의 은행이 정상 영업한다,event,[],[],42,Node
영업일이 된다,event,[],[],43,Node
"문서, 이메일, 기타 서면 형태가 있다",event,[],[],44,Node
서면이 된다,event,[],[],45,Node
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,event,[],[],46,Node
제51조,entity,[],[],47,Node
주식,entity,[],[],48,Node
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,event,[],[],49,Node
대한민국의 은행,entity,[],[],50,Node
"서면은 문서, 이메일, 기타 서면 형태를 포함하는 것으로 정의된다.",event,[],[],51,Node
양 당사자,entity,[],[],52,Node
양 당사자가 본 계약을 체결한다.,event,[],[],53,Node
양 당사자가 본 계약의 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],54,Node
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],55,Node
양 당사자가 성실히 협력한다.,event,[],[],56,Node
양 당사자가 본 계약을 이행한다.,event,[],[],57,Node
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],58,Node
선의,entity,[],[],59,Node
신뢰,entity,[],[],60,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],61,Node
매매주식의 매매와 관련한 당사자 간에 합의가 있다.,event,[],[],62,Node
본 계약이 체결된다.,event,[],[],63,Node
당사자 간의 모든 합의가 본 계약에 포함된다.,event,[],[],64,Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],65,Node
매매주식,entity,[],[],66,Node
매매와 관련한 당사자,entity,[],[],67,Node
"일천이백억원(₩120,000,000,000)",entity,[],[],68,Node
주당 매매가격,entity,[],[],69,Node
"일만원(₩10,000)",entity,[],[],70,Node
"매매주식의 총 매매가격은 금 일천이백억원(₩120,000,000,000)으로 한다.",event,[],[],71,Node
"주당 매매가격은 금 일만원(₩10,000)으로 한다.",event,[],[],72,Node
"매매주식의 총 매매가격을 금 일천이백억원(₩120,000,000,000)으로 정한다.",event,[],[],73,Node
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.",event,[],[],74,Node
모든 거래 과정,entity,[],[],75,Node
투명하고 공정하게,entity,[],[],76,Node
모든 거래 과정은 투명하게 진행된다.,event,[],[],77,Node
모든 거래 과정은 공정하게 진행된다.,event,[],[],78,Node
모든 거래 과정이 투명하게 진행된다.,event,[],[],79,Node
거래 과정,entity,[],[],80,Node
모든 거래 과정이 공정하게 진행된다.,event,[],[],81,Node
각 당사자,entity,[],[],82,Node
상대방,entity,[],[],83,Node
통지 불이행 시,entity,[],[],84,Node
통지의 구체적 방법,entity,[],[],85,Node
통지,entity,[],[],86,Node
각 당사자는 중요한 사항 발생 시 상대방에게 적시 통지해야 한다.,event,[],[],87,Node
통지의 구체적 방법은 관련 조항에 따른다.,event,[],[],88,Node
통지 불이행 시 관련 권리를 행사할 수 없다.,event,[],[],89,Node
각 당사자가 중요한 사항 발생 시 상대방에게 적시에 통지한다.,event,[],[],90,Node
통지를 불이행한 당사자는 관련 권리를 행사할 수 없다.,event,[],[],91,Node
통지를 불이행한 당사자,entity,[],[],92,Node
통지의 구체적인 방법은 관련 조항에 따른다.,event,[],[],93,Node
