":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"계약 당사자들은 주식매매계약서를 작성한다.","주식 매매 거래가 이루어진다.","이전에","['precedence', 'prior occurrence', 'preceding event', 'antecedence', 'earlier time']","[]","Relation"
"매수인은 대금을 지급한다.","매도인은 주식을 이전한다.","결과로","['lead to', 'produce', 'result in', 'cause', 'consequence', 'bring about']","[]","Relation"
"계약 당사자들이 계약서에 서명한다.","계약이 성립한다.","동시에","['at the same time', 'concurrently', 'simultaneously', 'synchronously']","[]","Relation"
"주식매매계약서에 명시된 조건을 이행한다.","주식 소유권이 이전된다.","이후에","['subsequent', 'after', 'following', 'succession']","[]","Relation"
"계약 당사자들이 협상을 통해 가격에 합의한다.","주식매매계약서에 매매 가격이 명시된다.","때문에","['source', 'justification', 'motivation', 'cause', 'reason']","[]","Relation"
"주식매매계약서가 작성된다.","주식매도인","is participated by","['be engaged by', 'be attended by', 'involve', 'be taken part in']","[]","Relation"
"주식매매계약서가 작성된다.","주식매수인","is participated by","['be engaged by', 'be attended by', 'involve', 'be taken part in']","[]","Relation"
"주식회사 알파벤처스","주식회사 감마테크","매도인이다","['provide', 'transfer ownership', 'transact', 'offer', 'sell']","[]","Relation"
"주식회사 베타홀딩스","주식회사 감마테크","매수인이다","['buyer identity', 'ownership transfer', 'transaction participant', 'acquisition party', 'purchase role']","[]","Relation"
"주식회사 알파벤처스","주식회사 베타홀딩스","계약 체결한다","['enter agreement', 'establish deal', 'form contract', 'finalize arrangement', 'reach agreement']","[]","Relation"
"계약","주식회사 감마테크","대상이다","['be under consideration', 'be chosen for', 'be subject to', 'be targeted by', 'be affected by']","[]","Relation"
"계약","2025년 1월 1일","계약일자이다","['contract timing', 'agreement date', 'formalize', 'set terms', 'establish date']","[]","Relation"
"계약일자가 2025년 1월 1일로 정해진다.","계약 당사자가 매도인, 매수인, 대상회사로 결정된다.","이전에","['precedence', 'prior occurrence', 'preceding event', 'antecedence', 'earlier time']","[]","Relation"
