node,conceptualized_node,node_type
거래종결 후 발견된 부채가 매도인에게 귀속된다.,"채무, 책임, 소유권, 분쟁, 법률",event
매도인이 매수인에게 제3자에게 제시한 더 유리한 조건을 동일하게 적용한다.,"contract adjustment, equal treatment, fairness, negotiation, offer matching",event
서울중앙지방법원을 제1심 관할법원으로 한다.,"jurisdiction, litigation, court assignment, legal process, adjudication",event
모든 손해배상 청구는 손해액 산정 근거 및 관련 증빙을 첨부해야 한다.,"claim, compensation, documentation, evidence, validation",event
양 당사자가 거래종결 후 발생하는 행정적 사항에 대해 상호 협력한다.,"collaboration, administration, cooperation, coordination, compliance",event
"매도인이 대상회사가 발행한 보통주식 10,000,000주를 매수인에게 매도한다.","거래, 주식양도, 계약, 매매, 투자, 소유권이전",event
증빙자료를 첨부한다.,"documentation, verification, submission, proof, record-keeping",event
본 계약이 어느 일방에게 유리하게 해석되지 않는다.,"fairness, neutrality, interpretation, equality, legal principle",event
해당 연구개발 프로젝트가 계속 수행된다.,"continuation, progress, development, research, innovation, persistence",event
매도인은 제공한 모든 정보의 정확성을 위해 최선을 다했음을 확인한다.,"confirmation, verification, assurance, responsibility, disclosure",event
모든 정보는 중요한 측면에서 정확하고 완전하다.,"accuracy, completeness, reliability, verification, information quality",event
분쟁이 발생하지 않았다.,"peace, harmony, stability, coexistence, tranquility",event
양 당사자가 본 계약을 이행한다.,"agreement, fulfillment, transaction, cooperation, obligation",event
각 당사자는 법령상 요구되거나 상대방의 서면 동의가 있는 경우 비밀정보를 공개할 수 있다.,"disclosure, permission, compliance, consent, confidentiality",event
매도인은 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,"restriction, non-compete, agreement, prohibition, business ethics",event
고객 관계가 유지된다.,"relationship management, loyalty, retention, trust, engagement",event
양 당사자가 거래 시너지 실현을 위해 상호 협력한다.,"collaboration, partnership, synergy, cooperation, alliance",event
양 당사자가 협의한다.,"negotiation, discussion, agreement, communication, collaboration",event
계약 당사자는 본 계약을 유효하게 체결할 수 있다.,"agreement, authorization, validity, capacity, legality",event
매수인이 매도인에게 서면으로 통지한다.,"notification, communication, transaction, agreement, formality",event
매도인의 거래종결 의무가 발생한다.,"contract formation, obligation, transaction, legal duty, closing",event
매수인이 미지급 매매대금을 가진다.,"withholding, nonpayment, default, negotiation, transaction",event
주요 고객에 대한 통지가 필요하다.,"communication, notification, alert, information sharing, stakeholder management",event
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,"cooperation, trust, goodwill, collaboration, partnership",event
제4장 거래종결이 언급된다.,"contract, closing, negotiation, agreement, procedure",event
매도인은 매매주식의 적법하고 완전한 소유자이다.,"ownership, legality, transfer, rights, certification",event
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.","transaction, pricing, valuation, agreement, exchange",event
주식 양도가 완료되는 날이 있다.,"transaction, transfer, completion, ownership change, settlement",event
매수인이 실사를 수행한다.,"investigation, examination, verification, assessment, review",event
대상회사는 진행 중인 세무조사가 없다.,"confirmation, disclosure, audit, compliance, transparency",event
매도인의 거래종결 의무가 발생한다,"계약이행, 의무발생, 권리이전, 법률행위, 거래완료",event
거래가 최종적으로 종료된다.,"completion, termination, closure, settlement, finalization",event
본 계약을 대한민국 법률에 따라 해석한다.,"legal interpretation, jurisdiction, contract law, regulation, governance",event
통지에는 하자의 구체적 내용과 예상 손해액이 포함되어야 한다.,"notification, disclosure, communication, legal process, risk management",event
매도인이 매수인이 인지했던 사항에 대해 책임지지 않는다.,"disclaimer, liability, contract, exemption, agreement",event
매도인은 자신이 정보의 정확성을 위해 최선을 다했다는 사실을 확인한다.,"confirmation, verification, assurance, disclosure, responsibility",event
매수인은 대금을 지급한다.,"payment, transaction, fulfillment, obligation, settlement",event
매도인은 거래종결 5영업일 전까지 매매대금 수령 계좌 정보를 통지한다.,"notification, transaction, payment, communication, instruction",event
거래종결이 당사자들이 합의한 날에 이루어진다.,"agreement, fulfillment, completion, settlement, finalization",event
매도인의 손해배상 책임이 발생한다.,"liability, compensation, legal responsibility, dispute, obligation",event
일방이 정당한 사유 없이 거래종결을 거부한다.,"거래거절, 계약불이행, 분쟁, 거절, 법적문제",event
매수인은 본 계약을 이행한다.,"performance, fulfillment, obligation, transaction, agreement",event
데이터룸을 통해 정보가 공개된다.,"disclosure, transparency, sharing, communication, revelation",event
상대방이 계약을 해제한다,"termination, cancellation, dissolution, rescission, negotiation",event
매도인은 대상회사와 경쟁하는 사업을 영위하지 않는다.,"restriction, noncompete, agreement, contract, compliance",event
목표를 달성한다.,"achievement, success, accomplishment, fulfillment, realization",event
실사 과정에서 연간 1억원 이상의 중요 계약이 모두 확인되었다,"due diligence, contract review, verification, financial audit, risk assessment",event
거래 시너지 실현이 이루어진다.,"collaboration, partnership, cooperation, integration, synergy",event
모든 손해배상 청구는 하자의 구체적 내용을 기술한 상세 보고서를 첨부해야 한다.,"documentation, reporting, accountability, compliance, verification",event
대상회사가 기존 브랜드를 계속 사용할 수 있다.,"continuity, permission, branding, authorization, usage rights",event
대상회사는 브랜드를 기존과 다르게 변경할 수 있다.,"rebranding, transformation, modification, adaptation, differentiation",event
매도인의 진술보증이 해당 사항에는 적용되지 않는다.,"disclaimer, exemption, contract limitation, legal provision, warranty exclusion",event
이전의 모든 구두 또는 서면 합의가 대체되었다.,"replacement, agreement, update, negotiation, finalization",event
매도인은 3개월간 재무 정보를 업데이트하여 제공한다.,"information sharing, disclosure, compliance, reporting, transparency",event
거래종결 전에 선언된 배당이 있다.,"distribution, entitlement, allocation, transaction, declaration",event
모든 손해배상 청구는 외부 전문가 의견서를 필요시 첨부한다.,"claim, documentation, verification, assessment, consultation",event
독립된 제3자 전문기관의 검증을 거친다,"verification, evaluation, certification, validation, oversight",event
