Name,Type
운전자본 확정,Entity
본 계약의 해석에 대한 분쟁,Entity
비밀정보 공개,Entity
3영업일,Entity
경영권과 통제권,Entity
매매대금이 준비될 것,Entity
하자의 구체적 내용을 기술한 상세 보고서,Entity
거래종결일로부터 3년간,Entity
3년간,Entity
진술 및 보증,Entity
대상회사 관련 정보,Entity
사업계획 및 예측,Entity
정부 승인,Entity
대상회사와 경쟁하는 사업,Entity
중요한 측면에서 정확함,Entity
시너지 실현,Entity
데이터 보호 관련 법규,Entity
당사자들,Entity
권리의무,Entity
부록,Entity
거래종결 후 6개월 내,Entity
제51조에 따라,Entity
업데이트 기간,Entity
조건,Entity
2025년 1월 1일,Entity
영업일,Entity
환경 관련 소송이나 분쟁,Entity
기존 분쟁 해결,Entity
매매조건,Entity
선량한 관리자,Entity
중요한 측면,Entity
감사 보고,Entity
인지하고 있던 사항,Entity
양도,Entity
매도인의 진술보증이 중요한 측면에서 정확함,Entity
한국채택국제회계기준,Entity
목표액과 차이,Entity
증빙자료,Entity
"어떠한 담보권, 제한, 부담도 없는 상태",Entity
어느 당사자,Entity
운영,Entity
사업계획,Entity
우발채무,Entity
통지 내용,Entity
진술보증 위반,Entity
담보권,Entity
모든 세금,Entity
하자,Entity
보증,Entity
불가항력적 사유,Entity
사업 운영,Entity
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",Entity
대상회사의 독립적 경영,Entity
확인실사 수행 기간,Entity
매수인의 연결 재무제표,Entity
연구개발 프로젝트,Entity
통지 기한을 도과한 청구,Entity
본 거래와 관련하여,Entity
제63조,Entity
없다,Entity
매도인 추가 자료 요구,Entity
문서,Entity
필요시,Entity
"금 일천억원(₩100,000,000,000)",Entity
하자나 문제점,Entity
거래종결 후 사항,Entity
외부 전문가 의견서,Entity
양도소득세,Entity
대한민국의 은행,Entity
상대방의 서면 동의,Entity
대상회사의 이사,Entity
이전의 모든 서면 합의,Entity
일부 조항,Entity
매매주식 매도와 매수에 필요한 제반 사항,Entity
대상회사를 상대로 하거나 대상회사가 당사자인,Entity
비용,Entity
개인정보보호법,Entity
중요한 부채,Entity
임대차계약,Entity
정상적으로,Entity
거래종결 후 3개월간,Entity
"운전자본, 순부채 등의 변동",Entity
발견된 자산,Entity
고객 통지,Entity
제51조,Entity
천재지변,Entity
제5장,Entity
조정,Entity
제공된 사업계획,Entity
행정적 사항,Entity
회계 기준,Entity
서면 합의,Entity
매수인이 실사 과정에서 실제로 인지한 사항,Entity
중요 계약,Entity
발견된 부채,Entity
매도인에게 경영 자문,Entity
실사 과정,Entity
확인실사,Entity
양 당사자의 서면 합의,Entity
"₩10,000",Entity
양 당사자의 서면 합의에 의해서만,Entity
모든 라이선스,Entity
경쟁하는 사업,Entity
제51조에 따라 주식 양도가 완료되는 날,Entity
단체협약,Entity
모든 중요 자산의 양호한 상태,Entity
매수인 요청,Entity
계약,Entity
하자담보책임의 청구,Entity
월별로,Entity
규정,Entity
모든 부동산,Entity
주식매도인,Entity
예측,Entity
공소시효 만료일까지,Entity
권리,Entity
시설 이전,Entity
계약의 일부,Entity
매도인의 진술보증,Entity
사회공헌 활동,Entity
필요한 정부 승인,Entity
목표 달성 시 추가 대가 지급,Entity
독립된 제3자 전문기관,Entity
매매대금 지급에 필요한 충분한 자금,Entity
매도인의 진술보증 위반,Entity
30영업일,Entity
중요한 부정적 변동이 없을 것,Entity
대한민국의 은행이 정상 영업하는 날,Entity
계약의 수정,Entity
검증 비용,Entity
본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로,Entity
증빙,Entity
통상 15영업일,Entity
매수인의 진술보증,Entity
매매주식의 총 매매가격,Entity
월별,Entity
합리적인 가정,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
효력,Entity
제92조,Entity
행정절차,Entity
영업 분야,Entity
경업금지 의무,Entity
본 거래,Entity
중요한 계약,Entity
영업,Entity
세무분쟁,Entity
대상회사의 모든 중요 문서,Entity
순부채,Entity
발송 후 3영업일 경과,Entity
감사보고서,Entity
자신을 위한 거래종결 전제조건,Entity
주식매수인,Entity
추가 대가 지급,Entity
주당 매매가격,Entity
은행,Entity
매도인의 사무실,Entity
실제로 인지한 사항,Entity
본 계약상 모든 기한,Entity
하자의 구체적 내용과 예상 손해액,Entity
통상의 영업과정,Entity
공소시효 만료일,Entity
거래종결 후 발견된 부채,Entity
재무제표에 기재되지 않은 부채나 우발채무,Entity
사업,Entity
법령상 요구,Entity
부채,Entity
제33조,Entity
책임,Entity
거래 시너지,Entity
환경 관련 소송,Entity
추가 대가,Entity
향후 규제 변경,Entity
매매대금의 30%,Entity
매도인이 지정한 계좌,Entity
자,Entity
지원,Entity
매수인이 인지하고 있던 사항,Entity
검증 기관,Entity
거래종결일 기준,Entity
각 당사자,Entity
거래종결,Entity
계약의 변경,Entity
이전,Entity
매수인에게 매매주식,Entity
통제권,Entity
한국어,Entity
합리적인 가정에 기초하여 성실하게,Entity
경영권과 통제권 이전,Entity
손해액 산정 근거 및 관련 증빙,Entity
모든 중요한 계약,Entity
손해배상,Entity
환경 관련 분쟁,Entity
제2장,Entity
신뢰,Entity
확정된 손해배상액과 미지급 매매대금,Entity
본 계약상 권리의무를 제3자에게,Entity
계약의 일부 조항,Entity
중요한 소송,Entity
계약의 당사자,Entity
상대방의 사전 서면 동의,Entity
공개된 위험,Entity
진술 및 보증의 시점,Entity
대상회사,Entity
지급,Entity
대표이사,Entity
제반 사항,Entity
권리 포기로 보지 않는다,Entity
손해배상 책임 한도,Entity
"₩100,000,000,000",Entity
중요한 변경,Entity
하자가 확인되지 않은 경우,Entity
한국어본,Entity
거래종결일에 전액 현금,Entity
제50조,Entity
연결 재무제표,Entity
거래종결일까지,Entity
법무 분야,Entity
대상회사의 모든 보험계약,Entity
중대한 변경,Entity
적절한 보상한도,Entity
진행 중인 세무조사,Entity
제63조에 따른 제3자 검증 보고서,Entity
하자의 구체적 내용,Entity
정해진다,Entity
본 계약상 권리의무,Entity
대리인,Entity
제89조,Entity
"대상회사 발행 보통주식 10,000,000주",Entity
양 당사자의 합의가 없을 때,Entity
노동 관련 법규,Entity
주요 고객과의 관계 유지,Entity
추가 실사 요청,Entity
동일한 조건,Entity
어느 일방에게 유리하게,Entity
본 계약,Entity
연간 1억원,Entity
일관된 회계 기준,Entity
거래종결 전제조건,Entity
대상회사 이사,Entity
원활한 경영권 이전,Entity
진술,Entity
매수인이 선임한 감사인,Entity
1부씩,Entity
필요한 정보,Entity
당사자 간 완전한 합의,Entity
제1장 총칙,Entity
거래종결 전 선언되었으나 미지급된 배당,Entity
2부,Entity
우호적 해결,Entity
제89조에 정한 증빙자료,Entity
확정된 손해배상액,Entity
본 계약 체결일,Entity
"사업과 관련된 모든 법령, 규정",Entity
거래종결 후,Entity
대한민국 법률,Entity
대상회사의 매수인 연결 재무제표 포함,Entity
매수인,Entity
주권,Entity
운전자본,Entity
상대방의 비밀정보,Entity
모든 라이선스와 허가,Entity
확인실사 과정,Entity
문제점,Entity
모든 법령,Entity
본 계약과 관련된 분쟁,Entity
주요 고객,Entity
하자가 확인된 경우,Entity
