text_id:ID,original_text,numeric_id,:LABEL
f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,# 주식매매계약서,0,Text
979ecf6c74a5be97edb6a56fd285107ee39a007233965d98c69368bcba9d6f3c,## [교육/연구 목적 전용 - 실제 사용 절대 금지] **계약일자:** 2025년 1월 1일 **계약 당사자:** - 매도인: 주식회사 알파벤처스 (사업자등록번호: 000-00-00000) - 매수인: 주식회사 베타홀딩스 (사업자등록번호: 111-11-11111) - 대상회사: 주식회사 감마테크 (사업자등록번호: 222-22-22222) ---,1,Text
2bd9204a054d103e28ae763976169403bb7ea973a3e3f208bd5018fecfe556f1,## 제1장 총칙,2,Text
74f2624814b86543402ac1be3176077d8eb0747b529cd041a5ae7ef4d8ac9b32,"### 제1조 (목적) 본 계약은 매도인이 보유한 대상회사 발행 보통주식 10,000,000주(이하 ""매매주식"")를 매수인에게 매도하고, 매수인이 이를 매수함에 있어 필요한 제반 사항을 규정함을 목적으로 한다.",3,Text
7280c20362c95c675f607ab8e5ce7706dc060102c7877ea035ba3993f5b73402,"### 제2조 (정의) 본 계약에서 사용되는 용어의 정의는 다음과 같다: 1. ""거래종결일""이란 제51조에 따라 주식 양도가 완료되는 날을 의미한다. 2. ""영업일""이란 대한민국의 은행이 정상 영업하는 날을 의미한다. 3. ""중요한 부정적 변동""이란 대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건을 의미한다.",4,Text
d3431731d25d1b37677c3ec58d81426e94399e1626cb53c5cbd6f36c482400d7,### 제3조 (선의와 신뢰) 양 당사자는 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,5,Text
ffc6efc8d460691f16fe90cd7749d3c25095d6b740b0adeebf8979e43a0e4111,"### 제4조 (계약의 완전성) 본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함하며, 이전의 모든 구두 또는 서면 합의를 대체한다.",6,Text
2641991de76378952ab3efbdc891289a8930fe379272ec52318152202946f22f,"### 제5조 (매매가격) ① 매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다. ② 주당 매매가격은 금 일만원(₩10,000)으로 한다.",7,Text
a8f4d8553b974cddf680ba6af313495a8912e74d68732ac174dbf07371d2ca0d,"### 제6조 (진술보증의 기준일) 달리 명시되지 않는 한, 모든 진술과 보증은 본 계약 체결일과 거래종결일을 기준으로 한다.",8,Text
101163c4f37a5830f0dbc8e7013f790b8add27a72a9b8ed4d1cb3f72252fab87,"### 제7조 (비밀유지) ① 각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다. ② 단, 법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다.",9,Text
fd3eee5ad006f8b781751624345f69c7475d93061f74308a1c68134f1b550efc,"### 제8조 (매수인 보호 조항) 매수인은 거래종결 전 언제든지 추가 실사를 요청할 수 있으며, 매도인은 이에 성실히 협조해야 한다.",10,Text
5ad13c92dd18dc316e888c06bff8d8295338ffe3f5cdc7319c4c39d2efe2ddab,### 제9조 (대금지급) ① 매매대금은 거래종결일에 전액 현금으로 지급한다. ② 지급은 매도인이 지정한 계좌로 송금하는 방식으로 한다.,11,Text
76ae48a29a193ac20662304021cfac8f94d684b84362c12f09fc7cb012c8c7df,"### 제10조 (계약의 해석) 본 계약의 해석에 대한 분쟁이 있을 경우, 대한민국 법률에 따라 해석한다.",12,Text
9ab3deab8d73c371d9302dcc3c07a9f711c9f14a8680ea7872dcd7424220a9e0,## 제2장 매매조건,13,Text
e5e71442c0b866d38db19e61437fc3e6c8169cc63b7abfedb58244b47953557d,### 제11조 (주식의 양도) 매도인은 거래종결일에 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,14,Text
ba2abf133cd3a09070f25818cca61c662d585101273edbf2fe569758451fe7b9,### 제12조 (매수인의 추가 권리) 매수인은 거래종결 후 6개월 내에 매도인에게 경영 자문을 요청할 수 있다.,15,Text
3c4b70425e4c99748e7898736b305dd08f3efccfad489583716cd833349dcce1,"### 제13조 (대금조정) 운전자본, 순부채 등의 변동에 따른 매매대금 조정은 제92조에 정한 바에 따른다.",16,Text
