:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
계약 당사자들은 주식매매계약서를 작성한다.,주식 매매 거래가 이루어진다.,이전에,"['precedence', 'prior occurrence', 'preceding event', 'antecedence', 'earlier time']",[],0,Relation
매수인은 대금을 지급한다.,매도인은 주식을 이전한다.,결과로,"['lead to', 'produce', 'result in', 'cause', 'consequence', 'bring about']",[],1,Relation
계약 당사자들이 계약서에 서명한다.,계약이 성립한다.,동시에,"['at the same time', 'concurrently', 'simultaneously', 'synchronously']",[],2,Relation
주식매매계약서에 명시된 조건을 이행한다.,주식 소유권이 이전된다.,이후에,"['subsequent', 'after', 'following', 'succession']",[],3,Relation
계약 당사자들이 협상을 통해 가격에 합의한다.,주식매매계약서에 매매 가격이 명시된다.,때문에,"['source', 'justification', 'motivation', 'cause', 'reason']",[],4,Relation
주식매매계약서가 작성된다.,주식매도인,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],5,Relation
주식매매계약서가 작성된다.,주식매수인,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],6,Relation
주식회사 알파벤처스,주식회사 감마테크,매도인이다,"['provide', 'transfer ownership', 'transact', 'offer', 'sell']",[],7,Relation
주식회사 베타홀딩스,주식회사 감마테크,매수인이다,"['buyer identity', 'ownership transfer', 'transaction participant', 'acquisition party', 'purchase role']",[],8,Relation
주식회사 알파벤처스,주식회사 베타홀딩스,계약 체결한다,"['enter agreement', 'establish deal', 'form contract', 'finalize arrangement', 'reach agreement']",[],9,Relation
계약,주식회사 감마테크,대상이다,"['be under consideration', 'be chosen for', 'be subject to', 'be targeted by', 'be affected by']",[],10,Relation
계약,2025년 1월 1일,계약일자이다,"['contract timing', 'agreement date', 'formalize', 'set terms', 'establish date']",[],11,Relation
계약일자가 2025년 1월 1일로 정해진다.,"계약 당사자가 매도인, 매수인, 대상회사로 결정된다.",이전에,"['precedence', 'prior occurrence', 'preceding event', 'antecedence', 'earlier time']",[],12,Relation
매도인이 주식회사 알파벤처스로 지정된다.,매수인이 주식회사 베타홀딩스로 지정된다.,동시에,"['at the same time', 'concurrently', 'simultaneously', 'synchronously']",[],13,Relation
매도인과 매수인이 정해진다.,대상회사가 주식회사 감마테크로 정해진다.,동시에,"['at the same time', 'concurrently', 'simultaneously', 'synchronously']",[],14,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 알파벤처스,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],15,Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 베타홀딩스,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],16,Relation
주식회사 감마테크가 계약의 대상회사가 된다.,주식회사 감마테크,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],17,Relation
제1장 총칙이 제시된다.,제1장 총칙,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],18,Relation
매도인,"대상회사 발행 보통주식 10,000,000주",보유하다,"['possess', 'retain', 'own', 'hold', 'have']",[],19,Relation
매도인,매매주식,매도하다,"['liquidate', 'dispose', 'transfer ownership', 'relinquish', 'sell']",[],20,Relation
매수인,매매주식,매수하다,"['secure', 'acquire', 'purchase', 'obtain', 'buy']",[],21,Relation
본 계약,매매주식 매매에 필요한 제반 사항,규정하다,"['set rules', 'specify', 'define', 'stipulate', 'prescribe']",[],22,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매도한다.",매수인이 해당 주식을 매수한다.,결과로,"['lead to', 'produce', 'result in', 'cause', 'consequence', 'bring about']",[],23,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매도한다.",매수인이 이를 매수한다.,동시에,"['at the same time', 'concurrently', 'simultaneously', 'synchronously']",[],24,Relation
"매도인이 대상회사가 발행한 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],25,Relation
"매도인이 대상회사가 발행한 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],26,Relation
"매도인이 대상회사가 발행한 보통주식 10,000,000주를 매수인에게 매도한다.","보통주식 10,000,000주",is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],27,Relation
"매도인이 대상회사가 발행한 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],28,Relation
"매수인이 매도인으로부터 보통주식 10,000,000주를 매수한다.",매수인,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],29,Relation
"매수인이 매도인으로부터 보통주식 10,000,000주를 매수한다.",매도인,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],30,Relation
"매수인이 매도인으로부터 보통주식 10,000,000주를 매수한다.","보통주식 10,000,000주",is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],31,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,본 계약,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],32,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,매도,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],33,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,매수,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],34,Relation
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,제반 사항,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],35,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,"['signify', 'indicate', 'represent', 'express', 'denote']",[],36,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,"['signify', 'indicate', 'represent', 'express', 'denote']",[],37,Relation
중요한 부정적 변동,"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",의미한다,"['signify', 'indicate', 'represent', 'express', 'denote']",[],38,Relation
주식 양도가 완료되는 날이 있다.,"""거래종결일""이 성립한다.",결과로,"['lead to', 'produce', 'result in', 'cause', 'consequence', 'bring about']",[],39,Relation
대한민국의 은행이 정상 영업하는 날이 있다.,"""영업일""이 성립한다.",결과로,"['lead to', 'produce', 'result in', 'cause', 'consequence', 'bring about']",[],40,Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.","""중요한 부정적 변동""이 성립한다.",결과로,"['lead to', 'produce', 'result in', 'cause', 'consequence', 'bring about']",[],41,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,거래종결일,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],42,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,제51조,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],43,Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,주식,is participated by,"['be engaged by', 'be attended by', 'involve', 'be taken part in']",[],44,Relation
