name:ID,type,concepts,synsets,:LABEL
주식회사 알파벤처스,entity,[],[],Node
계약,entity,[],[],Node
주식회사 베타홀딩스,entity,[],[],Node
주식회사 감마테크,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
주식회사 알파벤처스가 주식회사 베타홀딩스와 계약했다.,event,[],[],Node
계약은 주식회사 감마테크를 대상으로 체결되었다.,event,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 10,000,000주",entity,[],[],Node
매수인에게 매매주식,entity,[],[],Node
매수인,entity,[],[],Node
매매주식,entity,[],[],Node
본 계약,entity,[],[],Node
매매주식 매도와 매수에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다",event,[],[],Node
매수인이 이를 매수한다,event,[],[],Node
"본 계약은 매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도하는 것을 규정한다",event,[],[],Node
매수인이 이를 매수함에 필요한 제반 사항을 규정한다,event,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"발행 보통주식 10,000,000주",entity,[],[],Node
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",event,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행,entity,[],[],Node
중요한 부정적 변동,entity,[],[],Node
"대상회사의 재무상태, 영업, 자산",entity,[],[],Node
주식 양도가 완료되는 날을 거래종결일이라고 정의한다,event,[],[],Node
주식 양도,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날을 영업일이라고 정의한다,event,[],[],Node
대한민국 은행,entity,[],[],Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건을 중요한 부정적 변동이라고 정의한다",event,[],[],Node
재무상태,entity,[],[],Node
영업,entity,[],[],Node
자산,entity,[],[],Node
양 당사자,entity,[],[],Node
본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로,entity,[],[],Node
양 당사자가 본 계약의 체결 및 이행에 있어 상호 선의와 신뢰를 바탕으로 성실히 협력한다,event,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
이전의 모든 구두 또는 서면 합의,entity,[],[],Node
