name:ID,type,concepts,synsets,numeric_id,:LABEL
계약 당사자들은 주식매매계약서를 작성한다.,event,[],[],0,Node
주식 매매 거래가 이루어진다.,event,[],[],1,Node
매수인은 대금을 지급한다.,event,[],[],2,Node
매도인은 주식을 이전한다.,event,[],[],3,Node
계약 당사자들이 계약서에 서명한다.,event,[],[],4,Node
계약이 성립한다.,event,[],[],5,Node
주식매매계약서에 명시된 조건을 이행한다.,event,[],[],6,Node
주식 소유권이 이전된다.,event,[],[],7,Node
계약 당사자들이 협상을 통해 가격에 합의한다.,event,[],[],8,Node
주식매매계약서에 매매 가격이 명시된다.,event,[],[],9,Node
주식매매계약서가 작성된다.,event,[],[],10,Node
주식매도인,entity,[],[],11,Node
주식매수인,entity,[],[],12,Node
주식회사 알파벤처스,entity,[],[],13,Node
주식회사 감마테크,entity,[],[],14,Node
주식회사 베타홀딩스,entity,[],[],15,Node
계약,entity,[],[],16,Node
2025년 1월 1일,entity,[],[],17,Node
계약일자가 2025년 1월 1일로 정해진다.,event,[],[],18,Node
"계약 당사자가 매도인, 매수인, 대상회사로 결정된다.",event,[],[],19,Node
매도인이 주식회사 알파벤처스로 지정된다.,event,[],[],20,Node
매수인이 주식회사 베타홀딩스로 지정된다.,event,[],[],21,Node
매도인과 매수인이 정해진다.,event,[],[],22,Node
대상회사가 주식회사 감마테크로 정해진다.,event,[],[],23,Node
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],24,Node
주식회사 감마테크가 계약의 대상회사가 된다.,event,[],[],25,Node
제1장 총칙이 제시된다.,event,[],[],26,Node
제1장 총칙,entity,[],[],27,Node
매도인,entity,[],[],28,Node
"대상회사 발행 보통주식 10,000,000주",entity,[],[],29,Node
매매주식,entity,[],[],30,Node
매수인,entity,[],[],31,Node
본 계약,entity,[],[],32,Node
매매주식 매매에 필요한 제반 사항,entity,[],[],33,Node
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매도한다.",event,[],[],34,Node
매수인이 해당 주식을 매수한다.,event,[],[],35,Node
매수인이 이를 매수한다.,event,[],[],36,Node
"매도인이 대상회사가 발행한 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],37,Node
대상회사,entity,[],[],38,Node
"보통주식 10,000,000주",entity,[],[],39,Node
"매수인이 매도인으로부터 보통주식 10,000,000주를 매수한다.",event,[],[],40,Node
본 계약이 매도와 매수에 필요한 제반 사항을 규정한다.,event,[],[],41,Node
매도,entity,[],[],42,Node
매수,entity,[],[],43,Node
제반 사항,entity,[],[],44,Node
거래종결일,entity,[],[],45,Node
제51조에 따라 주식 양도가 완료되는 날,entity,[],[],46,Node
영업일,entity,[],[],47,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],48,Node
중요한 부정적 변동,entity,[],[],49,Node
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",entity,[],[],50,Node
