node,conceptualized_node,node_type
회계법인은 감사보고서를 작성한다.,"reporting, auditing, documentation, verification, compliance",event
본 계약은 대한민국 법률에 따른다.,"legal agreement, jurisdiction, governance, regulation, contract law",event
양 당사자는 영업비밀을 보호한다.,"confidentiality, protection, agreement, secrecy, compliance",event
전제조건이 더 이상 해당 당사자에게 적용되지 않는다.,"exemption, release, change, modification, transition",event
3차 대금이 지급된다,"payment, transaction, settlement, disbursement, finance",event
양 당사자가 신속히 원상태로 복구한다.,"restoration, recovery, agreement, cooperation, repair",event
회계법인은 제67조에 따라 선정된다.,"selection, appointment, regulation, administration, compliance",event
성실히 이행한다.,"diligence, responsibility, commitment, fulfillment, perseverance",event
"매매주식은 담보권, 제한, 부담도 없는 상태여야 한다.","ownership, transfer, restriction, liability, encumbrance",event
각 당사자는 본 계약과 관련하여 비밀정보를 취득한다.,"confidentiality, information sharing, agreement, secrecy, disclosure",event
매도인은 영업실적을 달성한다.,"achievement, sales, performance, success, accomplishment",event
정산은 최종 대금 지급 시 이루어진다.,"payment, settlement, transaction, completion, disbursement",event
완전 합의가 성립한다.,"agreement, resolution, consensus, understanding, settlement",event
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태로 양도되어야 한다.","transfer, transaction, ownership, conveyance, security, restriction",event
합리적인 가정이 존재한다.,"assumption, reasoning, logic, foundation, premise",event
회사에 추가적으로 숨겨진 중요한 부채나 우발채무가 없다고 판단된다,"risk assessment, financial review, disclosure, assurance, evaluation",event
계약 수정이 가능하다.,"agreement, negotiation, flexibility, modification, revision",event
모든 재무 정보는 일관된 회계 기준에 따라 작성되었다.,"standardization, consistency, compliance, regulation, accuracy",event
거래종결은 본 계약 체결일로부터 30일 이내에 이루어진다.,"계약이행, 마감, 거래완료, 일정, 법률행위",event
각 당사자가 진술보증 사항에 변경이 발생할 경우 즉시 통지한다.,"notification, compliance, disclosure, update, obligation",event
주식회사 에타캐피탈 대표이사가 서명한다.,"authorization, agreement, leadership, business, decision-making",event
각 당사자가 본 거래와 관련하여 비용을 부담한다.,"cost sharing, responsibility, agreement, obligation, allocation",event
"주식에 담보권, 제한, 부담이 존재하지 않는다.","ownership, freedom, rights, security, restriction",event
양 당사자는 거래종결 후 행정적 사항에 협력한다.,"cooperation, agreement, compliance, coordination, administration",event
배당은 매도인에게 귀속된다.,"allocation, ownership, entitlement, distribution, assignment",event
매수인이 어떤 사항을 인지한다,"awareness, realization, recognition, understanding, perception",event
계약을 수정할 수 있다,"negotiation, agreement, modification, flexibility, consent",event
본 계약의 해석에 대한 분쟁이 있을 경우,"dispute, interpretation, disagreement, negotiation, resolution",event
시너지가 실현된다.,"collaboration, synergy, cooperation, integration, achievement",event
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.","transaction, agreement, valuation, finance, contract",event
시설에 대한 어떠한 변경이나 조치가 이루어지지 않는다.,"status quo, maintenance, stability, inaction, preservation",event
진행 중인 연구개발이 계속된다.,"progress, innovation, continuation, advancement, improvement",event
매도인은 본 계약 체결일 및 각 대금 지급일 현재 다음 사항이 진실하고 정확함을 진술하고 보증한다.,"representation, assurance, confirmation, verification, disclosure",event
매도인은 매매주식의 처분권한을 가진다.,"ownership, authority, control, rights, authorization, legal power",event
매수인은 각 대금을 지급할 수 있었다.,"payment, transaction, fulfillment, financial exchange, obligation",event
영업실적은 감사보고서로 확인된다.,"verification, reporting, assessment, documentation, evaluation",event
법령상 요구되거나 상대방의 서면 동의가 있는 경우는 비밀정보 공개의 예외로 한다.,"disclosure, exception, regulation, consent, information sharing",event
완전한 거래가 완료된다.,"exchange, agreement, closure, completion, settlement",event
