Name,Type
거래종결 후 사항,Entity
매도인 책임 없음,Entity
부채,Entity
주식회사 에타캐피탈,Entity
분쟁 당사자,Entity
하자담보책임,Entity
2차 및 3차 대금 지급 조건,Entity
일부,Entity
1차 대금,Entity
주식회사 쎄타파트너스 대표이사,Entity
거래종결 후,Entity
한국어본,Entity
권리 불행사,Entity
대금 지급 5영업일 전,Entity
노사 분쟁 없음,Entity
거래종결일까지,Entity
계약 수정,Entity
적절한 보상한도,Entity
대상회사 관련 정보,Entity
본 거래와 관련하여,Entity
서울특별시,Entity
매수인이 실제로 인지한 사항,Entity
손해배상 청구,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
3회,Entity
통상의 영업과정,Entity
일부가 무효여도,Entity
40%,Entity
대상회사,Entity
연간 1억원,Entity
일방 유리 해석,Entity
회사,Entity
불가항력,Entity
제45조,Entity
자산,Entity
"오천원(₩5,000)",Entity
총 매매가격,Entity
진술,Entity
대한민국의 은행이 정상 영업하는 날,Entity
거래종결,Entity
주식 양도,Entity
전체 거래 무효,Entity
각 1부,Entity
거래종결 전 선언된 배당,Entity
처분권한,Entity
지연이자,Entity
2차 대금,Entity
나머지,Entity
목표 매출액의 90% 이상 달성,Entity
보증,Entity
권리,Entity
제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,Entity
손해배상 책임 한도,Entity
경영권,Entity
진술보증 사항에 변경,Entity
규제,Entity
1차 대금 지급,Entity
계약,Entity
모든 기한,Entity
자문,Entity
양 당사자,Entity
재무 정보,Entity
완전한 경영권,Entity
확정된 손해배상액,Entity
매매주식,Entity
공급망,Entity
중요 계약,Entity
전제조건,Entity
매매대금,Entity
본 계약 체결일 및 각 대금 지급일 현재,Entity
거래종결일,Entity
2차 대금 지급,Entity
매매에 필요한 제반 사항,Entity
최종 대금 지급일로부터 1년,Entity
본 계약 체결일로부터 30일 이내,Entity
계약서,Entity
실제로 인지한 사항,Entity
구체적 증빙,Entity
매매대금 조정,Entity
승계된다,Entity
제51조,Entity
조건,Entity
주권,Entity
기존 공급계약,Entity
순부채,Entity
운전자본 조정,Entity
영업실적,Entity
원상회복 시,Entity
거래종결과 동시에,Entity
거래종결 즉시,Entity
통지,Entity
배당,Entity
미지급 대금,Entity
거래종결일로부터 90일 후,Entity
성실 의무,Entity
대리인을 선임하는 자,Entity
888-88-88888,Entity
"매출액, 영업이익, EBITDA 등 재무성과",Entity
법령,Entity
주요 고객,Entity
거래종결 후 6개월간,Entity
주식회사 쎄타파트너스,Entity
제5장,Entity
777-77-77777,Entity
1차 지급,Entity
보험계약,Entity
모든 중요 자산,Entity
2차 지급,Entity
연결재무제표,Entity
계약의 해석에 대한 분쟁,Entity
사항,Entity
통지 후 3영업일 내,Entity
중요 문서,Entity
지급자,Entity
매매조건,Entity
4대 회계법인,Entity
부동산,Entity
2차 대금 지급 여부,Entity
허가,Entity
거래종결 후 최소 1년간,Entity
자,Entity
라이선스,Entity
모든 진술과 보증,Entity
필요 서류,Entity
완전한 거래,Entity
제공된 대상회사의 재무제표,Entity
중요한 계약,Entity
노동 관련 법규,Entity
환경 관련 법규,Entity
별도 성과 인센티브 부재,Entity
우발채무,Entity
각 당사자,Entity
협력,Entity
매도인의 진술보증,Entity
분쟁,Entity
본 계약,Entity
거래종결일로부터 90일간 영업실적 확인,Entity
거래종결 후 발견된 자산,Entity
200억원,Entity
제한,Entity
정기 감사,Entity
매매주식 전체,Entity
취득세,Entity
더 유리한 조건,Entity
주주명부,Entity
본 거래,Entity
진행 중인 연구개발,Entity
제1장,Entity
부록,Entity
매매주식 전체의 소유권 이전,Entity
수령자,Entity
회계법인,Entity
매매주식 전체의 소유권,Entity
자신을 위한 전제조건,Entity
모든 조건 충족 시,Entity
영업실적 달성,Entity
선의,Entity
최종 대금 지급,Entity
행정적 사항,Entity
본 계약 체결일,Entity
대리인,Entity
중요한 소송이나 분쟁,Entity
거래종결 거부,Entity
20%,Entity
모든 보험계약,Entity
공동 비용,Entity
계좌 정보,Entity
핵심 임직원,Entity
총칙,Entity
주식 양도 의무,Entity
거래종결 거부의 상대방,Entity
법령상 요구 또는 상대방의 서면 동의,Entity
신뢰,Entity
모든 법령,Entity
현 상태,Entity
거래종결 거부자,Entity
반환 지연,Entity
서울특별시 소재 합의된 장소,Entity
은행,Entity
수취인,Entity
사업계획,Entity
모든 조건,Entity
정산,Entity
"담보권, 제한, 부담도 없는 상태",Entity
계약 당사자,Entity
연간 1억원 이상의 것(실사 과정에서 공개된 것 외),Entity
대한민국 법률,Entity
제90조,Entity
이사,Entity
감사보고서,Entity
중요한 부채,Entity
회계 기준,Entity
경영권 이전,Entity
자신의 비용,Entity
모든 세금,Entity
상대방,Entity
손해배상 책임,Entity
시너지 실현,Entity
대표이사,Entity
반영,Entity
운전자본,Entity
중대한 고객 이탈 없음,Entity
주요 고객과의 계약,Entity
거래,Entity
대한민국 법률에 따라 해석,Entity
조건이 충족된 경우,Entity
400억원,Entity
3차 대금,Entity
최종 대금 지급 시,Entity
모든 라이선스와 허가,Entity
일반조항,Entity
사기,Entity
1차 대금 지급과 동시에,Entity
거래종결일로부터 3년간,Entity
노사 분쟁,Entity
주식 즉시 반환,Entity
연간 1억원 이상의 중요 계약,Entity
실사 과정,Entity
대상회사 포함,Entity
이메일,Entity
90일째 감사보고서,Entity
매매와 관련한 당사자,Entity
매도인 1차 대금 원상회복 요구 가능,Entity
제67조,Entity
원상회복 통지,Entity
