:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식회사 에타캐피탈,계약,매도인이다,[],[],Relation
주식회사 쎄타파트너스,계약,매수인이다,[],[],Relation
주식회사 아이오타솔루션,계약,대상회사이다,[],[],Relation
주식회사 에타캐피탈,666-66-66666,사업자등록번호를 가진다,[],[],Relation
주식회사 쎄타파트너스,777-77-77777,사업자등록번호를 가진다,[],[],Relation
주식회사 아이오타솔루션,888-88-88888,사업자등록번호를 가진다,[],[],Relation
계약,2025년 1월 1일,계약일자가 있다,[],[],Relation
2025년 1월 1일에 계약일자가 정해졌다.,"매도인, 매수인, 대상회사가 계약 당사자로 명시되었다.",이후,[],[],Relation
"매도인, 매수인, 대상회사가 계약 당사자로 명시되었다.",각 회사의 사업자등록번호가 함께 기재되었다.,동시에,[],[],Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,주식회사 에타캐피탈,is participated by,[],[],Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,주식회사 쎄타파트너스,is participated by,[],[],Relation
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 지분을 매도한다.,주식회사 에타캐피탈,is participated by,[],[],Relation
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 지분을 매도한다.,주식회사 아이오타솔루션,is participated by,[],[],Relation
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 지분을 매수한다.,주식회사 쎄타파트너스,is participated by,[],[],Relation
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 지분을 매수한다.,주식회사 아이오타솔루션,is participated by,[],[],Relation
제1장이 총칙으로 명명된다.,제1장,is participated by,[],[],Relation
제1장이 총칙으로 명명된다.,총칙,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 20,000,000주",보유하다,[],[],Relation
매도인,매매주식,매도하다,[],[],Relation
매수인,매매주식,매수하다,[],[],Relation
본 계약,매매에 필요한 제반 사항,규정하다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",매수인이 이를 매수한다,결과로,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",필요한 제반 사항을 규정한다,때문에,[],[],Relation
매수인이 이를 매수한다,필요한 제반 사항을 규정한다,때문에,[],[],Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","보통주식 20,000,000주",is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 20,000,000주를 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 20,000,000주를 매수한다.",매도인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 20,000,000주를 매수한다.",대상회사,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 20,000,000주를 매수한다.","보통주식 20,000,000주",is participated by,[],[],Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,본 계약,is participated by,[],[],Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매도인,is participated by,[],[],Relation
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,매수인,is participated by,[],[],Relation
거래종결일,제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,의미한다,[],[],Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,[],[],Relation
영업실적,"매출액, 영업이익, EBITDA 등 재무성과",의미한다,[],[],Relation
1차 대금 지급과 주식 양도가 이루어진다.,"""거래종결일""이 된다.",이후,[],[],Relation
대한민국의 은행이 정상 영업한다.,"""영업일""이 된다.",동시에,[],[],Relation
"매출액, 영업이익, EBITDA 등의 재무성과가 있다.","""영업실적""이 발생한다.",결과로,[],[],Relation
거래종결일은 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,거래종결일,is participated by,[],[],Relation
거래종결일은 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,제51조,is participated by,[],[],Relation
거래종결일은 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,1차 대금 지급,is participated by,[],[],Relation
거래종결일은 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,주식 양도,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,영업일,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,대한민국,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,은행,is participated by,[],[],Relation
"영업실적은 매출액, 영업이익, EBITDA 등 재무성과를 의미한다.",영업실적,is participated by,[],[],Relation
"영업실적은 매출액, 영업이익, EBITDA 등 재무성과를 의미한다.",매출액,is participated by,[],[],Relation
"영업실적은 매출액, 영업이익, EBITDA 등 재무성과를 의미한다.",영업이익,is participated by,[],[],Relation
"영업실적은 매출액, 영업이익, EBITDA 등 재무성과를 의미한다.",EBITDA,is participated by,[],[],Relation
"영업실적은 매출액, 영업이익, EBITDA 등 재무성과를 의미한다.",재무성과,is participated by,[],[],Relation
양 당사자,본 계약,본 계약을 체결한다,[],[],Relation
양 당사자,본 계약,본 계약을 이행한다,[],[],Relation
양 당사자,양 당사자,상호 선의와 신뢰를 바탕으로 협력한다,[],[],Relation
양 당사자가 본 계약을 체결한다.,양 당사자가 본 계약을 이행한다.,이후,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,양 당사자가 성실히 협력한다.,때문에,[],[],Relation
양 당사자가 본 계약을 체결한다.,양 당사자,is participated by,[],[],Relation
양 당사자가 본 계약을 체결한다.,본 계약,is participated by,[],[],Relation
양 당사자가 본 계약을 이행한다.,양 당사자,is participated by,[],[],Relation
양 당사자가 본 계약을 이행한다.,본 계약,is participated by,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,양 당사자,is participated by,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,선의,is participated by,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,신뢰,is participated by,[],[],Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함한다,[],[],Relation
본 계약,이전의 모든 구두 또는 서면 합의,대체한다,[],[],Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,동시에,[],[],Relation
이전의 모든 구두 또는 서면 합의가 있었다.,본 계약이 체결되었다.,이후,[],[],Relation
본 계약이 체결되었다.,이전의 모든 구두 또는 서면 합의가 대체되었다.,결과로,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약,is participated by,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매주식,is participated by,[],[],Relation
