:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식회사 에타캐피탈,계약,매도인이다,"['transact', 'transfer ownership', 'sell', 'provide']",[],0,Relation
주식회사 쎄타파트너스,계약,매수인이다,"['purchase', 'obtain', 'acquire', 'ownership', 'buy']",[],1,Relation
주식회사 아이오타솔루션,계약,대상회사이다,"['subject company', 'focus organization', 'target entity', 'selected firm']",[],2,Relation
주식회사 에타캐피탈,666-66-66666,사업자등록번호를 가진다,"['obtain license', 'register business', 'official status', 'business recognition', 'legal identification']",[],3,Relation
주식회사 쎄타파트너스,777-77-77777,사업자등록번호를 가진다,"['obtain license', 'register business', 'official status', 'business recognition', 'legal identification']",[],4,Relation
주식회사 아이오타솔루션,888-88-88888,사업자등록번호를 가진다,"['obtain license', 'register business', 'official status', 'business recognition', 'legal identification']",[],5,Relation
계약,2025년 1월 1일,계약일자가 있다,"['ownership', 'possess agreement', 'have contract', 'documentation', 'hold record']",[],6,Relation
2025년 1월 1일에 계약일자가 정해졌다.,"매도인, 매수인, 대상회사가 계약 당사자로 명시되었다.",이후,"['come after', 'follow', 'succeed', 'post', 'subsequent to']",[],7,Relation
"매도인, 매수인, 대상회사가 계약 당사자로 명시되었다.",각 회사의 사업자등록번호가 함께 기재되었다.,동시에,"['concurrently', 'synchronously', 'at the same time', 'simultaneously']",[],8,Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,주식회사 에타캐피탈,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],9,Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,주식회사 쎄타파트너스,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],10,Relation
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 지분을 매도한다.,주식회사 에타캐피탈,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],11,Relation
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 지분을 매도한다.,주식회사 아이오타솔루션,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],12,Relation
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 지분을 매수한다.,주식회사 쎄타파트너스,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],13,Relation
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 지분을 매수한다.,주식회사 아이오타솔루션,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],14,Relation
제1장이 총칙으로 명명된다.,제1장,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],15,Relation
제1장이 총칙으로 명명된다.,총칙,is participated by,"['attract', 'receive participation', 'include', 'involve', 'engage']",[],16,Relation
