name:ID,type,concepts,synsets,:LABEL
주식회사 에타캐피탈,entity,[],[],Node
계약,entity,[],[],Node
주식회사 쎄타파트너스,entity,[],[],Node
주식회사 아이오타솔루션,entity,[],[],Node
666-66-66666,entity,[],[],Node
777-77-77777,entity,[],[],Node
888-88-88888,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
2025년 1월 1일에 계약일자가 정해졌다.,event,[],[],Node
"매도인, 매수인, 대상회사가 계약 당사자로 명시되었다.",event,[],[],Node
각 회사의 사업자등록번호가 함께 기재되었다.,event,[],[],Node
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],Node
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 지분을 매도한다.,event,[],[],Node
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 지분을 매수한다.,event,[],[],Node
제1장이 총칙으로 명명된다.,event,[],[],Node
제1장,entity,[],[],Node
총칙,entity,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 20,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
매매에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",event,[],[],Node
매수인이 이를 매수한다,event,[],[],Node
필요한 제반 사항을 규정한다,event,[],[],Node
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"보통주식 20,000,000주",entity,[],[],Node
"매수인이 매도인으로부터 대상회사 발행 보통주식 20,000,000주를 매수한다.",event,[],[],Node
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,event,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
영업실적,entity,[],[],Node
"매출액, 영업이익, EBITDA 등 재무성과",entity,[],[],Node
1차 대금 지급과 주식 양도가 이루어진다.,event,[],[],Node
"""거래종결일""이 된다.",event,[],[],Node
대한민국의 은행이 정상 영업한다.,event,[],[],Node
"""영업일""이 된다.",event,[],[],Node
"매출액, 영업이익, EBITDA 등의 재무성과가 있다.",event,[],[],Node
"""영업실적""이 발생한다.",event,[],[],Node
거래종결일은 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,event,[],[],Node
제51조,entity,[],[],Node
1차 대금 지급,entity,[],[],Node
주식 양도,entity,[],[],Node
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,event,[],[],Node
대한민국,entity,[],[],Node
은행,entity,[],[],Node
"영업실적은 매출액, 영업이익, EBITDA 등 재무성과를 의미한다.",event,[],[],Node
매출액,entity,[],[],Node
영업이익,entity,[],[],Node
EBITDA,entity,[],[],Node
재무성과,entity,[],[],Node
양 당사자,entity,[],[],Node
양 당사자가 본 계약을 체결한다.,event,[],[],Node
양 당사자가 본 계약을 이행한다.,event,[],[],Node
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],Node
양 당사자가 성실히 협력한다.,event,[],[],Node
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],Node
선의,entity,[],[],Node
신뢰,entity,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
이전의 모든 구두 또는 서면 합의,entity,[],[],Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],Node
이전의 모든 구두 또는 서면 합의가 있었다.,event,[],[],Node
본 계약이 체결되었다.,event,[],[],Node
이전의 모든 구두 또는 서면 합의가 대체되었다.,event,[],[],Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
매매와 관련한 당사자,entity,[],[],Node
본 계약이 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],Node
"일천억원(₩100,000,000,000)",entity,[],[],Node
주당 매매가격,entity,[],[],Node
"오천원(₩5,000)",entity,[],[],Node
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.",event,[],[],Node
"주당 매매가격은 금 오천원(₩5,000)으로 한다.",event,[],[],Node
"매매주식의 총 매매가격을 금 일천억원(₩100,000,000,000)으로 정한다.",event,[],[],Node
총 매매가격,entity,[],[],Node
"주당 매매가격을 금 오천원(₩5,000)으로 정한다.",event,[],[],Node
진술,entity,[],[],Node
본 계약 체결일,entity,[],[],Node
각 대금 지급일,entity,[],[],Node
보증,entity,[],[],Node
본 계약 체결일이 도래한다,event,[],[],Node
진술과 보증의 기준일이 된다,event,[],[],Node
각 대금 지급일이 도래한다,event,[],[],Node
달리 명시되지 않는다,event,[],[],Node
모든 진술과 보증은 본 계약 체결일과 각 대금 지급일을 기준으로 한다,event,[],[],Node
모든 진술과 보증은 본 계약 체결일을 기준으로 한다.,event,[],[],Node
모든 진술과 보증,entity,[],[],Node
모든 진술과 보증은 각 대금 지급일을 기준으로 한다.,event,[],[],Node
거래 완료,entity,[],[],Node
양 당사자가 거래 완료를 위해 최선을 다해 협력한다.,event,[],[],Node
