name:ID,type,concepts,synsets,numeric_id,:LABEL
주식회사 에타캐피탈,entity,[],[],0,Node
계약,entity,[],[],1,Node
주식회사 쎄타파트너스,entity,[],[],2,Node
주식회사 아이오타솔루션,entity,[],[],3,Node
666-66-66666,entity,[],[],4,Node
777-77-77777,entity,[],[],5,Node
888-88-88888,entity,[],[],6,Node
2025년 1월 1일,entity,[],[],7,Node
2025년 1월 1일에 계약일자가 정해졌다.,event,[],[],8,Node
"매도인, 매수인, 대상회사가 계약 당사자로 명시되었다.",event,[],[],9,Node
각 회사의 사업자등록번호가 함께 기재되었다.,event,[],[],10,Node
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,event,[],[],11,Node
주식회사 에타캐피탈이 주식회사 아이오타솔루션의 지분을 매도한다.,event,[],[],12,Node
주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 지분을 매수한다.,event,[],[],13,Node
제1장이 총칙으로 명명된다.,event,[],[],14,Node
제1장,entity,[],[],15,Node
총칙,entity,[],[],16,Node
매도인,entity,[],[],17,Node
"대상회사 발행 보통주식 20,000,000주",entity,[],[],18,Node
매매주식,entity,[],[],19,Node
매수인,entity,[],[],20,Node
본 계약,entity,[],[],21,Node
매매에 필요한 제반 사항,entity,[],[],22,Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",event,[],[],23,Node
매수인이 이를 매수한다,event,[],[],24,Node
필요한 제반 사항을 규정한다,event,[],[],25,Node
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",event,[],[],26,Node
대상회사,entity,[],[],27,Node
"보통주식 20,000,000주",entity,[],[],28,Node
"매수인이 매도인으로부터 대상회사 발행 보통주식 20,000,000주를 매수한다.",event,[],[],29,Node
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,event,[],[],30,Node
거래종결일,entity,[],[],31,Node
제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,entity,[],[],32,Node
영업일,entity,[],[],33,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],34,Node
영업실적,entity,[],[],35,Node
"매출액, 영업이익, EBITDA 등 재무성과",entity,[],[],36,Node
1차 대금 지급과 주식 양도가 이루어진다.,event,[],[],37,Node
"""거래종결일""이 된다.",event,[],[],38,Node
대한민국의 은행이 정상 영업한다.,event,[],[],39,Node
