":START_ID",":END_ID","relation",":TYPE"
"주식매매계약서가 작성된다.","900f8b2f3a9f71587c3695325d6d939e0fb769ce2cc58f65e8fe30a6929a8480","has_concept","Concept"
"주식매매계약서가 작성된다.","fbf12f3908e4cc20411ff1cffbf9e29f2a42a247867d78f333c7f7695674e946","has_concept","Concept"
"주식매매계약서가 작성된다.","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"주식매매계약서가 작성된다.","69f8174664be1f9577c0238b2932f128fbf6e0909bc945c5b8dc8ad8bfb85e2b","has_concept","Concept"
"주식매매계약서가 작성된다.","7c0f1708a2d1cee3d49127afa6021d0d6adbedc3db87eb5d77d545e049e3e9da","has_concept","Concept"
"주식매매계약서","403bd4ce11a6826a5f98a3d66ab8f3b04c30c53e29fe0a31722bf2d0ee822bf5","has_concept","Concept"
"주식매매계약서","03a6569cebdc6132d6801aee2bc80244fca6c08c1e46de5cbc9676a1c1da0a56","has_concept","Concept"
"주식매매계약서","f916f959d18a6a5eb5dd633e3b82bb253ff0e9d56f7510a43c6569ab151691ec","has_concept","Concept"
"주식매매계약서","67c0bb54982e7fd271f25e324f4508d69e3b71fe53db307a71fdf25ba9b0b4c3","has_concept","Concept"
"주식매매계약서","64d2a002e23790a647fde8f1c6e86eac0b1c2f041fc6f2420728e4c6ec9e2506","has_concept","Concept"
"주식매매계약서","06701ef665f179da17852fbbc94cfff987b568d84fddb39dfdb7e6175032c9fb","has_concept","Concept"
"주식회사 에타캐피탈","101e85a7dcd45012be51280d29bfd96a459b7f197177d20a2c1a45fb786f9cce","has_concept","Concept"
"주식회사 에타캐피탈","0cdcf5ac0638a37142fe27b01d4345b549cd0bd030f0d9309867da5cb2972cad","has_concept","Concept"
"주식회사 에타캐피탈","972affb50b73af2c6f0e355eabf0d3b0bdbb29d79b5a6f5e7059cca0003b5591","has_concept","Concept"
"주식회사 에타캐피탈","1aa70037b514a74004bab904736171a73d8f311e86e55c52e86fbddf001371db","has_concept","Concept"
"주식회사 에타캐피탈","bdc8992455a27cce2fed9429359ab40b50b806020606766787683651c687c49a","has_concept","Concept"
"계약","403bd4ce11a6826a5f98a3d66ab8f3b04c30c53e29fe0a31722bf2d0ee822bf5","has_concept","Concept"
"계약","03a6569cebdc6132d6801aee2bc80244fca6c08c1e46de5cbc9676a1c1da0a56","has_concept","Concept"
"계약","06701ef665f179da17852fbbc94cfff987b568d84fddb39dfdb7e6175032c9fb","has_concept","Concept"
"계약","4d4e2d8dc2f0c684384e71c08d2912dbbd25e95f19817166eb635b33a034e3d4","has_concept","Concept"
"계약","1b26ced399c1820f2fa5c521903dd1abddd5cdd0964ea1225771fd21583d01d7","has_concept","Concept"
"계약","fac50809c2194fd111926b731af5f49478f088ed9dae8e2b81d0fe16826b2eb3","has_concept","Concept"
"계약","64d2a002e23790a647fde8f1c6e86eac0b1c2f041fc6f2420728e4c6ec9e2506","has_concept","Concept"
"주식회사 쎄타파트너스","6b36029308af579b47c7aa1017622679f015ee40f3abfb9dd60e5817c0957ee2","has_concept","Concept"
"주식회사 쎄타파트너스","107cc264f050ef9de08e953d69a6f83042122e474fa9964071205791221cbbf5","has_concept","Concept"
"주식회사 쎄타파트너스","a0c5a9324b5d412590d7a642a922215b15c6f08e0d68834ab2653d21dc1beda5","has_concept","Concept"
"주식회사 쎄타파트너스","f3ba7aef8f0962195d636a2583bb8452c5f5a41d40204e0ccd85d85ef4781c04","has_concept","Concept"
"주식회사 쎄타파트너스","56f180f4df468ffb41fbeb0a5b34ad00548a786ea6c0a1cd6ed42b4e25bc2be1","has_concept","Concept"
"주식회사 쎄타파트너스","fab185f9eed532907db2c338a3f4a814d5d9a0c03a9e857db0c317ee1f56b825","has_concept","Concept"
"주식회사 아이오타솔루션","107cc264f050ef9de08e953d69a6f83042122e474fa9964071205791221cbbf5","has_concept","Concept"
"주식회사 아이오타솔루션","6b36029308af579b47c7aa1017622679f015ee40f3abfb9dd60e5817c0957ee2","has_concept","Concept"
"주식회사 아이오타솔루션","f3ba7aef8f0962195d636a2583bb8452c5f5a41d40204e0ccd85d85ef4781c04","has_concept","Concept"
"주식회사 아이오타솔루션","a0c5a9324b5d412590d7a642a922215b15c6f08e0d68834ab2653d21dc1beda5","has_concept","Concept"
"주식회사 아이오타솔루션","fab185f9eed532907db2c338a3f4a814d5d9a0c03a9e857db0c317ee1f56b825","has_concept","Concept"
"666-66-66666","2f8a7b30addd4ca768db69101f83a03783c736dc7f4b13cf219bd300b01992d7","has_concept","Concept"
"666-66-66666","38efb5c9b49dcd4097f026950305d6d6057ca939887331bd0ff1b41600601f33","has_concept","Concept"
"666-66-66666","8938256440bbc1148eea83bb247e0d0e39db2273ed82dd390c388e350abe6312","has_concept","Concept"
"666-66-66666","35a549427b6c123b6b5bc370b0b4c32bc6842009768003eeac385d142a74f357","has_concept","Concept"
"666-66-66666","3f1c29d8f9df10f920b263964c84eec45663f58101c430489525f7df0c89c7e7","has_concept","Concept"
"777-77-77777","2f8a7b30addd4ca768db69101f83a03783c736dc7f4b13cf219bd300b01992d7","has_concept","Concept"
"777-77-77777","38efb5c9b49dcd4097f026950305d6d6057ca939887331bd0ff1b41600601f33","has_concept","Concept"
"777-77-77777","8938256440bbc1148eea83bb247e0d0e39db2273ed82dd390c388e350abe6312","has_concept","Concept"
"777-77-77777","139579c44a1a766eb7766c95f96b5f8b125645b55b1537c5e81bf12f41d04b58","has_concept","Concept"
"777-77-77777","d7fc82a97ecf5f6b8b04f921355af98ead565651e300cf292a40f3601d924e5c","has_concept","Concept"
"777-77-77777","ec904b4aa65a6c5dd0ae88cc862fc4c32ebaf0f1d8bec9d9e8fe125f3b79e8e9","has_concept","Concept"
"888-88-88888","2f8a7b30addd4ca768db69101f83a03783c736dc7f4b13cf219bd300b01992d7","has_concept","Concept"
"888-88-88888","38efb5c9b49dcd4097f026950305d6d6057ca939887331bd0ff1b41600601f33","has_concept","Concept"
"888-88-88888","3fa975ce32df39fbc26a76f42207acbefd0f93002cbd018520837fdad355d669","has_concept","Concept"
"888-88-88888","fd9b31322044eef3129674b4c0a341e7a88f832af83c9f0b94e583a869c33c00","has_concept","Concept"
"888-88-88888","8938256440bbc1148eea83bb247e0d0e39db2273ed82dd390c388e350abe6312","has_concept","Concept"
"2025년 1월 1일","49bbb5bac9613ca5494d843c377e4d696c9b4e022b6496214b8c76cdfa7d82dc","has_concept","Concept"
"2025년 1월 1일","47729bafb8be4cfa7ee39d7f5cef089492391572fc09d7ae189299fde1a8c790","has_concept","Concept"
"2025년 1월 1일","0d5f169f9826a466b49f0b33403eec596a68dbbd06007c674815ec19bb7c0acc","has_concept","Concept"
"2025년 1월 1일","538bf56c412f96e5d7a4bd70972f03a700a144782c37d3918a6e229ebe2a5159","has_concept","Concept"
"2025년 1월 1일에 계약일자가 정해졌다.","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"2025년 1월 1일에 계약일자가 정해졌다.","162864099d0eef8fcfe22c26979bf9bd716381fec0c5e80b07c128a302e16b73","has_concept","Concept"
"2025년 1월 1일에 계약일자가 정해졌다.","7eb84a54e9c5abee6afa8427933bdb6575ba82e82aeca41c9e5a92ab93e0eed2","has_concept","Concept"
"2025년 1월 1일에 계약일자가 정해졌다.","8342bb93ebad0865de0f879347228fdb0836b235ce4a7c1551822d4e4fb31cb9","has_concept","Concept"
"2025년 1월 1일에 계약일자가 정해졌다.","7e772fb4cc2293e794250fd95ecdb8dbadd88eb01387e73e14f08bbac678a81b","has_concept","Concept"
"계약 당사자가 확정되었다.","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"계약 당사자가 확정되었다.","65cacfd49477ee071f8e18493b91100a393be622c6226aa13df2465793cce7e8","has_concept","Concept"
"계약 당사자가 확정되었다.","76a345f8470c2f015fa1a30a5976a1871c0e5732c652a3183589eec6b905e063","has_concept","Concept"
"계약 당사자가 확정되었다.","609ef289ddf92a6f414ab5f9c01d92cc643f4f14d9f0aede3e5d9cbbd176e6b8","has_concept","Concept"
"계약 당사자가 확정되었다.","e4533821998dc8f7921cb8eae3ddc87ba387cea25e10e325a1e38bc99e348634","has_concept","Concept"
"매도인은 주식회사 에타캐피탈로 지정되었다.","52a75fdd6f2fb0d0b9bfa68845c798febb85630cee82e4a3cbcd132095d966fc","has_concept","Concept"
"매도인은 주식회사 에타캐피탈로 지정되었다.","622ee7edbd215f360ede2f86175e98732bbc7a01e3f6c5ebc643c1de0819e7da","has_concept","Concept"
"매도인은 주식회사 에타캐피탈로 지정되었다.","0fd90a2b1c8843af19b9cad93e0bf5f6e10e760dcc1bc1762454a0560af66888","has_concept","Concept"
"매도인은 주식회사 에타캐피탈로 지정되었다.","ab518d2bf7883a70d72605d3560a01bcd62951f877708614db1219a77079e56e","has_concept","Concept"
"매도인은 주식회사 에타캐피탈로 지정되었다.","a66914c16911e6d992f1f1360deb4ce3f1e41538a92266db38643baa409aa3a8","has_concept","Concept"
"매수인은 주식회사 쎄타파트너스로 지정되었다.","609ef289ddf92a6f414ab5f9c01d92cc643f4f14d9f0aede3e5d9cbbd176e6b8","has_concept","Concept"
"매수인은 주식회사 쎄타파트너스로 지정되었다.","d3327ee3494b642f45bab4f16345fadeeafb596801438abd179a9b1e2677730d","has_concept","Concept"
"매수인은 주식회사 쎄타파트너스로 지정되었다.","5d06d589bf7e940d308ab1354cfac5eb239a0a12f766987c2369f6356545368f","has_concept","Concept"
"매수인은 주식회사 쎄타파트너스로 지정되었다.","0fd90a2b1c8843af19b9cad93e0bf5f6e10e760dcc1bc1762454a0560af66888","has_concept","Concept"
"매수인은 주식회사 쎄타파트너스로 지정되었다.","622ee7edbd215f360ede2f86175e98732bbc7a01e3f6c5ebc643c1de0819e7da","has_concept","Concept"
"계약이 성립되었다.","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"계약이 성립되었다.","5bd540f7edc0f85867a48c012a1e297f06207445396d87ff13acc76fe4b7ad65","has_concept","Concept"
"계약이 성립되었다.","69f8174664be1f9577c0238b2932f128fbf6e0909bc945c5b8dc8ad8bfb85e2b","has_concept","Concept"
"계약이 성립되었다.","8d0f8d3e83e1f623d135a391e92b3230959849bd817f855c1eb85d01082f46ee","has_concept","Concept"
"계약이 성립되었다.","538c554615146097f8626a669a513d1ea00925d0640c89289e37d8da544a2314","has_concept","Concept"
"대상회사는 주식회사 아이오타솔루션으로 정해졌다.","7eb84a54e9c5abee6afa8427933bdb6575ba82e82aeca41c9e5a92ab93e0eed2","has_concept","Concept"
"대상회사는 주식회사 아이오타솔루션으로 정해졌다.","5d06d589bf7e940d308ab1354cfac5eb239a0a12f766987c2369f6356545368f","has_concept","Concept"
"대상회사는 주식회사 아이오타솔루션으로 정해졌다.","c48bd420b9995c0be71f62c4103ffed768009e62ccd44f2f7dbe279a5e6d99c8","has_concept","Concept"
"대상회사는 주식회사 아이오타솔루션으로 정해졌다.","85d1ff8b4c66412e4c45ff2bb66ce4521c33863b76e0e661b3e172892475af08","has_concept","Concept"
"대상회사는 주식회사 아이오타솔루션으로 정해졌다.","ed5da618a9152f8aa77cc4f9d3c39448a6a34687cbdac771a58be03bf9191d16","has_concept","Concept"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.","69f8174664be1f9577c0238b2932f128fbf6e0909bc945c5b8dc8ad8bfb85e2b","has_concept","Concept"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.","4e2c820f3b0100efc6545d4320794bee6f6a743c669974858de4c61547b00d90","has_concept","Concept"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.","9163193398ad78675b6d7a20f05a5775b2764c10f365b33b69c3760cb9d89930","has_concept","Concept"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.","7ce08964d88f37cea7f5604099566ffcb7365a9aed5f3ffddc29e24f789056bf","has_concept","Concept"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.","6cbfc16e3fc78fa621c0629ec85d44b88a3149135ea4a489115a5d2696e559ba","has_concept","Concept"
"매도인","ef9be5b2581463a96187ce481ea06552af0bc850f390087e9303eb009b5d410a","has_concept","Concept"
"매도인","22ce01208fe95435476eaf22906397876ee1415bf95efdf9c9591b672f702986","has_concept","Concept"
"매도인","7fb3292d6f68b99a3ee334f089617d24d769180e26692a4e5efc79c98d7514fa","has_concept","Concept"
"매도인","858703f7c170093c238014c551930b2fe630752873c88b1213526671e0815a8b","has_concept","Concept"
"매도인","fb4de54c7f415b7fce7277c8c48aaacc1f391d7825e0e16ed55572ea92133cea","has_concept","Concept"
"대상회사 발행 보통주식 20,000,000주","55b3b617c1170586cbff49da8b20b58b058af0730a1f5bff7237b79c3cf2130e","has_concept","Concept"
"대상회사 발행 보통주식 20,000,000주","6eaccd94b2318f2db4a5fab7c97ffe834a27ec33a65e2b74a58243c82b4c50ba","has_concept","Concept"
"대상회사 발행 보통주식 20,000,000주","896bc01ed7d43cdfa302e4fac5119916647cddb028da289b4dc14a73be3228d6","has_concept","Concept"
"대상회사 발행 보통주식 20,000,000주","28a35414a098eb503a774d464c62aec0018e71758606dd4b19919c98908204cb","has_concept","Concept"
"대상회사 발행 보통주식 20,000,000주","77748fd643c13b026bfb9d77e0b351779962df85f72dd178a92dff7af0970745","has_concept","Concept"
"대상회사 발행 보통주식 20,000,000주","036f52b3a387cd0c53ab3a1d48f9470838b0ba8db56269418f5e72f9e9e6a904","has_concept","Concept"
"매매주식","55b3b617c1170586cbff49da8b20b58b058af0730a1f5bff7237b79c3cf2130e","has_concept","Concept"
"매매주식","896bc01ed7d43cdfa302e4fac5119916647cddb028da289b4dc14a73be3228d6","has_concept","Concept"
"매매주식","28a35414a098eb503a774d464c62aec0018e71758606dd4b19919c98908204cb","has_concept","Concept"
"매매주식","77748fd643c13b026bfb9d77e0b351779962df85f72dd178a92dff7af0970745","has_concept","Concept"
"매매주식","6eaccd94b2318f2db4a5fab7c97ffe834a27ec33a65e2b74a58243c82b4c50ba","has_concept","Concept"
"매매주식","64d2a002e23790a647fde8f1c6e86eac0b1c2f041fc6f2420728e4c6ec9e2506","has_concept","Concept"
"매수인","ef9be5b2581463a96187ce481ea06552af0bc850f390087e9303eb009b5d410a","has_concept","Concept"
"매수인","22ce01208fe95435476eaf22906397876ee1415bf95efdf9c9591b672f702986","has_concept","Concept"
"매수인","a2cc4449d12c112444296deb5326e5f646ac451d95c4a97e719b9de5fec0f5c3","has_concept","Concept"
"매수인","858703f7c170093c238014c551930b2fe630752873c88b1213526671e0815a8b","has_concept","Concept"
"매수인","fb4de54c7f415b7fce7277c8c48aaacc1f391d7825e0e16ed55572ea92133cea","has_concept","Concept"
"매수인","0aa7d8cbed4437fd4bd7ccdefd7da537aa16e859f86776a3cff9bb30e90e3d2a","has_concept","Concept"
"본 계약","403bd4ce11a6826a5f98a3d66ab8f3b04c30c53e29fe0a31722bf2d0ee822bf5","has_concept","Concept"
"본 계약","06701ef665f179da17852fbbc94cfff987b568d84fddb39dfdb7e6175032c9fb","has_concept","Concept"
"본 계약","03a6569cebdc6132d6801aee2bc80244fca6c08c1e46de5cbc9676a1c1da0a56","has_concept","Concept"
"본 계약","94cc200ad014b40799a64c90a70b8d7e9a07d3bdbe12be5a16ff8c3ce84a344f","has_concept","Concept"
"본 계약","4d4e2d8dc2f0c684384e71c08d2912dbbd25e95f19817166eb635b33a034e3d4","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","8843bc53a8d6617720027c69896d5ffe1675431526aa422046dc3581a1b14d46","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","0f6de7855e227e2c12ec8156c6cfd32b17181136c272c0caa555cf2937a5841c","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","bfb3f26f4e6a9fd73a8f39274e857f06dcbb8f94a8fe4828ef9a3eb04817098a","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","73e68972b2494c84f4a80ae232c1ca8654e514ed402141ea55d14080977fb57d","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","e97ef330da160a8995b7f9d875c4c2f3842aec11710468cde21c4f637dde2d77","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","5f81ee06885eeda2f82ee1d74a49924ab7c06a9f7015802fe17019d4fc526f3f","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","312e772d3211f9ddc0507347f4b56fc2258a70ad40ce37ab21f56a24436a57d1","has_concept","Concept"
"매매주식 매도와 매수에 필요한 제반 사항","74fc98d684d0faeb098da0e6038b3f6d68dc118257844ac544f893792f7fcea7","has_concept","Concept"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","9163193398ad78675b6d7a20f05a5775b2764c10f365b33b69c3760cb9d89930","has_concept","Concept"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","355f5b407e558a8949dcb3d970c2db436b8241102153e505ccfd6881f1b15cdc","has_concept","Concept"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","06460f383ef0d9a89e21442ad65a40ff9795cc2ef316ebe4958b4516e5ff684c","has_concept","Concept"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","6b586ad1a396a8cca4383eb2d8ec14bbe1621f2378e40ce4d5b5e60f9ab488df","has_concept","Concept"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","9b47d34af452d543add699e16ab26785032d23957ced7fb20643bd3fbd4cfe3b","has_concept","Concept"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","581728741ac9405c0840086db40703a7318d985e9ff6ce59437426e5ae3bb21e","has_concept","Concept"
"매수인이 보통주식 20,000,000주를 매수한다","9163193398ad78675b6d7a20f05a5775b2764c10f365b33b69c3760cb9d89930","has_concept","Concept"
"매수인이 보통주식 20,000,000주를 매수한다","581728741ac9405c0840086db40703a7318d985e9ff6ce59437426e5ae3bb21e","has_concept","Concept"
"매수인이 보통주식 20,000,000주를 매수한다","40f7d9b70d066d708f21e6301dfdc7de8d1189dbcc095ebb8c81cb51d7174987","has_concept","Concept"
"매수인이 보통주식 20,000,000주를 매수한다","5314355f73167f160463952eddb6543003984c71416d4b6d14a735c863bf85d6","has_concept","Concept"
"매수인이 보통주식 20,000,000주를 매수한다","09f006a32437fce1bbf7d53a50854e68a54137205467d174d414f4dd747aa59d","has_concept","Concept"
"매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다","0363c4dd82f8842cd2dbb254ea1c68c537eeca63ee00cdd7bd41d1a12add5ee2","has_concept","Concept"
"매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다","9163193398ad78675b6d7a20f05a5775b2764c10f365b33b69c3760cb9d89930","has_concept","Concept"
"매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다","08e948125e2418bb8a4a782a4b3b7359e84a49b100ebbacddb722c8b131c880d","has_concept","Concept"
"매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다","ca869d13a8f2c62f7928ce5849c603a249692182221d055f9a8427cc3b1bf8c1","has_concept","Concept"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","8a251d48799556dc2ecb4453ded5900c4dd7ff852fb075fb47dbab20fa082940","has_concept","Concept"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","2dd15a366bcb9a083dc46ab56fb8a38864cdd3b2ecce1aba6ae5306234ed9efc","has_concept","Concept"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","04fe7da94362ceff02617ca66c9c813eb386c5d6204a5999eaf7ce863d30861c","has_concept","Concept"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","6b586ad1a396a8cca4383eb2d8ec14bbe1621f2378e40ce4d5b5e60f9ab488df","has_concept","Concept"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","77777667910cdc5d51344d2d7aeb359e14129ba7c72bd1fd0eca45b265a107c5","has_concept","Concept"
"대상회사","107cc264f050ef9de08e953d69a6f83042122e474fa9964071205791221cbbf5","has_concept","Concept"
"대상회사","a0c5a9324b5d412590d7a642a922215b15c6f08e0d68834ab2653d21dc1beda5","has_concept","Concept"
"대상회사","6b36029308af579b47c7aa1017622679f015ee40f3abfb9dd60e5817c0957ee2","has_concept","Concept"
"대상회사","f3ba7aef8f0962195d636a2583bb8452c5f5a41d40204e0ccd85d85ef4781c04","has_concept","Concept"
"대상회사","56f180f4df468ffb41fbeb0a5b34ad00548a786ea6c0a1cd6ed42b4e25bc2be1","has_concept","Concept"
"대상회사","fab185f9eed532907db2c338a3f4a814d5d9a0c03a9e857db0c317ee1f56b825","has_concept","Concept"
"대상회사","cefad2324188acf85a2fac5cb1903454c148ea8530e2a94f05a9af5732054daf","has_concept","Concept"
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","40f7d9b70d066d708f21e6301dfdc7de8d1189dbcc095ebb8c81cb51d7174987","has_concept","Concept"
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","9163193398ad78675b6d7a20f05a5775b2764c10f365b33b69c3760cb9d89930","has_concept","Concept"
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","581728741ac9405c0840086db40703a7318d985e9ff6ce59437426e5ae3bb21e","has_concept","Concept"
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","cf243ca0d4860c0c734a114a06a9632d4f8175b16ae7128031b0b7bb838b9e15","has_concept","Concept"
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","7ced0a92d2ae58ab1162ba5f5dee3856597cd4bd8452efbd1e0e2d4c383d8a22","has_concept","Concept"
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.","6cbfc16e3fc78fa621c0629ec85d44b88a3149135ea4a489115a5d2696e559ba","has_concept","Concept"
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.","9163193398ad78675b6d7a20f05a5775b2764c10f365b33b69c3760cb9d89930","has_concept","Concept"
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.","da7de9473012b6d7b993222683fcb51c7b2c8e705f7a94e3b067cb475260718c","has_concept","Concept"
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.","355f5b407e558a8949dcb3d970c2db436b8241102153e505ccfd6881f1b15cdc","has_concept","Concept"
