node,conceptualized_node,node_type
매수인이 1차 대금을 준비한다,"payment preparation, transaction, contract process, financial arrangement, deal progression",event
3차 대금이 지급된다,"payment, transaction, settlement, disbursement, financial event",event
운전자본 조정은 최종 대금 지급 시 정산한다.,"settlement, adjustment, payment, reconciliation, finance",event
전제조건이 더 이상 해당 당사자에게 적용되지 않는다.,"change, exemption, release, update, invalidation, transition",event
매수인은 대금을 지급했다.,"payment, transaction, exchange, fulfillment, obligation",event
추가 하자가 없다,"completion, confirmation, resolution, satisfaction, approval",event
매도인은 그 사항에 대해 책임지지 않는다.,"disclaimer, exemption, liability, contract, agreement",event
감사인이 정기 감사를 수행한다.,"inspection, evaluation, verification, auditing, oversight",event
대상회사의 모든 중요 자산은 양호한 상태로 유지되고 있다.,"maintenance, preservation, asset management, condition assessment, monitoring",event
일방 유리 해석을 금지한다.,"interpretation, fairness, restriction, contract law, neutrality",event
부채는 매도인에게 귀속된다.,"allocation, assignment, obligation, liability, transfer",event
일부 조항이 무효가 된다.,"invalidation, annulment, legal change, amendment, termination",event
손해배상 청구를 서면으로 한다.,"legal claim, compensation, documentation, formal request, litigation",event
1차 매매대금 400억원이 지급된다.,"payment, transaction, settlement, finance, disbursement",event
나머지는 유효하다.,"validity, acceptance, exception, confirmation, approval",event
"주당 매매가격은 5,000원으로 정해진다.","pricing, valuation, determination, transaction, standardization",event
불가항력은 면책된다.,"exemption, liability, force majeure, legal principle, uncontrollable event",event
법령상 요구되는 경우 비밀정보 공개가 예외로 인정된다.,"disclosure, exception, regulation, compliance, confidentiality",event
대상회사가 모든 환경 관련 법규를 준수하고 있다.,"compliance, regulation, legality, responsibility, sustainability",event
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,"agreement, replacement, contract, supersession, legal event",event
"매수인이 보통주식 20,000,000주를 매수한다","transaction, investment, acquisition, trading, ownership",event
분쟁이 대한민국 법률에 따라 해석된다.,"judicial interpretation, legal analysis, dispute resolution, law application, governance",event
운전자본 조정을 정산한다.,"settlement, adjustment, finance, reconciliation, accounting",event
합리적인 가정에 기초한다.,"reasoning, assumption, deduction, inference, logic",event
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.","financial performance, measurement, profitability, evaluation, assessment",event
대상회사가 모든 보험계약을 체결한다.,"contracting, agreement, coverage, assurance, risk management",event
시설은 존재한다.,"existence, presence, infrastructure, availability, establishment",event
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,"agreement, contract, transaction, settlement, commitment",event
