Name,Type
감사 비용,Entity
필요 서류,Entity
최종 대금 지급일로부터 1년간,Entity
자신을 위한 전제조건,Entity
목표 매출액의 90% 이상 달성,Entity
매매주식 전체의 소유권,Entity
대리인 선임자,Entity
1차 대금 지급,Entity
진술보증 사항,Entity
정기 감사,Entity
거래종결 후 6개월간,Entity
모든 중요 문서,Entity
종결 확인서,Entity
1차 대금 지급과 동시에,Entity
확정된 손해배상액,Entity
분담자,Entity
한국채택국제회계기준,Entity
1차 대금,Entity
경영 전환,Entity
권리 불행사,Entity
재무성과,Entity
상호 선의와 신뢰,Entity
777-77-77777,Entity
운전자본,Entity
정당한 사유 없는 거래종결 거부,Entity
비밀정보 공개,Entity
경영권,Entity
순부채,Entity
각 대금 지급 5영업일 전,Entity
제104조,Entity
주당 매매가격,Entity
거래,Entity
일방에게 유리한 해석,Entity
대한민국 법률,Entity
3차 대금 지급 의무자,Entity
매매대금의 30%,Entity
거래종결일,Entity
"₩5,000",Entity
제106조,Entity
3차 대금 지급 완료 전,Entity
기존 직원,Entity
주식 양도 의무,Entity
진술보증 사항의 변경 발생,Entity
서울중앙지방법원,Entity
중요한 소송이나 분쟁,Entity
진행 중인 연구개발,Entity
취득세,Entity
"매출액, 영업이익, EBITDA 등 재무성과",Entity
상대방,Entity
본 거래와 관련하여,Entity
매매주식 매도와 매수에 필요한 제반 사항,Entity
주요 고객과 회사,Entity
1차,Entity
매도인의 진술보증,Entity
각 대금 지급에 필요한 자금,Entity
일부 무효,Entity
400억원,Entity
진술,Entity
중대한 고객 이탈 없음,Entity
주권,Entity
성실 의무,Entity
기업,Entity
보험계약,Entity
3차 대금 지급 의무 소멸,Entity
매수인이 인지한 사항,Entity
거래종결일로부터 180일 후 200억원 (20%),Entity
영업이익,Entity
손해배상 청구,Entity
양호한 상태,Entity
현 상태,Entity
다음 사항이 진실하고 정확함,Entity
통지 후 3영업일 이내,Entity
2차 대금 지급 의무자,Entity
부동산의 임대차계약,Entity
주식 양도,Entity
고용,Entity
운전자본 조정,Entity
본 계약 체결일 및 각 대금 지급일 현재,Entity
모든 중요 자산,Entity
규제 변경 대응,Entity
거래종결 후 사항,Entity
주식회사 에타캐피탈 대표이사,Entity
매매조건,Entity
반환 지연,Entity
손해배상 책임 한도,Entity
합리적인 가정,Entity
적절한 보상한도,Entity
당사자1,Entity
매도인,Entity
서명란,Entity
일부 조항,Entity
이사,Entity
주식회사 에타캐피탈,Entity
완전한 합의,Entity
핵심 임직원,Entity
개인정보보호 관련 법규,Entity
별도,Entity
2차 및 3차 대금 지급 조건,Entity
2차 대금 지급 조건,Entity
주식 즉시 반환,Entity
나머지 조항,Entity
매매대금,Entity
매매주식 전체의 소유권 이전,Entity
경쟁하는 사업,Entity
합의된 장소,Entity
실사 과정에서 공개된 것 외,Entity
영업실적 집계,Entity
중요한 부채,Entity
성실한 이행,Entity
자신의 비용,Entity
대리인,Entity
이행자,Entity
중요 자산,Entity
2차,Entity
2차 대금이 정상 지급되고 추가 하자가 없는 경우,Entity
목표 매출액,Entity
거래종결일까지,Entity
대상회사 관련 정보,Entity
본 계약 체결일로부터 30일 이내,Entity
3차 대금 지급 조건,Entity
매도인 원상회복 요구 가능,Entity
3회,Entity
매출액,Entity
법령상 요구 또는 상대방의 서면 동의,Entity
매수인,Entity
매도인의 주식 양도 의무가 발생한다,Entity
기존 공급계약,Entity
부동산,Entity
지연이자,Entity
제45조에 정한 방법,Entity
회계법인,Entity
제3자,Entity
3차,Entity
연간 1억원 이상의 중요 계약,Entity
연 12% 지연이자,Entity
재무제표,Entity
양도소득세,Entity
우발채무,Entity
본 계약 체결일,Entity
공급망,Entity
계약 당사자들,Entity
1차 대금 지급 의무자,Entity
4대 회계법인,Entity
시너지 실현,Entity
대상회사,Entity
2차 대금 지급,Entity
모든 보험계약,Entity
거래종결일에 400억원 (40%),Entity
일관된 회계 기준,Entity
매매대금 조정,Entity
거래종결 후,Entity
다음 사항,Entity
성과 인센티브,Entity
제공한 모든 정보의 정확성,Entity
조건,Entity
양 당사자,Entity
대한민국의 은행이 정상 영업하는 날,Entity
"₩100,000,000,000",Entity
주주명부 변경,Entity
EBITDA,Entity
서명,Entity
노동 관련 법규,Entity
중대한 진술보증 위반,Entity
거래종결일로부터 90일 후 400억원 (40%),Entity
계약 수정,Entity
거래종결,Entity
제3장,Entity
공동 비용,Entity
권리,Entity
서면 합의,Entity
200억원,Entity
각 1부씩,Entity
재무 정보,Entity
거래종결 후 최소 1년간,Entity
자산,Entity
대금,Entity
모든 법령,Entity
구체적 증빙,Entity
사항,Entity
회사,Entity
미지급 대금,Entity
일방 유리 해석 금지,Entity
주식회사 쎄타파트너스 대표이사,Entity
계약의 일부,Entity
모든 정보,Entity
완전한 거래 완료,Entity
이전의 모든 구두 또는 서면 합의,Entity
진술 및 보증,Entity
시설,Entity
모든 중요한 계약,Entity
노사 분쟁,Entity
계약,Entity
고의적 은폐,Entity
제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,Entity
분쟁,Entity
계좌 정보,Entity
중요한 부정적 변동,Entity
고객,Entity
매매주식 전체,Entity
당사자2,Entity
매수인이 지명한 자,Entity
추가 실사,Entity
거래종결을 거부당한 상대방,Entity
손해배상 책임,Entity
이메일,Entity
통지 후 90영업일 이내,Entity
다른 언어본,Entity
각 대금 지급일,Entity
거래종결 후 발견된 자산,Entity
중요 계약,Entity
사업계획,Entity
한국어본,Entity
전체 거래 무효,Entity
주식회사 쎄타파트너스,Entity
추가 하자,Entity
완전한 경영권,Entity
2025년 1월 1일,Entity
모든 허가,Entity
2차 대금 지급 미이행,Entity
본 계약,Entity
매수인이 실제로 인지한 사항,Entity
90일째 감사보고서,Entity
통지,Entity
제5장,Entity
반영,Entity
모든 라이선스,Entity
원상,Entity
각 대금 지급 전 추가 실사,Entity
주식 반환 의무자,Entity
대한민국의 은행,Entity
기존 브랜드,Entity
지급자,Entity
최종 대금 지급 시,Entity
666-66-66666,Entity
거래종결일로부터 3년간,Entity
등기우편,Entity
보증,Entity
최종 대금 지급,Entity
거래 완료,Entity
주주명부,Entity
당사자,Entity
제110조,Entity
회계 기준,Entity
규제 변경,Entity
감사보고서,Entity
영업실적,Entity
자,Entity
사회적 책임 활동,Entity
서면 동의,Entity
대금 지급,Entity
매수인의 연결재무제표,Entity
권리 포기,Entity
최종 대금 지급일,Entity
처분권한,Entity
감사인,Entity
부채,Entity
원상회복 의무자,Entity
거래종결 전 선언된 배당,Entity
주식회사 아이오타솔루션,Entity
영업비밀,Entity
통상의 영업과정,Entity
불가항력,Entity
모든 조건 충족 시,Entity
모든 세금,Entity
서울특별시,Entity
사기,Entity
계약서,Entity
거래종결 후 발견된 부채,Entity
더 유리한 조건,Entity
비밀정보,Entity
제67조,Entity
진술보증,Entity
2차 대금,Entity
일부,Entity
연구개발,Entity
각 당사자,Entity
거래종결일로부터 90일간 영업실적 확인,Entity
거래종결을 거부한 자,Entity
수령자,Entity
주식매매계약서,Entity
대상회사의 핵심 임직원,Entity
나머지,Entity
제45조,Entity
"대상회사 발행 보통주식 20,000,000주",Entity
조건 충족,Entity
영업일,Entity
기한,Entity
매매주식,Entity
제2장,Entity
주요 고객,Entity
실사 과정,Entity
2차 대금 지급 여부,Entity
주식,Entity
완전한 거래,Entity
888-88-88888,Entity
매수인의 1차 대금 지급 의무,Entity
제51조,Entity
균등,Entity
서울특별시 소재 합의된 장소,Entity
본 계약을 체결하고 이행할 완전한 권한과 능력,Entity
3차 대금,Entity
"담보권, 제한, 부담도 없는 상태",Entity
모든 라이선스와 허가,Entity
하자담보책임,Entity
행정적 사항,Entity
환경 관련 법규,Entity
부록,Entity
본 거래,Entity
공정하지 않은 해석,Entity
운영,Entity
법령,Entity
영업실적 달성,Entity
배당,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
보관자,Entity
별도 성과 인센티브,Entity
자금,Entity
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,Event
감사인은 4대 회계법인 중에서 선정한다.,Event
최종 대금 지급 시 매매대금 조정이 반영된다.,Event
주요 고객과의 계약은 동일 조건으로 유지된다.,Event
2차 및 3차 대금 지급 조건이 충족되어야 완전한 거래가 완료된다.,Event
손해배상액과 미지급 대금을 상계할 수 있다.,Event
대상회사가 보유한 모든 라이선스와 허가는 유효하게 유지되어야 한다.,Event
기존 직원의 고용이 승계된다.,Event
계약이 유효하게 체결된다.,Event
손해배상 금액이 매매대금의 30%를 초과할 수 없다.,Event
서울중앙지방법원이 관할한다.,Event
매도인은 정보를 신속히 제공한다.,Event
거래종결을 정당한 사유 없이 거부한다.,Event
목표 매출액의 90% 이상을 달성한다.,Event
매도인은 자문을 제공한다.,Event
거래종결과 동시에 완전한 경영권이 매수인에게 이전된다.,Event
계약서를 작성한다.,Event
공급망이 안정적으로 유지된다.,Event
대상회사의 모든 중요 자산은 양호한 상태로 유지되고 있다.,Event
연 12%의 지연이자가 부과된다,Event
각 대금 지급이 이루어진다.,Event
매도인인 주식회사 에타캐피탈 대표이사가 서명한다.,Event
거래종결이 본 계약 체결일로부터 30일 이내에 이루어진다.,Event
매도인의 진술보증이 정확하다.,Event
거래종결일로부터 180일 후 200억원(20%)을 지급한다.,Event
영업실적 확인을 위한 감사인은 매도인이 선임한다.,Event
계약서를 각 1부씩 보관한다.,Event
2차 대금이 지급된다.,Event
양 당사자가 거래 완료를 위해 협력한다.,Event
공정하지 않은 해석이 금지된다.,Event
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",Event
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다,Event
계약을 수정하려고 한다.,Event
거래종결일로부터 85일째 영업실적을 집계한다.,Event
매매 계약이 체결된다.,Event
본 계약이 체결된다.,Event
감사인은 4대 회계법인 중에서 선정된다.,Event
실사 과정에서 공개된 것 외에 연간 1억원 이상의 중요 계약은 존재하지 않는다.,Event
더 유리한 조건이 있다.,Event
영업실적은 제45조에 정한 방법으로 확인한다.,Event
제5장이 거래종결 후 사항에 대해 다룬다.,Event
손해배상 책임 한도는 매매대금의 30%로 제한된다.,Event
기업의 사회적 책임 활동이 지속된다.,Event
재무제표는 정확하다.,Event
공정 해석을 해야 한다.,Event
