:START_ID,:END_ID,:TYPE
주식매매계약서가 작성된다.,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식매매계약서,f899ad048b8426415cd4f95bf45ffd6abc9879ebfd0ee779b7799d1a85141a11,Source
주식회사 에타캐피탈,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
계약,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
주식회사 쎄타파트너스,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
주식회사 아이오타솔루션,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
666-66-66666,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
777-77-77777,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
888-88-88888,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
2025년 1월 1일,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
2025년 1월 1일에 계약일자가 정해졌다.,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
계약 당사자가 확정되었다.,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
매도인은 주식회사 에타캐피탈로 지정되었다.,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
매수인은 주식회사 쎄타파트너스로 지정되었다.,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
계약이 성립되었다.,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
대상회사는 주식회사 아이오타솔루션으로 정해졌다.,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,aa86433b7b84b644c9c5d6c460da3e7afe5cb77a22c675ecd8f84fcdc90cd65e,Source
매도인,c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
"대상회사 발행 보통주식 20,000,000주",c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
매매주식,c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
매수인,c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
본 계약,c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
매매주식 매도와 매수에 필요한 제반 사항,c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
"매수인이 보통주식 20,000,000주를 매수한다",c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다,c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
대상회사,c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",c26fefe92d600753a779ff983d0c15e2c783d93d47b0f4264daf8f1e91dcebb0,Source
거래종결일,2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
영업일,2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
대한민국의 은행이 정상 영업하는 날,2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
영업실적,2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
"매출액, 영업이익, EBITDA 등 재무성과",2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
1차 대금 지급과 주식 양도가 이루어진다.,2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
거래종결일이 된다.,2618adeed71a2c9a3874304da9f3e9821d7756edee3e422fbcfa2110c020822a,Source
