:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식매매계약서가 작성된다.,주식매매계약서,is participated by,[],[],Relation
주식회사 에타캐피탈,계약,매도인이다,[],[],Relation
주식회사 쎄타파트너스,계약,매수인이다,[],[],Relation
주식회사 아이오타솔루션,계약,대상회사이다,[],[],Relation
주식회사 에타캐피탈,666-66-66666,사업자등록번호를 가진다,[],[],Relation
주식회사 쎄타파트너스,777-77-77777,사업자등록번호를 가진다,[],[],Relation
주식회사 아이오타솔루션,888-88-88888,사업자등록번호를 가진다,[],[],Relation
계약,2025년 1월 1일,계약일자가 있다,[],[],Relation
2025년 1월 1일에 계약일자가 정해졌다.,계약 당사자가 확정되었다.,이전에,[],[],Relation
매도인은 주식회사 에타캐피탈로 지정되었다.,매수인은 주식회사 쎄타파트너스로 지정되었다.,동시에,[],[],Relation
계약 당사자가 확정되었다.,계약이 성립되었다.,결과로,[],[],Relation
계약이 성립되었다.,대상회사는 주식회사 아이오타솔루션으로 정해졌다.,동시에,[],[],Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,주식회사 에타캐피탈,is participated by,[],[],Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,주식회사 쎄타파트너스,is participated by,[],[],Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,주식회사 아이오타솔루션,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 20,000,000주",보유하다,[],[],Relation
매도인,매매주식,매도하다,[],[],Relation
매수인,매매주식,매수하다,[],[],Relation
본 계약,매매주식 매도와 매수에 필요한 제반 사항,규정하다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","매수인이 보통주식 20,000,000주를 매수한다",이전에,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다,때문에,[],[],Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,[],[],Relation
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,[],[],Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",계약,is participated by,[],[],Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",매도인,is participated by,[],[],Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",대상회사,is participated by,[],[],Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",매수인,is participated by,[],[],Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",매매주식,is participated by,[],[],Relation
거래종결일,제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,의미한다,[],[],Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,[],[],Relation
영업실적,"매출액, 영업이익, EBITDA 등 재무성과",의미한다,[],[],Relation
1차 대금 지급과 주식 양도가 이루어진다.,거래종결일이 된다.,이후,[],[],Relation
거래종결일이 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,거래종결일,is participated by,[],[],Relation
거래종결일이 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,제51조,is participated by,[],[],Relation
거래종결일이 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,1차 대금 지급,is participated by,[],[],Relation
거래종결일이 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,주식 양도,is participated by,[],[],Relation
영업일이 대한민국의 은행이 정상 영업하는 날로 정의된다.,영업일,is participated by,[],[],Relation
영업일이 대한민국의 은행이 정상 영업하는 날로 정의된다.,대한민국의 은행,is participated by,[],[],Relation
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.",영업실적,is participated by,[],[],Relation
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.",매출액,is participated by,[],[],Relation
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.",영업이익,is participated by,[],[],Relation
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.",EBITDA,is participated by,[],[],Relation
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.",재무성과,is participated by,[],[],Relation
양 당사자,본 계약,체결한다,[],[],Relation
양 당사자,본 계약,이행한다,[],[],Relation
양 당사자,상호 선의와 신뢰,협력한다,[],[],Relation
양 당사자가 본 계약을 체결한다.,양 당사자가 본 계약을 이행한다.,이후,[],[],Relation
양 당사자가 선의와 신뢰를 바탕으로 한다.,양 당사자가 성실히 협력한다.,때문에,[],[],Relation
계약 당사자들이 본 계약을 체결한다.,계약 당사자들,is participated by,[],[],Relation
계약 당사자들이 본 계약을 체결한다.,본 계약,is participated by,[],[],Relation
계약 당사자들이 본 계약을 이행한다.,계약 당사자들,is participated by,[],[],Relation
계약 당사자들이 본 계약을 이행한다.,본 계약,is participated by,[],[],Relation
계약 당사자들이 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,계약 당사자들,is participated by,[],[],Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함한다,[],[],Relation
본 계약,이전의 모든 구두 또는 서면 합의,대체한다,[],[],Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,동시에,[],[],Relation
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,이전의 모든 구두 또는 서면 합의가 있었다.,이후,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약,is participated by,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매주식,is participated by,[],[],Relation
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,당사자,is participated by,[],[],Relation
본 계약이 이전의 모든 구두 또는 서면 합의를 대체한다.,본 계약,is participated by,[],[],Relation
본 계약이 이전의 모든 구두 또는 서면 합의를 대체한다.,이전의 모든 구두 또는 서면 합의,is participated by,[],[],Relation
매매주식,"₩100,000,000,000",총 매매가격이 정해진다,[],[],Relation
주당 매매가격,"₩5,000",정해진다,[],[],Relation
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.","주당 매매가격은 금 오천원(₩5,000)으로 한다.",이후,[],[],Relation
"매매주식의 총 매매가격은 1,000억원으로 정해진다.",매매주식,is participated by,[],[],Relation
"주당 매매가격은 5,000원으로 정해진다.",매매주식,is participated by,[],[],Relation
진술,본 계약 체결일,기준일로 삼는다,[],[],Relation
진술,각 대금 지급일,기준일로 삼는다,[],[],Relation
보증,본 계약 체결일,기준일로 삼는다,[],[],Relation
보증,각 대금 지급일,기준일로 삼는다,[],[],Relation
모든 진술과 보증이 본 계약 체결일과 각 대금 지급일을 기준으로 한다,달리 명시되지 않는다,이전,[],[],Relation
모든 진술과 보증은 본 계약 체결일과 각 대금 지급일을 기준으로 한다.,진술,is participated by,[],[],Relation
모든 진술과 보증은 본 계약 체결일과 각 대금 지급일을 기준으로 한다.,보증,is participated by,[],[],Relation
모든 진술과 보증은 본 계약 체결일과 각 대금 지급일을 기준으로 한다.,본 계약 체결일,is participated by,[],[],Relation
모든 진술과 보증은 본 계약 체결일과 각 대금 지급일을 기준으로 한다.,각 대금 지급일,is participated by,[],[],Relation
양 당사자,거래 완료,협력한다,[],[],Relation
양 당사자는 거래 완료를 위해 최선을 다해 협력한다.,거래가 완료된다.,결과로,[],[],Relation
양 당사자가 거래 완료를 위해 협력한다.,양 당사자,is participated by,[],[],Relation
각 당사자,제3자,비밀정보를 공개하지 않는다,[],[],Relation
각 당사자,상대방,비밀정보를 취득한다,[],[],Relation
비밀정보 공개,법령상 요구 또는 상대방의 서면 동의,허용된다,[],[],Relation
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다.,이전,[],[],Relation
법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다.,각 당사자는 상대방의 비밀정보를 제3자에게 공개할 수 있다.,결과로,[],[],Relation
각 당사자가 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,각 당사자,is participated by,[],[],Relation
각 당사자가 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,상대방,is participated by,[],[],Relation
각 당사자가 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,제3자,is participated by,[],[],Relation
각 당사자가 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,비밀정보,is participated by,[],[],Relation
법령상 요구되는 경우 비밀정보 공개가 예외로 인정된다.,법령,is participated by,[],[],Relation
법령상 요구되는 경우 비밀정보 공개가 예외로 인정된다.,비밀정보,is participated by,[],[],Relation
상대방의 서면 동의가 있는 경우 비밀정보 공개가 예외로 인정된다.,상대방,is participated by,[],[],Relation
상대방의 서면 동의가 있는 경우 비밀정보 공개가 예외로 인정된다.,서면 동의,is participated by,[],[],Relation
상대방의 서면 동의가 있는 경우 비밀정보 공개가 예외로 인정된다.,비밀정보,is participated by,[],[],Relation
매매대금,3회,분할 지급한다,[],[],Relation
1차,거래종결일에 400억원 (40%),지급한다,[],[],Relation
2차,거래종결일로부터 90일 후 400억원 (40%),지급한다,[],[],Relation
3차,거래종결일로부터 180일 후 200억원 (20%),지급한다,[],[],Relation
1차 매매대금 400억원을 거래종결일에 지급한다.,2차 매매대금 400억원을 거래종결일로부터 90일 후 지급한다.,이전,[],[],Relation
2차 매매대금 400억원을 거래종결일로부터 90일 후 지급한다.,3차 매매대금 200억원을 거래종결일로부터 180일 후 지급한다.,이전,[],[],Relation
거래종결일이 도래한다.,1차 매매대금 400억원이 지급된다.,결과로,[],[],Relation
거래종결일로부터 90일이 경과한다.,2차 매매대금 400억원이 지급된다.,결과로,[],[],Relation
거래종결일로부터 180일이 경과한다.,3차 매매대금 200억원이 지급된다.,결과로,[],[],Relation
매매대금을 3회에 걸쳐 분할 지급한다.,매매대금,is participated by,[],[],Relation
매매대금을 3회에 걸쳐 분할 지급한다.,지급자,is participated by,[],[],Relation
매매대금을 3회에 걸쳐 분할 지급한다.,수령자,is participated by,[],[],Relation
거래종결일에 400억원(40%)을 지급한다.,거래종결일,is participated by,[],[],Relation
거래종결일에 400억원(40%)을 지급한다.,400억원,is participated by,[],[],Relation
거래종결일에 400억원(40%)을 지급한다.,매매대금,is participated by,[],[],Relation
거래종결일에 400억원(40%)을 지급한다.,지급자,is participated by,[],[],Relation
거래종결일에 400억원(40%)을 지급한다.,수령자,is participated by,[],[],Relation
거래종결일로부터 90일 후 400억원(40%)을 지급한다.,거래종결일,is participated by,[],[],Relation
거래종결일로부터 90일 후 400억원(40%)을 지급한다.,400억원,is participated by,[],[],Relation
거래종결일로부터 90일 후 400억원(40%)을 지급한다.,매매대금,is participated by,[],[],Relation
거래종결일로부터 90일 후 400억원(40%)을 지급한다.,지급자,is participated by,[],[],Relation
거래종결일로부터 90일 후 400억원(40%)을 지급한다.,수령자,is participated by,[],[],Relation
거래종결일로부터 180일 후 200억원(20%)을 지급한다.,거래종결일,is participated by,[],[],Relation
거래종결일로부터 180일 후 200억원(20%)을 지급한다.,200억원,is participated by,[],[],Relation
거래종결일로부터 180일 후 200억원(20%)을 지급한다.,매매대금,is participated by,[],[],Relation
거래종결일로부터 180일 후 200억원(20%)을 지급한다.,지급자,is participated by,[],[],Relation
거래종결일로부터 180일 후 200억원(20%)을 지급한다.,수령자,is participated by,[],[],Relation
계약,대한민국 법률,해석된다,[],[],Relation
본 계약의 해석에 대한 분쟁이 있을 경우,대한민국 법률에 따라 해석한다,이후,[],[],Relation
본 계약의 해석에 대한 분쟁이 있을 경우,대한민국 법률에 따라 해석한다,때문에,[],[],Relation
본 계약의 해석에 대한 분쟁이 발생한다.,본 계약,is participated by,[],[],Relation
분쟁이 대한민국 법률에 따라 해석된다.,분쟁,is participated by,[],[],Relation
분쟁이 대한민국 법률에 따라 해석된다.,대한민국 법률,is participated by,[],[],Relation
매도인은 매수인에게 특정 물품을 판매한다.,매수인은 매도인에게 대금을 지급한다.,이후,[],[],Relation
매매 조건에 대해 양 당사자가 합의한다.,매매 계약이 체결된다.,이전,[],[],Relation
매수인이 대금을 지급한다.,매도인은 물품을 인도한다.,결과로,[],[],Relation
제2장 매매조건이 언급된다.,제2장,is participated by,[],[],Relation
제2장 매매조건이 언급된다.,매매조건,is participated by,[],[],Relation
1차 대금 지급,매매주식 전체의 소유권 이전,과 동시에 발생한다,[],[],Relation
매매주식 전체의 소유권,매수인,이전된다,[],[],Relation
2차 및 3차 대금 지급 조건,완전한 거래 완료,충족되어야 한다,[],[],Relation
1차 대금 지급이 이루어진다.,매매주식 전체의 소유권이 매수인에게 이전된다.,동시에,[],[],Relation
2차 및 3차 대금 지급 조건이 충족된다.,완전한 거래가 완료된다.,결과로,[],[],Relation
1차 대금 지급과 동시에 매매주식 전체의 소유권이 매수인에게 이전된다.,1차 대금,is participated by,[],[],Relation
1차 대금 지급과 동시에 매매주식 전체의 소유권이 매수인에게 이전된다.,매매주식 전체,is participated by,[],[],Relation
1차 대금 지급과 동시에 매매주식 전체의 소유권이 매수인에게 이전된다.,매수인,is participated by,[],[],Relation
2차 및 3차 대금 지급 조건이 충족되어야 완전한 거래가 완료된다.,2차 대금 지급 조건,is participated by,[],[],Relation
2차 및 3차 대금 지급 조건이 충족되어야 완전한 거래가 완료된다.,3차 대금 지급 조건,is participated by,[],[],Relation
2차 및 3차 대금 지급 조건이 충족되어야 완전한 거래가 완료된다.,완전한 거래,is participated by,[],[],Relation
매수인,추가 실사,수행할 수 있다,[],[],Relation
매수인,각 대금 지급 전 추가 실사,수행할 수 있다,[],[],Relation
매수인은 각 대금 지급 전 추가 실사를 수행할 수 있다.,대금을 지급한다.,이전,[],[],Relation
매수인은 각 대금 지급 전에 추가 실사를 수행할 수 있다.,매수인,is participated by,[],[],Relation
운전자본,매매대금 조정,변동에 따라,[],[],Relation
순부채,매매대금 조정,변동에 따라,[],[],Relation
매매대금 조정,반영,최종 대금 지급 시,[],[],Relation
"운전자본, 순부채 등의 변동이 발생한다.",최종 대금 지급 시 매매대금이 조정된다.,이후,[],[],Relation
"운전자본, 순부채 등의 변동이 발생한다.",매매대금 조정이 이루어진다.,때문에,[],[],Relation
운전자본과 순부채 등의 변동에 따라 매매대금을 조정한다.,운전자본,is participated by,[],[],Relation
운전자본과 순부채 등의 변동에 따라 매매대금을 조정한다.,순부채,is participated by,[],[],Relation
운전자본과 순부채 등의 변동에 따라 매매대금을 조정한다.,매매대금,is participated by,[],[],Relation
최종 대금 지급 시 매매대금 조정이 반영된다.,최종 대금 지급,is participated by,[],[],Relation
최종 대금 지급 시 매매대금 조정이 반영된다.,매매대금 조정,is participated by,[],[],Relation
매매주식,"담보권, 제한, 부담도 없는 상태",양도되어야 한다,[],[],Relation
"매매주식은 어떠한 담보권, 제한, 부담도 없는 상태이다.",주식이 양도된다.,결과로,[],[],Relation
"매매주식은 담보권, 제한, 부담도 없는 상태로 양도되어야 한다.",매매주식,is participated by,[],[],Relation
매수인,매매주식,처분할 수 없다,[],[],Relation
매수인,3차 대금 지급 완료 전,처분 제한 대상이다,[],[],Relation
매매주식,제3자,처분 대상이다,[],[],Relation
매수인은 3차 대금 지급을 완료한다.,매수인은 매매주식을 제3자에게 처분할 수 있다.,이후,[],[],Relation
매수인은 3차 대금 지급을 완료하지 않았다.,매수인은 매매주식을 제3자에게 처분할 수 없다.,때문에,[],[],Relation
매수인은 3차 대금 지급 완료 전까지 매매주식을 제3자에게 처분할 수 없다.,매수인,is participated by,[],[],Relation
매수인은 3차 대금 지급 완료 전까지 매매주식을 제3자에게 처분할 수 없다.,매매주식,is participated by,[],[],Relation
매수인은 3차 대금 지급 완료 전까지 매매주식을 제3자에게 처분할 수 없다.,제3자,is participated by,[],[],Relation
매도인,대상회사,경쟁하는 사업을 영위하지 않는다,[],[],Relation
경쟁하는 사업,거래종결일로부터 3년간,금지 기간이다,[],[],Relation
거래종결일이 발생한다.,매도인은 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,이후,[],[],Relation
거래종결일이 발생한다.,매도인은 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,결과로,[],[],Relation
매도인은 거래종결일로부터 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,매도인,is participated by,[],[],Relation
매도인은 거래종결일로부터 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,대상회사,is participated by,[],[],Relation
대상회사의 핵심 임직원,거래종결 후 최소 1년간,근무를 유지한다,[],[],Relation
거래가 종결된다.,대상회사의 핵심 임직원이 최소 1년간 근무를 유지한다.,이후,[],[],Relation
대상회사의 핵심 임직원이 거래종결 후 최소 1년간 근무를 유지한다.,대상회사,is participated by,[],[],Relation
대상회사의 핵심 임직원이 거래종결 후 최소 1년간 근무를 유지한다.,핵심 임직원,is participated by,[],[],Relation
주요 고객,회사,계약을 맺는다,[],[],Relation
계약,주요 고객과 회사,동일 조건으로 유지된다,[],[],Relation
주요 고객과의 계약은 동일 조건으로 유지된다.,고객이 보호된다.,결과로,[],[],Relation
주요 고객과의 계약이 동일 조건으로 유지된다.,주요 고객,is participated by,[],[],Relation
대상회사,모든 라이선스와 허가,보유하다,[],[],Relation
대상회사가 보유한 모든 라이선스와 허가는 유효하게 유지되어야 한다.,대상회사가 라이선스와 허가를 상실하지 않는다.,결과로,[],[],Relation
대상회사가 보유한 모든 라이선스와 허가는 유효하게 유지되어야 한다.,대상회사,is participated by,[],[],Relation
대상회사가 보유한 모든 라이선스와 허가는 유효하게 유지되어야 한다.,모든 라이선스,is participated by,[],[],Relation
대상회사가 보유한 모든 라이선스와 허가는 유효하게 유지되어야 한다.,모든 허가,is participated by,[],[],Relation
대상회사,모든 보험계약,유지하고 있다,[],[],Relation
모든 보험계약,적절한 보상한도,가지고 있다,[],[],Relation
대상회사가 모든 보험계약을 체결한다.,보험계약의 보상한도가 적절하게 유지된다.,결과로,[],[],Relation
대상회사의 모든 보험계약은 적절한 보상한도를 유지하고 있다.,대상회사,is participated by,[],[],Relation
대상회사의 모든 보험계약은 적절한 보상한도를 유지하고 있다.,보험계약,is participated by,[],[],Relation
대상회사,부동산,사용하다,[],[],Relation
부동산의 임대차계약,부동산,정상적이고 유효하다,[],[],Relation
대상회사가 사용하는 부동산의 임대차계약은 정상적이다.,대상회사가 사용하는 부동산의 임대차계약은 유효하다.,동시에,[],[],Relation
대상회사가 사용하는 부동산의 임대차계약은 정상적이다.,대상회사,is participated by,[],[],Relation
대상회사가 사용하는 부동산의 임대차계약은 정상적이다.,부동산,is participated by,[],[],Relation
대상회사가 사용하는 부동산의 임대차계약은 유효하다.,대상회사,is participated by,[],[],Relation
대상회사가 사용하는 부동산의 임대차계약은 유효하다.,부동산,is participated by,[],[],Relation
2차 대금,모든 조건 충족 시,지급된다,[],[],Relation
조건,거래종결일로부터 90일간 영업실적 확인,포함한다,[],[],Relation
조건,목표 매출액의 90% 이상 달성,포함한다,[],[],Relation
조건,중대한 고객 이탈 없음,포함한다,[],[],Relation
영업실적,제45조에 정한 방법,확인된다,[],[],Relation
거래종결일이 발생한다.,90일간의 영업실적 확인이 이루어진다.,이후,[],[],Relation
90일간의 영업실적 확인이 이루어진다.,영업실적이 제45조에 정한 방법으로 확인된다.,이후,[],[],Relation
목표 매출액의 90% 이상을 달성한다.,중대한 고객 이탈이 없다.,동시에,[],[],Relation
90일간의 영업실적 확인이 이루어진다.,목표 매출액의 90% 이상을 달성한다.,동시에,[],[],Relation
90일간의 영업실적 확인이 이루어진다.,중대한 고객 이탈이 없다.,동시에,[],[],Relation
"90일간의 영업실적 확인이 이루어지고, 목표 매출액의 90% 이상을 달성하고, 중대한 고객 이탈이 없다.",2차 대금이 지급된다.,결과로,[],[],Relation
"2차 대금은 거래종결일로부터 90일간의 영업실적 확인, 목표 매출액의 90% 이상 달성, 중대한 고객 이탈 없음의 조건이 모두 충족된 경우에만 지급된다.",2차 대금,is participated by,[],[],Relation
