:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다.,주식매매계약서,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],0,Relation
주식회사 에타캐피탈,계약,매도인이다,"['dispose of', 'sell', 'vendor role', 'provide goods', 'transfer ownership']",[],1,Relation
주식회사 쎄타파트너스,계약,매수인이다,"['take ownership', 'acquire', 'purchase', 'receive', 'obtain']",[],2,Relation
주식회사 아이오타솔루션,계약,대상회사이다,"['entity', 'target', 'focus', 'object', 'subject']",[],3,Relation
주식회사 에타캐피탈,666-66-66666,사업자등록번호를 가진다,"['obtain permit', 'possess registration', 'own identifier', 'hold license', 'have certification']",[],4,Relation
주식회사 쎄타파트너스,777-77-77777,사업자등록번호를 가진다,"['obtain permit', 'possess registration', 'own identifier', 'hold license', 'have certification']",[],5,Relation
주식회사 아이오타솔루션,888-88-88888,사업자등록번호를 가진다,"['obtain permit', 'possess registration', 'own identifier', 'hold license', 'have certification']",[],6,Relation
계약,2025년 1월 1일,계약일자가 있다,"['possess agreement', 'contractual status', 'hold contract date', 'have contract']",[],7,Relation
2025년 1월 1일에 계약일자가 정해졌다.,계약 당사자가 확정되었다.,이전에,"['precedence', 'prior time', 'antecedence', 'former state', 'earlier occurrence']",[],8,Relation
매도인은 주식회사 에타캐피탈로 지정되었다.,매수인은 주식회사 쎄타파트너스로 지정되었다.,동시에,"['concurrently', 'simultaneously', 'at the same time', 'synchronously']",[],9,Relation
계약 당사자가 확정되었다.,계약이 성립되었다.,결과로,"['bring about', 'produce', 'lead to', 'result from', 'cause']",[],10,Relation
계약이 성립되었다.,대상회사는 주식회사 아이오타솔루션으로 정해졌다.,동시에,"['concurrently', 'simultaneously', 'at the same time', 'synchronously']",[],11,Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,주식회사 에타캐피탈,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],12,Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,주식회사 쎄타파트너스,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],13,Relation
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,주식회사 아이오타솔루션,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],14,Relation
매도인,"대상회사 발행 보통주식 20,000,000주",보유하다,"['소유', '유지', '소지', '가지고 있다', '점유']",[],15,Relation
매도인,매매주식,매도하다,"['relinquish', 'divest', 'dispose of', 'sell', 'transfer ownership']",[],16,Relation
매수인,매매주식,매수하다,"['purchase', 'obtain', 'acquire', 'buy']",[],17,Relation
본 계약,매매주식 매도와 매수에 필요한 제반 사항,규정하다,"['prescribe', 'set rules', 'define', 'establish', 'stipulate']",[],18,Relation
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","매수인이 보통주식 20,000,000주를 매수한다",이전에,"['precedence', 'prior time', 'antecedence', 'former state', 'earlier occurrence']",[],19,Relation
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다,때문에,"['due to', 'owing to', 'result from', 'cause', 'reason']",[],20,Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],21,Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],22,Relation
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],23,Relation
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",매수인,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],24,Relation
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",대상회사,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],25,Relation
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",매도인,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],26,Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",계약,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],27,Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",매도인,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],28,Relation
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",대상회사,is participated by,"['be attended by', 'attract participation', 'be taken part in', 'receive involvement', 'be engaged in']",[],29,Relation
