name:ID,type,concepts,synsets,:LABEL
주식매매계약서가 작성된다.,event,[],[],Node
주식매매계약서,entity,[],[],Node
주식회사 에타캐피탈,entity,[],[],Node
계약,entity,[],[],Node
주식회사 쎄타파트너스,entity,[],[],Node
주식회사 아이오타솔루션,entity,[],[],Node
666-66-66666,entity,[],[],Node
777-77-77777,entity,[],[],Node
888-88-88888,entity,[],[],Node
2025년 1월 1일,entity,[],[],Node
2025년 1월 1일에 계약일자가 정해졌다.,event,[],[],Node
계약 당사자가 확정되었다.,event,[],[],Node
매도인은 주식회사 에타캐피탈로 지정되었다.,event,[],[],Node
매수인은 주식회사 쎄타파트너스로 지정되었다.,event,[],[],Node
계약이 성립되었다.,event,[],[],Node
대상회사는 주식회사 아이오타솔루션으로 정해졌다.,event,[],[],Node
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,event,[],[],Node
매도인,entity,[],[],Node
"대상회사 발행 보통주식 20,000,000주",entity,[],[],Node
매매주식,entity,[],[],Node
매수인,entity,[],[],Node
본 계약,entity,[],[],Node
매매주식 매도와 매수에 필요한 제반 사항,entity,[],[],Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",event,[],[],Node
"매수인이 보통주식 20,000,000주를 매수한다",event,[],[],Node
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다,event,[],[],Node
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",event,[],[],Node
대상회사,entity,[],[],Node
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",event,[],[],Node
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",event,[],[],Node
거래종결일,entity,[],[],Node
제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,entity,[],[],Node
영업일,entity,[],[],Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],Node
영업실적,entity,[],[],Node
"매출액, 영업이익, EBITDA 등 재무성과",entity,[],[],Node
1차 대금 지급과 주식 양도가 이루어진다.,event,[],[],Node
거래종결일이 된다.,event,[],[],Node
거래종결일이 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,event,[],[],Node
제51조,entity,[],[],Node
1차 대금 지급,entity,[],[],Node
주식 양도,entity,[],[],Node
영업일이 대한민국의 은행이 정상 영업하는 날로 정의된다.,event,[],[],Node
대한민국의 은행,entity,[],[],Node
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.",event,[],[],Node
매출액,entity,[],[],Node
영업이익,entity,[],[],Node
EBITDA,entity,[],[],Node
재무성과,entity,[],[],Node
양 당사자,entity,[],[],Node
상호 선의와 신뢰,entity,[],[],Node
양 당사자가 본 계약을 체결한다.,event,[],[],Node
양 당사자가 본 계약을 이행한다.,event,[],[],Node
양 당사자가 선의와 신뢰를 바탕으로 한다.,event,[],[],Node
양 당사자가 성실히 협력한다.,event,[],[],Node
계약 당사자들이 본 계약을 체결한다.,event,[],[],Node
계약 당사자들,entity,[],[],Node
계약 당사자들이 본 계약을 이행한다.,event,[],[],Node
계약 당사자들이 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],Node
이전의 모든 구두 또는 서면 합의,entity,[],[],Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],Node
이전의 모든 구두 또는 서면 합의가 있었다.,event,[],[],Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],Node
