name:ID,type,concepts,synsets,numeric_id,:LABEL
주식매매계약서가 작성된다.,event,[],[],0,Node
주식매매계약서,entity,[],[],1,Node
주식회사 에타캐피탈,entity,[],[],2,Node
계약,entity,[],[],3,Node
주식회사 쎄타파트너스,entity,[],[],4,Node
주식회사 아이오타솔루션,entity,[],[],5,Node
666-66-66666,entity,[],[],6,Node
777-77-77777,entity,[],[],7,Node
888-88-88888,entity,[],[],8,Node
2025년 1월 1일,entity,[],[],9,Node
2025년 1월 1일에 계약일자가 정해졌다.,event,[],[],10,Node
계약 당사자가 확정되었다.,event,[],[],11,Node
매도인은 주식회사 에타캐피탈로 지정되었다.,event,[],[],12,Node
매수인은 주식회사 쎄타파트너스로 지정되었다.,event,[],[],13,Node
계약이 성립되었다.,event,[],[],14,Node
대상회사는 주식회사 아이오타솔루션으로 정해졌다.,event,[],[],15,Node
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 주식회사 아이오타솔루션을 대상으로 계약을 체결한다.,event,[],[],16,Node
매도인,entity,[],[],17,Node
"대상회사 발행 보통주식 20,000,000주",entity,[],[],18,Node
매매주식,entity,[],[],19,Node
매수인,entity,[],[],20,Node
본 계약,entity,[],[],21,Node
매매주식 매도와 매수에 필요한 제반 사항,entity,[],[],22,Node
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다",event,[],[],23,Node
"매수인이 보통주식 20,000,000주를 매수한다",event,[],[],24,Node
매수인이 이를 매수함에 있어 필요한 제반 사항을 규정한다,event,[],[],25,Node
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.",event,[],[],26,Node
대상회사,entity,[],[],27,Node
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.",event,[],[],28,Node
"계약은 매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고, 매수인이 매매주식을 매수함에 있어 필요한 사항을 규정한다.",event,[],[],29,Node
거래종결일,entity,[],[],30,Node
제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날,entity,[],[],31,Node
영업일,entity,[],[],32,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],33,Node
영업실적,entity,[],[],34,Node
"매출액, 영업이익, EBITDA 등 재무성과",entity,[],[],35,Node
1차 대금 지급과 주식 양도가 이루어진다.,event,[],[],36,Node
거래종결일이 된다.,event,[],[],37,Node
거래종결일이 제51조에 따라 1차 대금 지급과 주식 양도가 이루어지는 날로 정의된다.,event,[],[],38,Node
제51조,entity,[],[],39,Node
1차 대금 지급,entity,[],[],40,Node
주식 양도,entity,[],[],41,Node
영업일이 대한민국의 은행이 정상 영업하는 날로 정의된다.,event,[],[],42,Node
대한민국의 은행,entity,[],[],43,Node
"영업실적이 매출액, 영업이익, EBITDA 등 재무성과를 의미하는 것으로 정의된다.",event,[],[],44,Node
매출액,entity,[],[],45,Node
영업이익,entity,[],[],46,Node
EBITDA,entity,[],[],47,Node
재무성과,entity,[],[],48,Node
양 당사자,entity,[],[],49,Node
상호 선의와 신뢰,entity,[],[],50,Node
양 당사자가 본 계약을 체결한다.,event,[],[],51,Node
양 당사자가 본 계약을 이행한다.,event,[],[],52,Node
양 당사자가 선의와 신뢰를 바탕으로 한다.,event,[],[],53,Node
양 당사자가 성실히 협력한다.,event,[],[],54,Node
계약 당사자들이 본 계약을 체결한다.,event,[],[],55,Node
계약 당사자들,entity,[],[],56,Node
계약 당사자들이 본 계약을 이행한다.,event,[],[],57,Node
계약 당사자들이 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,event,[],[],58,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],59,Node
이전의 모든 구두 또는 서면 합의,entity,[],[],60,Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],61,Node
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],62,Node
이전의 모든 구두 또는 서면 합의가 있었다.,event,[],[],63,Node
본 계약이 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],64,Node
당사자,entity,[],[],65,Node
본 계약이 이전의 모든 구두 또는 서면 합의를 대체한다.,event,[],[],66,Node
"₩100,000,000,000",entity,[],[],67,Node
주당 매매가격,entity,[],[],68,Node
"₩5,000",entity,[],[],69,Node
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.",event,[],[],70,Node
"주당 매매가격은 금 오천원(₩5,000)으로 한다.",event,[],[],71,Node
"매매주식의 총 매매가격은 1,000억원으로 정해진다.",event,[],[],72,Node
