":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"매수인이 주식을 매수하기로 한다.","매도인이 주식을 매도하기로 한다.","이후","['subsequent to', 'later than', 'following', 'after']","[]","Relation"
"계약 당사자들이 계약서에 서명한다.","주식의 소유권이 이전된다.","이후","['subsequent to', 'later than', 'following', 'after']","[]","Relation"
"매수인이 대금을 지급한다.","매도인이 주식을 이전한다.","결과로","['lead to', 'give rise to', 'bring about', 'cause', 'result in', 'produce']","[]","Relation"
"계약 조건이 모두 충족된다.","주식 거래가 완료된다.","때문에","['cause', 'as a consequence of', 'reason for', 'due to', 'result from']","[]","Relation"
"주식 거래가 완료된다.","계약이 종료된다.","이후","['subsequent to', 'later than', 'following', 'after']","[]","Relation"
"주식매매계약서가 작성된다.","주식매매계약서","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"주식회사 에타캐피탈","주식회사 쎄타파트너스","계약 체결","['establish deal', 'make contract', 'agreement', 'sign document', 'form partnership']","[]","Relation"
"주식회사 에타캐피탈","주식회사 아이오타솔루션","매도인","['vendor', 'seller', 'transferor', 'provider', 'disposer']","[]","Relation"
"주식회사 쎄타파트너스","주식회사 아이오타솔루션","매수인","['acquiring party', 'customer', 'purchaser', 'buyer', 'recipient']","[]","Relation"
"계약일자","2025년 1월 1일","설정","['define', 'arrange', 'set up', 'organize', 'establish', 'configure']","[]","Relation"
"2025년 1월 1일에 계약이 체결된다.","계약 당사자가 확정된다.","이후","['subsequent to', 'later than', 'following', 'after']","[]","Relation"
"주식회사 에타캐피탈이 매도인으로 지정된다.","주식회사 쎄타파트너스가 매수인으로 지정된다.","동시에","['concurrently', 'at the same time', 'in parallel', 'simultaneously']","[]","Relation"
"계약 당사자가 확정된다.","대상회사가 주식회사 아이오타솔루션으로 지정된다.","동시에","['concurrently', 'at the same time', 'in parallel', 'simultaneously']","[]","Relation"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.","주식회사 에타캐피탈","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.","주식회사 쎄타파트너스","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"주식회사 에타캐피탈이 주식회사 아이오타솔루션의 주식을 매도한다.","주식회사 에타캐피탈","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"주식회사 에타캐피탈이 주식회사 아이오타솔루션의 주식을 매도한다.","주식회사 아이오타솔루션","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 주식을 매수한다.","주식회사 쎄타파트너스","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"주식회사 쎄타파트너스가 주식회사 아이오타솔루션의 주식을 매수한다.","주식회사 아이오타솔루션","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"제1장 총칙이 문서의 시작 부분에 제시된다.","제1장 총칙","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"제1장 총칙이 문서의 시작 부분에 제시된다.","문서","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"매도인","대상회사 발행 보통주식 20,000,000주","보유하다","['possess', 'have', 'own', 'hold', 'retain']","[]","Relation"
"매도인","매매주식","매도하다","['transfer ownership', 'relinquish', 'dispose of', 'trade away', 'sell']","[]","Relation"
"매수인","매매주식","매수하다","['buy', 'procure', 'acquire', 'obtain', 'purchase']","[]","Relation"
"본 계약","매수, 매도에 필요한 제반 사항","규정하다","['define', 'prescribe', 'set rules', 'stipulate', 'determine']","[]","Relation"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다","매수인이 이를 매수한다","동시에","['concurrently', 'at the same time', 'in parallel', 'simultaneously']","[]","Relation"
"매도인이 보유한 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도하고 매수인이 이를 매수한다","본 계약이 필요한 제반 사항을 규정한다","결과로","['lead to', 'give rise to', 'bring about', 'cause', 'result in', 'produce']","[]","Relation"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","매도인","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","대상회사","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","보통주식 20,000,000주","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","매수인","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","매수인","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","대상회사","is participated by","['be engaged by', 'be joined by', 'be attended by', 'be taken part by', 'be involved by']","[]","Relation"
