node,conceptualized_node,node_type
중대한 진술보증 위반이 발생한다.,"위반, 책임, 분쟁, 계약, 손해",event
직원의 고용이 승계된다.,"employment, succession, transition, continuity, workforce change",event
최종 대금 지급 시 매매대금 조정이 반영된다.,"payment adjustment, settlement, transaction, financial arrangement, compensation",event
취득세를 매수인이 부담한다.,"taxation, transaction, obligation, payment, responsibility",event
시너지가 실현된다.,"cooperation, synergy, collaboration, improvement, integration",event
한국어본이 우선한다.,"priority, preference, selection, decision, dominance",event
합의된 장소가 결정된다.,"agreement, decision, arrangement, coordination, consensus",event
모든 중요 문서가 매수인에게 인도된다.,"document delivery, transfer, transaction, handover, exchange",event
대상회사는 사업과 관련된 모든 법령을 준수하고 있다.,"compliance, regulation, legality, governance, conformity",event
운전자본 조정이 이루어진다.,"adjustment, management, optimization, allocation, finance",event
매도인이 주식을 매도하기로 한다.,"transaction, agreement, sale, transfer, commitment",event
정기 감사인이 정기 감사를 수행한다.,"inspection, evaluation, verification, oversight, auditing",event
공정 해석이 이루어진다.,"judging, interpretation, analysis, evaluation, decision-making",event
회계법인은 제67조에 따라 선정된다.,"selection, regulation, compliance, governance, appointment",event
최종 대금 지급일이 도래한다,"payment, deadline, settlement, obligation, transaction",event
확정된 손해배상액은 미지급 대금과 상계된다.,"compensation, offset, settlement, legal adjustment, debt resolution",event
연 12%의 지연이자가 부과된다.,"penalty, interest, surcharge, debt, finance",event
계약이 동일 조건으로 유지된다.,"continuation, renewal, agreement, status quo, consistency",event
다음 사항이 진실하고 정확하다,"verification, affirmation, confirmation, truth, accuracy",event
"매매주식의 총 매매가격을 금 일천억원(₩100,000,000,000)으로 정한다.","contract, transaction, agreement, valuation, negotiation, finance",event
양 당사자가 원상회복 시 신속히 원상태로 복구한다.,"restoration, recovery, agreement, repair, restitution",event
매수인은 각 대금 지급 전 추가 실사를 수행할 수 있다.,"due diligence, verification, inspection, assessment, transaction review",event
매도인은 거래종결일로부터 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,"non-compete, restriction, business regulation, contractual obligation, competition prevention",event
거래가 종결된다.,"completion, closure, agreement, settlement, finalization",event
"매도인이 대상회사 발행 보통주식 20,000,000주를 매수인에게 매도한다.","transaction, transfer, acquisition, sale, ownership change",event
공동 비용을 균등 분담한다.,"cost sharing, cooperation, fairness, equality, distribution",event
규제가 변경된다.,"policy change, regulation, adjustment, governance, modification",event
2차 및 3차 대금 지급 조건이 충족되어야 완전한 거래가 완료된다.,"payment, transaction, fulfillment, agreement, condition",event
매수인은 본 계약을 이행할 완전한 권한과 능력을 보유한다.,"authorization, qualification, competence, legal power, capacity",event
성실 의무를 성실히 이행한다.,"duty, responsibility, obligation, fulfillment, integrity",event
달리 명시되지 않은 경우 본 계약 체결일과 각 대금 지급일이 기준일로 적용된다.,"agreement, contract, payment, regulation, arrangement",event
감사 비용은 대상회사가 부담한다.,"cost allocation, responsibility, payment, obligation, financial arrangement",event
2차 대금이 정상 지급된다,"payment, transaction, fulfillment, settlement, finance",event
자산의 관리와 보수가 적절하게 이루어졌다.,"maintenance, management, preservation, upkeep, stewardship",event
매도인은 매매주식에 대한 처분권한을 가진다.,"authority, ownership, control, transfer, rights",event
매수인은 매매주식을 제3자에게 처분할 수 없다.,"restriction, limitation, prohibition, regulation, transfer",event
주식회사 쎄타파트너스의 대표이사가 서명한다.,"authorization, endorsement, leadership, responsibility, approval",event
"매수인이 대상회사 발행 보통주식 20,000,000주를 매도인으로부터 매수한다.","acquisition, transaction, investment, ownership transfer, share purchase",event
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,"agreement, contract, negotiation, transaction, commitment, understanding",event
매수인이 감사인을 선임한다.,"appointment, authorization, decision-making, selection, delegation",event
각 당사자가 본 거래와 관련하여 발생한 자신의 비용을 부담한다.,"cost allocation, responsibility, self-payment, expense division, obligation",event
매수인이 어떤 사항을 인지한다,"awareness, realization, recognition, understanding, cognition",event
계약 당사자가 확정된다.,"agreement, confirmation, designation, identification, legal process",event
각 당사자는 즉시 통지한다.,"notification, communication, information exchange, alerting, reporting",event
양도소득세를 매도인이 부담한다.,"taxation, liability, seller obligation, transaction, financial responsibility",event
"주당 매매가격을 금 오천원(₩5,000)으로 정한다.","pricing, valuation, transaction, agreement, negotiation",event
1차 대금이 지급된다.,"payment, transaction, settlement, financial event, compensation",event
법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다.,"exception, permission, regulation, consent, compliance",event
구성원들은 별도 성과 인센티브를 받지 못한다.,"compensation, rewards, motivation, dissatisfaction, performance",event
매도인이 진술보증을 한다,"representation, assurance, confirmation, disclosure, agreement",event
부록이 계약의 일부가 된다.,"agreement, inclusion, attachment, contract, documentation",event
계약이 종료된다.,"termination, expiration, agreement, conclusion, dissolution",event
감사인은 4대 회계법인 중에서 선정된다.,"selection, appointment, auditing, evaluation, corporate governance",event
1차로 거래종결일에 400억원(40%)을 지급한다.,"payment, transaction, settlement, agreement, finance",event
매도인은 각 대금 지급 5영업일 전 계좌 정보를 통지한다.,"notification, payment, transaction, communication, instruction",event
거래종결일로부터 85일째 영업실적을 집계한다.,"measurement, calculation, tracking, reporting, performance analysis, business monitoring",event
부동산을 매도한다,"transaction, liquidation, transfer, investment, divestment",event
보상을 받기 위한 절차가 진행된다.,"compensation, procedure, processing, claim, reward, approval",event
매도인은 진술과 보증을 한다,"assurance, declaration, confirmation, agreement, transaction",event
제공된 정보가 정확하다.,"accuracy, correctness, validation, reliability, verification",event
정당한 사유 없이 거래종결을 거부했다.,"contract breach, refusal, noncompliance, dispute, unfair practice",event
각 당사자가 자신을 위한 전제조건을 포기할 수 있다.,"compromise, negotiation, concession, flexibility, agreement",event
감사인이 정기 감사를 수행한다.,"inspection, evaluation, verification, oversight, assessment",event
손해배상을 청구할 수 있다.,"compensation, legal action, dispute, restitution, claim",event
매수인은 본 계약을 체결할 완전한 권한과 능력을 보유한다.,"authorization, contracting, agreement, legal capacity, transaction",event
거래종결일이 발생한다.,"completion, settlement, transaction, finalization, closure",event
감사인이 선임된다.,"appointment, designation, assignment, authorization, oversight",event
대상회사가 모든 법령을 준수하고 있다.,"compliance, legality, regulation, conformity, governance",event
서울중앙지방법원에서 사건이 처리된다.,"judicial process, legal proceeding, case handling, dispute resolution, decision making",event
재무제표에 기재된 것 외에 대상회사의 중요한 부채나 우발채무가 존재하지 않는다.,"disclosure, assurance, verification, liability, transparency",event
90일간의 영업실적 확인이 진행된다,"evaluation, assessment, review, analysis, monitoring",event
별도 성과 인센티브는 존재하지 않는다.,"absence, restriction, limitation, regulation, policy",event
각 당사자는 자신을 위한 전제조건을 포기할 수 있다.,"negotiation, compromise, concession, agreement, flexibility",event
최종 대금 지급 시점이 도래한다.,"payment, settlement, completion, transaction, deadline",event
양 당사자는 영업비밀을 보호한다.,"confidentiality, protection, agreement, secrecy, compliance",event
실사 과정에서 계약들이 공개되었다.,"disclosure, transparency, verification, inspection, audit, agreement",event
권리 불포기가 아니다.,"assertion, denial, clarification, statement",event
주식회사 에타캐피탈과 주식회사 쎄타파트너스가 2025년 1월 1일에 계약을 체결한다.,"agreement, partnership, contract, collaboration, business deal",event
부동산을 매수한다,"investment, transaction, acquisition, asset management, ownership",event
3차 대금 지급 의무도 자동 소멸한다.,"obligation, payment, termination, contract, discharge",event
2025년 1월 1일이 도래한다.,"time, arrival, transition, beginning, anticipation",event
주식은 통지 후 3영업일 이내에 반환된다.,"notification, deadline, transaction, return, compliance",event
환경 관련 법규가 존재한다.,"regulation, protection, governance, sustainability, policy",event
매도인은 3년간 대상회사와 경쟁하는 사업을 영위하지 않는다.,"restriction, non-compete, agreement, prohibition, contract",event
성실 의무가 규정된다.,"regulation, obligation, duty, responsibility, compliance",event
영업실적이 확인된다,"measurement, evaluation, confirmation, reporting, verification",event
매도인은 계좌 정보를 통지한다.,"notification, communication, information exchange, transaction, banking",event
매수인은 대금을 지급했다.,"payment, transaction, exchange, fulfillment, obligation",event
매도인이 양도소득세를 부담한다,"taxation, liability, transaction, obligation, property transfer",event
매수인이 규제 변경에 대응한다.,"대응, 적응, 변화, 전략, 조정",event
주요 고객과의 계약이 체결된다.,"agreement, partnership, business, negotiation, collaboration",event
매수인이 어떤 사항을 인지한다.,"awareness, realization, recognition, understanding, perception",event
공급망에 관한 새로운 조항이 적용된다.,"regulation, compliance, implementation, policy, adjustment",event
대상회사는 모든 중요한 계약을 체결했다.,"agreement, finalization, commitment, negotiation, transaction",event
거래종결을 정당한 사유 없이 거부한다.,"거절, 불이행, 계약위반, 중단, 거부",event
매수인이 본 계약을 체결한다.,"agreement, transaction, commitment, legal act, contract formation",event
대상회사에는 노사 분쟁이 없다,"labor peace, harmony, stability, cooperation, industrial relations",event
매수인이 본 계약을 이행한다.,"performance, fulfillment, agreement, transaction, obligation",event
사업계획이 제공되었다.,"proposal, planning, presentation, strategy, initiation",event
"90일간의 영업실적 확인이 완료되고, 목표 매출액의 90% 이상이 달성되며, 중대한 고객 이탈이 없다","performance evaluation, sales achievement, business review, milestone, retention, assessment",event
주주명부에 매수인을 기재한다.,"등록, 기록, 증명, 이전, 변경",event
합리적인 가정을 설정하였다.,"reasoning, assumption, hypothesizing, inference, logic",event
제4장 거래종결이 시작된다.,"agreement, conclusion, negotiation, transition, finalization",event
거래종결이 이루어진다.,"contract, agreement, completion, settlement, finalization",event
"주당 매매가격은 금 오천원(₩5,000)으로 한다.","transaction, pricing, agreement, valuation, negotiation",event
중요한 부정적 변동이 없다,"stability, continuity, equilibrium, constancy, persistence",event
영업실적이 감사보고서로 확인된다.,"validation, verification, auditing, reporting, confirmation",event
양 당사자는 성실히 협력한다.,"collaboration, agreement, cooperation, partnership, commitment",event
2차: 거래종결일로부터 90일 후 400억원을 지급한다.,"payment, transaction, fulfillment, scheduling, obligation",event
매도인의 진술보증이 정확하다.,"confirmation, assurance, verification, trust, reliability",event
배당이 거래종결 전에 선언된다.,"dividend, declaration, corporate action, finance, transaction",event
매수인은 본 계약을 체결하고 이행할 완전한 권한과 능력을 보유한다.,"contracting, authorization, legal capacity, agreement, transaction",event
