Name,Type
계약의 일부,Entity
진술 및 보증,Entity
이전의 서면 합의,Entity
대한민국의 은행이 정상 영업하는 날,Entity
영업이익,Entity
최소 1년간,Entity
"담보권, 제한, 부담도 없는 상태",Entity
세금,Entity
주식 양도 의무,Entity
거래종결 거부자,Entity
대한민국의 은행,Entity
공정 해석,Entity
일방 유리 해석,Entity
이사,Entity
모든 경우,Entity
본 계약의 해석에 대한 분쟁,Entity
모든 조건 충족,Entity
성과 인센티브,Entity
통지 후 3영업일 내,Entity
보험계약,Entity
주식,Entity
종결 전제조건 충족,Entity
통지,Entity
제45조,Entity
매도인,Entity
제3장,Entity
종결 확인서,Entity
개인정보보호 관련 법규,Entity
배당,Entity
2차 대금이 정상 지급되고 추가 하자가 없는 경우,Entity
부록,Entity
다음 사항이 진실하고 정확함,Entity
양도소득세,Entity
사업과 관련된 모든 법령,Entity
손해배상 청구,Entity
본 계약,Entity
기한,Entity
규제,Entity
운전자본 조정,Entity
매매주식의 매매와 관련한 당사자 간의 모든 합의,Entity
본 계약을 체결하고 이행할 완전한 권한과 능력,Entity
통지 후 90영업일 내,Entity
3차 대금 지급 조건,Entity
행정적 사항,Entity
매매대금 조정,Entity
문서,Entity
1차 대금 지급,Entity
영업실적 달성,Entity
계약 수정,Entity
반환 지연,Entity
부채,Entity
제1장 총칙,Entity
손해배상,Entity
매도인의 진술보증,Entity
"대상회사 발행 보통주식 20,000,000주",Entity
중요한 부채,Entity
제4장,Entity
거래종결 후 6개월간,Entity
양 당사자,Entity
모든 라이선스,Entity
2025년 1월 1일,Entity
모든 법령,Entity
성실 의무,Entity
1차 대금 지급과 동시에,Entity
중요한 계약,Entity
제67조,Entity
제90조,Entity
2차,Entity
노동 관련 법규,Entity
서울중앙지방법원,Entity
회사의 계약 주체,Entity
한국어본,Entity
거래종결 후,Entity
EBITDA,Entity
운영,Entity
대표이사,Entity
정당한 사유 없는 경우,Entity
원상회복,Entity
추가 실사,Entity
연 12% 지연이자 부과,Entity
상대방,Entity
서면 합의,Entity
제5장,Entity
계약 당사자,Entity
순부채,Entity
주식매매계약서,Entity
감사인,Entity
"매출액, 영업이익, EBITDA 등 재무성과",Entity
감사보고서,Entity
1차 대금,Entity
경영권,Entity
감사 비용,Entity
모든 환경 관련 법규,Entity
3차 대금 지급 의무 자동 소멸,Entity
완전한 합의,Entity
하자담보책임,Entity
매매대금의 30%,Entity
현 상태,Entity
반환,Entity
계좌 정보,Entity
부동산,Entity
모든 재무 정보,Entity
영업실적,Entity
대상회사 관련 정보,Entity
각 당사자,Entity
2차 대금 지급 조건,Entity
다음 사항,Entity
중요 계약,Entity
거래종결 즉시,Entity
일부,Entity
거래 당사자,Entity
제공한 모든 정보,Entity
모든 중요한 계약,Entity
진술보증 사항,Entity
별도 성과 인센티브,Entity
제6장 일반조항,Entity
원상회복 의무자,Entity
최종 대금 지급일,Entity
거래,Entity
제106조,Entity
"보통주식 20,000,000주",Entity
2차 대금 미지급 상황,Entity
임대차계약,Entity
대한민국 법률에 따라 해석,Entity
3차,Entity
다른 언어본,Entity
처분권한,Entity
주식 소유자,Entity
본 계약 체결일,Entity
지명한 자,Entity
주식회사 아이오타솔루션,Entity
규제 변경 대응,Entity
중요 문서,Entity
진행 중인 연구개발,Entity
제45조에 정한 방법,Entity
사회적 책임 활동,Entity
시너지 실현,Entity
거래종결 시,Entity
이메일,Entity
대상회사의 핵심 임직원,Entity
서명,Entity
계약,Entity
2차 대금,Entity
